BatchSize,MinNormIw,MinVanillaIw,AvgNormIw,J,AvgEpLen,VarVanillaIw,MaxVanillaIw,ESSClassic,VarRet,Bound,MaxNormIw,AvgVanillaIw,VarDiscRet,VarJ,AvgDiscRet,VarNormIw,eRenyi2,AvgRet,ESSRenyi
100,1.649814e-32,1.416156e-30,0.01,-137.32584,200.0,4.818892,8.821326,13.378185536576371,4392402.075036766,-1328.3412,0.10276796,0.85837317,4392402.075036766,572.1682,-4066.23450637783,0.0006540258,6.036197,-4066.23450637783,16.566721882437253
100,0.0009760628,0.096525036,0.010000002,-19.682825,200.0,0.1761121,1.4570783,84.86952784655152,212719.4046181592,-274.63223,0.014734,0.9889224,212719.4046181592,63.891605,-91.47495879724868,1.8007971e-05,1.1760298,-91.47495879724868,85.03185878760534
100,0.0013997494,0.13847615,0.010000002,-12.7310705,200.0,0.06464317,1.1997598,93.8623794054425,59883.13285257432,-224.32408,0.012127454,0.9892924,59883.13285257432,35.44643,-34.980961963715224,6.6050065e-06,1.0499035,-34.980961963715224,95.24684778833388
100,0.0010857718,0.1040909,0.01,-7.5271435,200.0,0.101428516,1.2645414,90.1504801388777,58.51939601277237,-10.517021,0.013190428,0.9586811,58.51939601277237,7.3091593,-7.933692078922493,1.1036001e-05,1.0781763,-7.933692078922493,92.74921338048149
100,0.008013028,0.79515946,0.010000002,-7.7659874,200.0,0.16067761,3.6344132,86.09272074318214,53.491273656159755,-10.019489,0.036624923,0.9923333,53.491273656159755,7.8312545,-8.081794144767702,1.6316997e-05,1.1763649,-8.081794144767702,85.00763675630803
100,0.00010572316,0.01093464,0.01,-6.5758066,200.0,0.234227,1.6302315,82.18466600139088,60.11902339234351,-9.090158,0.015762132,1.034271,60.11902339234351,7.712769,-7.118656285120847,2.1896172e-05,1.2793312,-7.118656285120847,78.16584120774431
100,0.0018171252,0.18642956,0.01,-7.0916796,200.0,0.03606219,1.1718218,96.71949487042617,46.89864925688815,-9.142225,0.011421724,1.0259588,46.89864925688815,6.8096776,-7.178012071252278,3.4260383e-06,1.0391128,-7.178012071252278,96.23594223049751
100,3.6849582e-13,3.934649e-11,0.01,-5.5771527,200.0,0.9227684,2.6250126,55.51626224606914,51.71920070602893,-8.45323,0.024584305,1.0677595,51.71920070602893,7.274651,-7.112957167851919,8.093677e-05,1.927489,-7.112957167851919,51.88096938885951
100,0.0028255787,0.27797157,0.01,-7.9682403,200.0,0.029654488,1.1565021,97.0558486578474,46.691399632014544,-10.050597,0.011755834,0.98376864,46.691399632014544,6.824614,-8.038759642501981,3.0641108e-06,1.0304906,-8.038759642501981,97.0411534335248
100,0.007486862,0.7746643,0.01,-7.821967,200.0,0.28050599,4.736391,79.40364911481743,54.08179628556482,-10.055938,0.04577558,1.0346981,54.08179628556482,8.033242,-8.257467885555727,2.6200809e-05,1.2302326,-8.257467885555727,81.28544170658373
100,0.00046232308,0.04630307,0.009999999,-7.2431636,200.0,0.24222401,1.7002008,80.70574654255866,44.24005729538194,-9.420549,0.016976025,1.0015306,44.24005729538194,7.0224915,-7.7107482334581166,2.4148416e-05,1.2464372,-7.7107482334581166,80.2286714844375
100,0.00037710922,0.03644284,0.01,-7.668016,200.0,0.23194373,1.4910134,80.26439753504548,57.85260557062508,-9.864442,0.015428955,0.9663736,57.85260557062508,8.467164,-8.1905524898618,2.4836621e-05,1.1975238,-8.1905524898618,83.50564498258832
100,4.7135592e-05,0.005137818,0.01,-8.892434,200.0,0.20576325,1.551563,85.36411485842832,57.36949064628112,-11.12261,0.014234416,1.0900081,57.36949064628112,7.9493546,-9.1853877021639,1.731842e-05,1.232652,-9.1853877021639,81.12590101926126
100,8.1348046e-11,8.172446e-09,0.01,-8.098987,200.0,0.55798084,2.1314304,64.6277024688634,56.543012206958615,-10.6001425,0.021216134,1.0046271,56.543012206958615,8.885855,-8.771014590995502,5.5285273e-05,1.5976815,-8.771014590995502,62.59069695673676
100,0.00090468366,0.09147319,0.009999998,-6.8133364,200.0,0.18713538,1.4642451,84.65851710631118,43.51091045820907,-8.796537,0.014481604,1.011107,43.51091045820907,6.961934,-7.115804050963654,1.8304663e-05,1.1539199,-7.115804050963654,86.66112521955556
100,0.002208665,0.21852124,0.01,-8.333696,200.0,0.1934733,2.3190727,83.63499742304913,60.60396562054176,-10.514338,0.02343962,0.98938155,60.60396562054176,8.407555,-8.796060704584756,1.9764842e-05,1.2345709,-8.796060704584756,80.99980581926167
100,2.3641492e-22,2.7977235e-20,0.009999999,-6.302025,200.0,1.9769689,3.7547758,41.708802924376364,57.35558647823071,-9.589126,0.03172883,1.1833955,57.35558647823071,9.8399315,-8.608127615573977,0.00014116924,2.705556,-8.608127615573977,36.96098070448833
100,0.00887041,0.87332374,0.01,-8.867895,200.0,0.025313681,1.6227283,97.47975587804285,54.90447554829167,-10.862423,0.016482165,0.98453593,54.90447554829167,7.333238,-8.967147311890816,2.611513e-06,1.0457437,-8.967147311890816,95.62572514908803
100,4.1129565e-06,0.00040770412,0.010000002,-6.851782,200.0,0.62880844,2.1018238,61.21687757622993,56.002193150775405,-9.347507,0.021203391,0.9912678,56.002193150775405,9.478457,-7.81905094560291,6.3993575e-05,1.5687659,-7.81905094560291,63.7443747082964
100,2.5882438e-05,0.002667699,0.01,-7.008036,200.0,0.21197216,1.5436978,83.50465097935738,52.90993377771969,-9.185444,0.014977201,1.0306984,52.90993377771969,7.298022,-7.606847292693475,1.9953342e-05,1.2278627,-7.606847292693475,81.44232960218966
100,0.0024079927,0.2591865,0.009999999,-7.9525156,200.0,0.6574106,4.992691,64.02997808844968,49.15885879579868,-10.255646,0.04638499,1.0763592,49.15885879579868,8.276012,-8.682863557353116,5.674431e-05,1.4148949,-8.682863557353116,70.67662572050095
100,0.0030457196,0.3436171,0.01,-6.294033,200.0,0.72616017,6.4891586,63.90576290235741,41.9877587146843,-8.621484,0.057517968,1.1281968,41.9877587146843,6.6041474,-6.97235817371949,5.705093e-05,1.3573937,-6.97235817371949,73.67059161593178
100,5.6917024e-08,5.114087e-06,0.009999999,-6.9120703,200.0,0.59789973,2.1895597,57.69735433054784,50.69727999536203,-9.432701,0.024368616,0.89851624,50.69727999536203,7.3783183,-8.098535302920123,7.4058764e-05,1.6299543,-8.098535302920123,61.351411916348134
100,0.006376407,0.7483835,0.01,-6.237207,200.0,3.20787,18.45615,30.253069751657762,45.38495050416601,-8.651417,0.15725084,1.1736759,45.38495050416601,9.772932,-7.059117007788473,0.0002328738,1.4755495,-7.059117007788473,67.77136432740988
100,0.0046316423,0.44641483,0.010000002,-8.516239,200.0,0.14650537,2.5582962,86.49558920191197,48.52543575228287,-10.708508,0.02654283,0.963837,48.52543575228287,7.290669,-8.891807654515848,1.5770533e-05,1.1990484,-8.891807654515848,83.3994691175399
100,0.008286423,0.8382049,0.009999999,-6.8283052,200.0,0.055687252,2.0499637,94.88751283439089,52.06152176944651,-8.886831,0.020265767,1.0115402,52.06152176944651,7.0819674,-7.07766938931648,5.4423895e-06,1.1029407,-7.07766938931648,90.66670759414825
100,8.132298e-09,7.5145573e-07,0.010000002,-6.673436,200.0,0.44494507,1.8733968,65.96761530824627,45.248417755298284,-9.063359,0.020274011,0.9240385,45.248417755298284,6.83435,-7.6443107520342926,5.2110616e-05,1.4305112,-7.6443107520342926,69.90507831751306
100,3.6904908e-15,3.768052e-13,0.01,-4.993765,200.0,1.9654335,3.8171344,34.88575361478591,62.322211851754744,-8.25979,0.037385628,1.0210166,62.322211851754744,7.784297,-8.306576562059952,0.00018853536,2.690463,-8.306576562059952,37.168322903208086
100,0.008181517,0.8204098,0.01,-7.886718,200.0,0.07446081,2.3219807,93.16964302605295,59.576824149499814,-10.014322,0.023155896,1.00276,59.576824149499814,7.4459205,-8.292757501864086,7.405148e-06,1.1429185,-8.292757501864086,87.4953050822973
100,0.0052071274,0.5169695,0.01,-7.994028,200.0,0.024327297,1.1302236,97.61489066266502,50.703921364798525,-9.999202,0.011384073,0.9928114,50.703921364798525,7.1892,-8.034473813294401,2.4680871e-06,1.023861,-8.034473813294401,97.66950304519774
