Bound,ESSClassic,MinVanillaIw,AvgVanillaIw,VarNormIw,MaxNormIw,MinNormIw,ESSRenyi,IterType,Delta,J,eRenyi2,BatchSize,VarVanillaIw,VarDiscRet,AvgEpLen,VarJ,AvgRet,AvgDiscRet,MaxVanillaIw,EpsThisIter,AvgNormIw,VarRet,VanillaAvgRet
7.95697,23.2472014535,6.65301e-06,30.2276,0.000333495,0.0442089,2.20097e-09,,1,1.0,7.95697,inf,100,3047.16,85.479104066,500.0,0.803256,-5.14520982434,-5.14520982434,133.633,100,0.01,85.479104066,-5.14520982434
nan,12.0071106967,0.00748319,18042.3,0.000740242,0.0833087,4.14758e-09,nan,,1.0,1.22284,nan,200,2.40967e+09,131.801336164,500.0,9.14209,-5.14520982434,1.42574691941,150308.0,100,0.01,85.479104066,-5.14520982434
16.9601,11.4133332803,0.00601111,37.9896,0.00041516,0.0935632,7.91151e-07,,1,1.0,16.9601,inf,200,23966.6,148.453307245,500.0,4.22609,-6.82180592305,-6.82180592305,710.886,100,0.005,148.453307245,-6.82180592305
-2.07438,100.0,1.0,1.0,3.50449e-18,0.01,0.01,200.0,2,1.0,-2.07438,1.0,200,,623.166100337,500.0,24.8382,-2.07437985096,-2.07437985096,1.0,100,0.01,623.166100337,-2.07437985096
-14.1946,25.6546447053,0.00140669,15.2152,0.00017075,0.0546684,4.62265e-07,129.580528121,,1.0,-14.1946,2.31516,300,1581.17,227.156363706,500.0,71.3632,-6.82180592305,-6.52675275543,166.359,100,0.005,148.453307245,-6.82180592305
17.8681,10.2948560224,1.68881e-07,139.599,0.000313721,0.0985552,4.03253e-12,,1,1.0,17.8681,inf,300,550236.0,363.60068486,500.0,0.327335,1.09962608198,1.09962608198,4127.46,100,0.00333333,363.60068486,1.09962608198
2.15062,100.0,1.0,1.0,3.50449e-18,0.01,0.01,300.0,2,1.0,2.15062,1.0,300,,161.218592613,500.0,12.6335,2.15061565914,2.15061565914,1.0,100,0.01,161.218592613,2.15061565914
-1.50689,200.000000102,1.0,1.0,2.1793e-19,0.005,0.005,300.0,2,1.0,-1.50689,1.0,300,,136.818282861,500.0,12.6849,-5.1643986983,-5.1643986983,1.0,100,0.005,136.818282861,-5.1643986983
-4.61293,15.8486334562,0.00024228,275587.0,0.000199878,0.0716209,2.93047e-12,1.60476306293,,1.0,-4.61293,249.258,400,1.36624e+12,132.036155868,500.0,50.7807,1.09962608198,0.858340284564,5.92134e+06,100,0.00333333,363.60068486,1.09962608198
17.0732,12.3331409456,0.000159558,22.6676,0.000196948,0.0899571,1.75976e-08,,1,1.0,17.0732,inf,400,16191.3,51.7204381988,500.0,5.26387,-2.56319410037,-2.56319410037,815.644,100,0.0025,51.7204381988,-2.56319410037
9.34722,100.0,1.0,1.0,3.50449e-18,0.01,0.01,400.0,2,1.0,9.34722,1.0,400,,658.753436712,500.0,25.5375,9.3472224532,9.3472224532,1.0,100,0.01,658.753436712,9.3472224532
4.90641,200.000000102,1.0,1.0,2.1793e-19,0.005,0.005,400.0,2,1.0,4.90641,1.0,400,,126.411706858,500.0,20.2084,0.465590666136,0.465590666136,1.0,100,0.005,126.411706858,0.465590666136
5.72717,299.999969474,1.0,1.0,5.43914e-20,0.00333333,0.00333333,400.0,2,1.0,5.72717,1.0,400,,575.588795509,500.0,21.5301,7.36870868633,7.36870868633,1.0,100,0.00333333,575.588795509,7.36870868633
1.13169,25.1579481174,0.00122603,292.673,9.33558e-05,0.0535351,1.04727e-08,15.0548021123,,1.0,1.13169,33.212,500,1.27946e+06,107.070326789,500.0,25.2896,-2.56319410037,-3.38742677771,6267.32,100,0.0025,51.7204381988,-2.56319410037
