eRenyi2,IterType,AvgDiscRet,VarJ,ESSClassic,Bound,Delta,MaxVanillaIw,AvgVanillaIw,AvgNormIw,AvgEpLen,VarDiscRet,MinVanillaIw,VarRet,J,ESSRenyi,AvgRet,VarNormIw,VarVanillaIw,MinNormIw,EpsThisIter,VanillaAvgRet,MaxNormIw,BatchSize
4.34513,1,-309.32856151,114.623,30.4496023593,-250.788,0.3,6.44047,1.26926,0.01,379.06,23344.6619147,5.82584e-14,23344.6619147,-117.964,23.0142763769,-309.32856151,0.000230719,3.71694,4.58994e-16,100,-309.32856151,0.0507418,100
1.44981,1,-143.290306174,105.986,60.0362839351,-184.931,0.3,3.77821,0.932001,0.01,188.96,15724.6937999,0.00180947,15724.6937999,-108.208,68.9746787212,-143.290306174,6.72383e-05,0.58405,1.94149e-05,100,-143.290306174,0.0405387,100
1.07727,1,-120.263428201,107.773,95.2110341239,-180.783,0.3,1.79796,1.02709,0.01,159.95,13537.3172174,0.302599,13537.3172174,-114.648,92.8268873045,-120.263428201,5.08068e-06,0.0535972,0.00294616,100,-120.263428201,0.0175053,100
1.07702,1,-90.9640486385,64.8085,90.185635228,-152.115,0.3,2.76336,1.03497,0.01,126.73,5146.70457658,0.42667,5146.70457658,-85.9878,92.8489672187,-90.9640486385,1.09924e-05,0.117745,0.00412255,100,-90.9640486385,0.0266999,100
1.05713,1,-81.9368310225,49.6052,94.8875675377,-144.166,0.3,1.39555,1.00726,0.01,115.26,3759.85639498,0.357158,3759.85639498,-78.6546,94.5953095945,-81.9368310225,5.44234e-06,0.0552166,0.00354583,100,-81.9368310225,0.0138549,100
1.04291,1,-77.684550084,32.794,94.5767084352,-139.988,0.3,1.2828,0.983173,0.01,111.75,1477.82892942,0.325317,1477.82892942,-75.0171,95.8852130982,-77.684550084,5.79222e-06,0.0559893,0.00330885,100,-77.684550084,0.0130475,100
1.06481,1,-82.6074323398,39.1849,95.2355144293,-143.161,0.3,1.27588,1.02744,0.01,117.3,3638.54988703,0.248636,3638.54988703,-77.488,93.9138433168,-82.6074323398,5.0534e-06,0.0533451,0.00241996,100,-82.6074323398,0.0124181,100
1.07484,1,-102.490112385,93.05,93.6286970455,-163.645,0.3,1.57477,0.997654,0.01,138.68,10111.5307027,0.382856,10111.5307027,-97.5837,93.0370662841,-102.490112385,6.8736e-06,0.0684139,0.00383756,100,-102.490112385,0.0157847,100
1.04674,1,-98.4435191275,90.0734,95.1506080551,-160.792,0.3,1.39412,0.956136,0.01,134.26,9085.35136305,0.295685,9085.35136305,-95.6006,95.534572171,-98.4435191275,5.14802e-06,0.047063,0.0030925,100,-98.4435191275,0.0145807,100
1.10935,1,-83.322739068,53.8492,89.9222715426,-143.773,0.3,1.45047,0.998188,0.01,116.97,4996.03869137,0.144558,4996.03869137,-76.6615,90.1430342044,-83.322739068,1.13204e-05,0.112794,0.0014482,100,-83.322739068,0.014531,100
1.01741,1,-75.0890372184,45.6573,98.0692417037,-138.279,0.3,1.27202,0.993121,0.01,107.06,2585.98218563,0.60518,2585.98218563,-74.0073,98.2890186035,-75.0890372184,1.98866e-06,0.0196139,0.00609371,100,-75.0890372184,0.0128083,100
