AvgEpLen,ESSRenyi,VarDiscRet,delta,ESSClassic,AvgRet,MinNormIw,AvgVanillaIw,EpsThisIter,MinVanillaIw,BatchSize,AvgDiscRet,VanillaAvgRet,AvgNormIw,VarJ,Bound,J,SamplesThisIter,VarRet,IterType,MaxVanillaIw,VarVanillaIw,MaxNormIw,VarNormIw,renyi2
5.82275532782,nan,3729.55068066,0.6,6.98205532044,48.1972517534,,1.8213e+07,8587,,100,48.1972517534,48.1972517534,6.46973e-07,14379.0,469.999,41159.9,50000,3729.55068066,1,2.6619e+12,3.7348e+19,0.0945574,4.71274e-08,nan
6.45911380959,nan,4891.45619974,0.6,6.72562225572,54.5639422051,,8.57017e+08,7741,,100,54.5639422051,54.5639422051,7.17679e-07,22514.6,337.764,37599.7,50000,4891.45619974,1,1.33143e+14,9.26891e+22,0.111496,6.49997e-08,nan
6.20193500372,nan,5042.66284897,0.6,4.99999997418,51.9944465564,,9.69008e+23,8062,,100,51.9944465564,51.9944465564,6.89104e-07,9653.46,856.805,89268.4,50000,5042.66284897,1,2.81227e+29,inf,0.199993,1.37811e-07,nan
6.41272284212,nan,5567.28088766,0.6,6.9999994283,54.0948630689,,3.98244e+10,7797,,100,54.0948630689,54.0948630689,7.12525e-07,71000.0,523.736,61928.9,50000,5567.28088766,1,7.95211e+15,3.15402e+26,0.142276,1.00964e-07,nan
6.12444879961,nan,6567.38440855,0.6,6.50693110454,51.2175863618,,2.6874e+11,8164,,100,51.2175863618,51.2175863618,6.80494e-07,156177.0,885.352,99092.5,50000,6567.38440855,1,3.62983e+16,6.75185e+27,0.0919133,4.3292e-08,nan
6.34840020315,nan,12747.8255449,0.6,4.99999989233,53.4574840482,,2.12244e+20,7876,,100,53.4574840482,53.4574840482,7.05378e-07,43602.0,2227.46,274701.0,50000,12747.8255449,1,6.01621e+25,inf,0.199944,1.40997e-07,nan
6.72404518558,nan,15743.7344879,0.6,1.94953167358,57.2154535019,,4.24435e+10,7436,,100,57.2154535019,57.2154535019,7.47116e-07,136449.0,2112.94,163990.0,50000,15743.7344879,1,2.43926e+16,9.12079e+26,0.429373,2.82609e-07,nan
7.36811081639,nan,18868.1595846,0.6,1.98148389584,63.6538844342,,1.7529e+12,6786,,100,63.6538844342,63.6538844342,8.18679e-07,106524.0,2112.94,330758.0,50000,18868.1595846,1,8.49105e+17,1.19153e+30,0.396569,2.59908e-07,nan
8.36820083682,nan,33319.7347722,0.6,1.70400927272,73.656354409,,1.87372e+14,5975,,100,73.656354409,73.656354409,9.298e-07,38412.3,3173.77,397868.0,50000,33319.7347722,1,6.45007e+18,inf,0.0320073,1.39743e-08,nan
15.2253349574,nan,191669.62056,0.6,2.91567492354,142.261638461,,1.07535e+10,3284,,100,142.261638461,142.261638461,1.6917e-06,108212.0,3817.57,669854.0,50000,191669.62056,1,5.89637e+14,5.04332e+24,0.0927601,1.24816e-07,nan
