ESSClassic,ReturnMeanIW,EpRewMean,LearnableVariance,OptimizationReturnMax,MaxIWNorm,EmpiricalD2,Bound,StdIW,InitialBound,MaxIW,TimestepsSoFar,InitialReturnStd,ReturnStepMaxmin,InitialReturnMean,VarianceInit,EpThisIter,OptimizationReturnMin,Iteration,InitialReturnMin,EpLenMean,MinIW,MinIWNorm,ESSRenyi,MeanEntropy,ReturnStepMax,InitialReturnMax,StdIWNorm,Weights,J_sample_variance,MeanIW,OptimizationReturnMean,EpisodesSoFar,TimeElapsed,MeanIWNorm
10.436918,959.5904,462.2285053047711,True,780.07367,0.40661094,4.71418,561.0189,3.0420308,278.65796,20.330547,18050,142.69188,10.0,462.22852,-1,50,,14,279.77155,47.24,0.052082412,0.0010416482,10.606298,0.5666287,10.0,1059.8452,0.060840614,[-1.557  0.69  -1.591 -1.982 -0.883],5178924.5,1.5624448,182.45695,700,150.56867790222168,0.031248892
37.316376,491.51108,435.82273015290616,True,379.92728,0.07297442,1.3518493,358.65106,0.638363,321.55325,3.6487212,20280,99.29657,10.0,435.82272,-1,50,,15,279.80777,44.6,0.33374947,0.006674989,36.98637,0.59402263,10.0,659.73505,0.012767261,[-1.481  0.666 -1.636 -2.159 -0.852],134878.77,1.0949534,156.01495,750,167.7800760269165,0.021899069
38.2621,468.21127,427.6080752774515,True,649.8504,0.06440275,1.3130821,337.25076,0.5952296,313.32172,3.2201376,22469,119.4776,10.0,427.6081,-1,50,,16,9.982228,43.78,0.32320115,0.0064640227,38.07835,0.5955527,10.0,659.83264,0.011904593,[-1.532  0.696 -1.677 -2.276 -0.825],109914.17,1.0746665,417.62582,800,183.68983912467957,0.021493332
1.6099076,4884.9434,484.22770306092576,True,1039.9833,3.340449,26.745062,3684.8208,23.340199,252.1658,167.02246,24941,175.10556,9.999999,484.2277,-1,50,,17,299.8265,49.44,0.00058208255,1.164165e-05,1.869504,0.41659245,9.999999,1339.8098,0.46680397,[-1.544  0.701 -1.625 -2.179 -0.823],604234700.0,4.257227,184.40118,850,200.25799870491028,0.08514454
2.4011483,3260.9514,487.42211818517535,True,829.9796,2.9838333,52.967175,1836.7921,25.633625,291.7382,149.19167,27429,191.88266,9.999999,487.42212,-1,50,,18,299.8021,49.76,0.022585563,0.00045171127,0.9439809,0.49226955,9.999999,1129.7817,0.51267254,[-1.581  0.751 -1.663 -2.245 -1.002],69587960.0,5.757333,187.62003,900,218.29904556274414,0.11514666
3.4353595,1160.1193,464.8103667318744,True,579.98645,1.2422761,11.428954,639.10223,8.664213,310.69397,62.113804,29804,118.64432,9.999999,464.8104,-1,50,,19,309.80466,47.5,0.015230317,0.00030460634,4.3748536,0.555625,9.999999,889.79114,0.17328428,[-1.535  0.844 -1.707 -2.311 -0.927],4955130.5,2.353353,155.0057,950,233.5957510471344,0.047067057
1.1093104,7964.427,473.2112218288471,True,769.90894,7.212281,321.53085,4611.1313,50.43442,286.20306,360.61407,32221,150.73514,9.999999,473.2112,-1,50,,20,309.78308,48.34,0.00022308684,4.461737e-06,0.15550607,0.49197194,9.999999,1079.692,1.0086884,[-1.492  0.713 -1.673 -2.343 -0.863],1546682100.0,7.596972,163.42813,1000,248.34938621520996,0.15193942
27.21365,688.97034,553.8042467963089,True,1039.9912,0.11121291,1.8128867,367.19363,1.1710235,314.81995,5.5606456,35041,182.13467,10.0,553.8042,-1,50,,21,339.78497,56.4,0.051373065,0.0010274613,27.580322,0.45266727,10.0,1379.7761,0.023420468,[-1.523  0.927 -1.705 -2.277 -0.927],334512.94,1.2797393,214.01926,1050,267.8107690811157,0.025594782
13.493277,763.52997,566.8042679262539,True,989.9701,0.28957403,2.4031837,401.10925,2.1684687,333.01773,14.478702,37926,198.35733,10.0,566.8043,-1,50,,22,359.79712,57.7,0.15918322,0.0031836643,20.805733,0.52646065,10.0,1349.7672,0.04336937,[-1.503  0.857 -1.714 -2.224 -0.966],786469.1,1.3183339,207.00714,1100,288.6031813621521,0.026366677
1.1201848,5076.346,527.5974260747495,True,869.8502,6.690781,122.25017,3410.5195,46.78418,376.93494,334.53906,40615,165.10141,10.0,527.5975,-1,50,,23,,53.78,4.1785665e-05,8.3571325e-07,0.4089974,0.3709913,10.0,869.8502,0.9356836,[-1.485  0.851 -1.737 -2.256 -0.892],1190020200.0,7.0823765,527.5975,1150,310.1155586242676,0.14164755
1.347171,2728.719,583.5930419115566,True,689.95166,3.4941547,46.553677,1464.5278,24.386843,398.30994,174.70773,43584,173.73926,10.0,583.593,-1,50,,24,379.78064,59.38,0.03148909,0.00062978175,1.074029,0.4720759,10.0,1069.7323,0.4877369,[-1.409  0.924 -1.761 -2.352 -1.048],60903280.0,4.058008,203.81242,1200,331.180059671402,0.081160165
3.5343003,1822.9033,588.9813969349425,True,1309.7856,1.4166943,16.085459,913.037,13.746319,362.11987,70.83472,46580,221.32425,10.0,588.9814,-1,50,,25,,59.92,0.022057815,0.00044115627,3.1083975,0.55000937,10.0,1309.7856,0.27492636,[-1.482  1.016 -1.718 -2.22  -0.947],37565060.0,3.7911582,588.9814,1250,353.05821442604065,0.075823165
41.006775,591.5881,543.3720600883821,True,559.97815,0.0486823,1.2462183,407.94235,0.49550062,378.86536,2.434115,49348,125.88608,9.999999,543.3721,-1,50,,26,389.80206,55.36,0.36146858,0.0072293715,40.12138,0.5607839,9.999999,949.7802,0.009910013,[-1.365  0.938 -1.685 -2.335 -0.869],205025.08,1.0580695,153.57,1300,372.64502143859863,0.021161389
