Weights,StdIW,MeanEntropy,OptimizationReturnMin,VarianceInit,MaxIW,MinIWNorm,OptimizationReturnMean,TimestepsSoFar,Bound,EpisodesSoFar,ESSRenyi,MinIW,StdIWNorm,MeanIWNorm,ESSClassic,InitialBound,TimeElapsed,InitialReturnMax,EmpiricalD2,ReturnMeanIW,ReturnStepMax,MeanIW,Iteration,J_sample_variance,OptimizationReturnMax,ReturnStepMaxmin,MaxIWNorm,EpLenMean,EpRewMean,InitialReturnMean,EpThisIter,InitialReturnMin,LearnableVariance,InitialReturnStd
[ 0. -0. -0.  0.  0.],0.79002917,1.2553102,,-1,4.540921,0.00050289877,38.388233,292,27.61568,50,34.86291,0.02514494,0.015800582,0.02097541,31.899006,15.481655,3.5974769592285156,189.87595,1.4341888,67.000946,9.999993,1.0487704,1,14444.192,179.89505,9.999993,0.09081842,5.84,48.36913197793741,48.369137,50,9.980897,True,32.256607
[-0.206 -0.227 -0.102 -0.035 -0.164],2.3878405,1.1279298,,-1,17.060295,0.004524716,93.34377,809,138.93777,100,28.68599,0.2262358,0.047756813,0.027811356,12.662487,36.221355,9.568894624710083,329.79636,1.7430111,214.35257,9.999997,1.3905678,2,522467.88,329.79636,9.999997,0.3412059,10.34,93.34376693420823,93.34377,50,,True,75.58817
[-0.521  0.041 -0.62  -0.294 -0.291],2.014358,0.93369436,,-1,13.954024,5.1410872e-05,89.345276,1306,63.58735,150,18.229961,0.0025705437,0.04028716,0.022909556,12.21768,33.957924,14.999699831008911,319.7791,2.7427375,155.31555,9.999977,1.1454778,3,248507.38,319.7791,9.999977,0.27908048,9.94,89.3452886499232,89.345276,50,,True,71.7041
[-0.704 -0.107 -0.649 -0.372 -0.485],3.8715873,0.7735997,,-1,24.56434,0.00052093033,137.34499,2143,323.44223,200,13.701431,0.026046516,0.077431746,0.036166493,8.954482,72.47354,22.904319763183594,489.83472,3.6492538,485.5158,9.9999895,1.8083247,4,2753891.0,469.86432,9.9999895,0.4912868,16.74,157.31538777021171,157.31538,50,19.970411,True,102.05942
[-0.952  0.067 -0.891 -0.644 -0.645],21.157578,0.7463938,,-1,151.5395,0.0002997313,155.73524,3072,774.95074,250,1.5244137,0.014986565,0.42315158,0.07394981,1.4817909,106.43273,32.51071095466614,399.92242,32.799496,1171.6578,9.999999,3.6974902,5,46860650.0,379.95633,9.999999,3.03079,18.58,175.70133030410844,175.70135,50,19.966091,True,90.216896
[-0.822  0.186 -0.984 -1.093 -0.673],2.1010575,0.60257155,,-1,11.326775,0.001053065,234.89204,4397,242.7237,300,16.635897,0.052653246,0.042021148,0.030228538,17.050758,154.42209,45.46184277534485,579.84106,3.0055487,416.83682,10.0,1.5114268,6,333054.66,559.8796,10.0,0.22653548,26.5,254.8535206126191,254.85352,50,19.961472,True,124.65305
[-0.795  0.148 -0.943 -1.181 -0.816],1.4384544,0.6506943,,-1,10.420602,0.006482559,266.4799,5880,198.63377,350,28.403856,0.32412794,0.028769085,0.021558763,17.980722,156.58046,57.95695996284485,749.796,1.7603244,370.93967,9.9999895,1.0779382,7,569394.94,729.82697,9.9999895,0.20841204,29.66,286.44895083729676,286.44894,50,19.969078,True,135.97836
[-0.768  0.212 -0.969 -1.207 -0.768],0.9101201,0.57781976,,-1,3.64808,0.003737297,252.26396,7342,232.25574,400,29.926,0.18686485,0.018202402,0.023064531,30.810413,174.86597,70.17018723487854,619.8251,1.6707879,371.02408,9.999999,1.1532266,8,125985.266,589.8662,9.999999,0.0729616,29.24,282.2228100708798,282.2228,50,29.958847,True,130.31119
[-0.978  0.353 -0.951 -1.322 -0.841],2.8983045,0.6458508,,-1,20.972208,0.002952742,254.7804,9266,282.2368,450,16.852882,0.1476371,0.057966094,0.0255968,8.158818,208.38446,86.8706316947937,959.7754,2.9668515,568.5742,9.999998,1.27984,9,1453393.9,839.93335,9.999998,0.41944414,38.48,374.62244505145003,374.62244,50,119.84206,True,164.6304
[-0.968  0.417 -1.05  -1.318 -0.773],2.7539852,0.5949406,,-1,18.980259,0.00070131733,367.04507,11302,409.49466,500,13.393435,0.035065867,0.0550797,0.025832705,9.015268,235.98329,104.49100875854492,929.7125,3.7331724,720.6293,9.999999,1.2916353,10,5885227.0,899.74335,9.999999,0.37960517,40.72,397.0142503659579,397.01425,50,29.969172,True,149.43425
