Weights,ESSClassic,StdIW,EpRewMean,ReturnStepMax,VarianceInit,MeanIW,TimestepsSoFar,EpisodesSoFar,MinIW,InitialReturnMax,TimeElapsed,InitialReturnMin,Iteration,ReturnStepMaxmin,MeanEntropy,StdIWNorm,OptimizationReturnMean,OptimizationReturnMin,OptimizationReturnMax,MaxIWNorm,ESSRenyi,EmpiricalD2,MinIWNorm,MaxIW,ReturnMeanIW,Bound,InitialReturnMean,EpThisIter,MeanIWNorm,J_sample_variance,InitialBound,LearnableVariance,EpLenMean,InitialReturnStd
[0. 0. 0. 0. 0.],24.747372,0.97495806,52.36324865323402,9.999996,-1,0.96515536,312,50,0.07203482,179.8382,0.5059075355529785,,1,9.999996,1.3333006,0.01949916,52.36325,,179.8382,0.10581892,28.641022,1.7457478,0.0014406964,5.290946,75.81842,34.662407,52.36325,50,0.019303106,28069.637,21.214357,True,6.24,39.450226
[-0.22  -0.176 -0.251 -0.235 -0.086],24.617384,1.3101922,79.74666335551925,10.0,-1,1.2902913,761,100,0.32027873,219.77591,1.6926164627075195,9.981047,2,10.0,1.469604,0.026203845,69.76562,,209.79486,0.16906755,29.824316,1.6764843,0.0064055747,8.453378,98.97091,49.68299,79.746666,50,0.025805825,17973.041,41.680355,True,8.98,50.743767
[-0.271 -0.12  -0.32  -0.3    0.051],2.1461837,9.992113,72.15360679152164,9.999999,-1,2.116082,1172,150,0.0510205,439.7011,2.5506370067596436,9.982488,3,9.999999,1.514147,0.19984223,62.171124,,429.71863,1.43879,4.797967,10.421081,0.00102041,71.9395,687.30035,441.44788,72.15361,50,0.042321634,19064204.0,-4.00486,True,8.22,72.44181
[-1.     0.121 -0.919 -0.975  0.095],9.49437,3.0520144,140.32133876585434,9.999998,-1,1.4776174,1924,200,0.13683662,439.83386,3.4602458477020264,9.9800625,4,9.999998,1.5057241,0.061040286,130.34126,,429.8538,0.4276939,18.335564,2.7269409,0.0027367324,21.384695,353.6006,227.7987,140.32133,50,0.029552346,1314615.4,64.13988,True,15.04,108.438866
[-0.887  0.276 -1.043 -1.454  0.087],4.1738906,8.450859,179.49325711919343,9.999997,-1,2.5504386,2872,250,0.11587976,519.7323,4.48528528213501,9.986401,5,9.999997,1.3766975,0.16901717,169.50688,,509.7459,0.9496182,4.8896985,10.225579,0.002317595,47.48091,861.35205,573.4901,179.49326,50,0.051008776,11290039.0,89.472984,True,18.96,138.25395
[-0.856  0.562 -1.155 -1.665 -0.042],1.4131113,41.10251,257.06423358225805,9.999998,-1,7.0096607,4208,300,0.00049919,699.74805,5.700268030166626,9.98053,6,9.999998,1.1618656,0.8220502,247.08371,,689.7675,5.8851147,0.79010046,63.283092,9.9838e-06,294.25574,4423.091,3458.9373,257.06427,50,0.1401932,798592800.0,135.86432,True,26.72,196.18848
[-1.096  0.846 -1.289 -1.58  -0.257],22.855585,1.1519907,382.0206590703485,9.999996,-1,1.0570729,6169,350,0.12732972,989.6609,7.028848171234131,29.957634,7,9.999996,1.0859523,0.023039812,352.06302,,959.70325,0.120749496,28.324232,1.765273,0.0025465945,6.037475,483.77917,256.032,382.02066,50,0.021141458,858899.6,210.60634,True,39.22,201.53415
[-1.21   0.921 -1.381 -1.578 -0.333],10.5351515,3.5741775,381.02868232382383,9.999997,-1,1.8466785,8125,400,0.003832273,759.7195,8.090460538864136,,8,9.999997,0.94855225,0.071483545,381.0287,,759.7195,0.37733814,7.2013783,6.943115,7.6645454e-05,18.866907,871.7126,524.98285,381.0287,50,0.036933567,3264057.8,249.44142,True,39.12,162.91472
[-1.291  0.959 -1.475 -1.792 -0.47 ],20.486305,1.7334658,495.4115334417857,9.999998,-1,1.4442265,10653,450,0.10194325,1339.7444,9.83006763458252,9.980665,9,9.999998,0.8572808,0.034669317,485.43085,,1329.7637,0.15346035,19.209465,2.6028836,0.002038865,7.6730175,879.4099,505.03223,495.4115,50,0.028884532,2766362.5,263.361,True,50.56,273.94238
[-1.217  0.947 -1.441 -1.802 -0.562],47.93623,0.21261325,553.584954292872,9.999998,-1,1.0246893,13472,500,0.43731517,1099.6324,11.27828860282898,,10,9.999998,0.8444601,0.0042522647,553.58496,,1099.6324,0.032396045,47.354572,1.0558642,0.008746303,1.6198022,577.0184,381.30872,553.58496,50,0.020493787,88934.08,363.12305,True,56.38,220.17717
