EpThisIter,EpRewMean,StdIWNorm,InitialReturnStd,MeanIWNorm,ESSClassic,ReturnStepMax,MinIW,Weights,InitialReturnMean,StdIW,ESSRenyi,TimeElapsed,LearnableVariance,ReturnStepMaxmin,EmpiricalD2,J_sample_variance,VarianceInit,OptimizationReturnMin,EpLenMean,MinIWNorm,OptimizationReturnMax,InitialReturnMin,MaxIW,InitialReturnMax,TimestepsSoFar,EpisodesSoFar,MaxIWNorm,MeanEntropy,ReturnMeanIW,OptimizationReturnMean,InitialBound,Iteration,MeanIW,Bound
50,59.35642463181001,0.028107299,47.108006,0.025034154,22.118156,9.99999,0.14842264,[ 0. -0. -0. -0.  0.],59.356426,1.4053651,24.399998,3.3982856273651123,True,9.99999,2.0491805,63403.555,-1,,6.94,0.0029684529,229.9028,,9.279238,229.9028,347,50,0.18558475,1.5067669,107.83258,59.356426,19.53609,1,1.2517076,50.829933
50,83.74937230285441,0.052553218,74.771965,0.0277723,10.915228,9.999992,0.26068154,[-0.15  -0.013 -0.219 -0.306  0.088],83.749374,2.6276608,16.164125,9.189679145812988,True,9.999992,3.0932696,889829.2,-1,,9.38,0.005213631,349.90268,,19.199785,349.90268,816,100,0.38399568,1.6334106,212.40303,83.749374,23.144447,2,1.3886151,105.81294
50,71.94703244312767,0.2406371,58.579884,0.046031132,1.7649834,9.99992,4.4793146e-07,[-0.286 -0.018 -0.309 -0.607  0.214],71.94703,12.031855,2.64636,12.315692901611328,True,9.99992,18.893877,6535372.5,-1,,8.2,8.9586285e-09,239.81676,,85.938736,239.81676,1226,150,1.7187747,1.2434049,430.15622,71.94703,30.40955,3,2.3015568,249.60489
50,150.90870461245515,0.018079435,104.700455,0.021811951,29.637747,9.999998,0.21976784,[-0.628 -0.149 -0.809 -0.948 -0.176],150.9087,0.90397173,34.35785,16.572629928588867,True,9.999998,1.4552715,126458.95,-1,,16.1,0.004395357,539.80664,,5.071861,539.80664,2031,200,0.10143721,1.2860864,196.31279,150.9087,57.411438,4,1.0905975,83.52272
50,142.90891653482242,0.006638342,102.04683,0.019204628,44.663452,9.999992,0.53610224,[-0.692 -0.216 -0.888 -1.106 -0.133],142.90892,0.3319171,45.62208,21.448843240737915,True,9.999992,1.0959605,37561.414,-1,,15.3,0.010722045,539.7958,9.980111,2.242809,549.7759,2796,250,0.04485618,1.2645755,158.45416,132.9288,47.68493,5,0.9602314,58.76596
50,203.28369693814653,1.3670847,130.57652,0.20847169,1.136291,9.999999,0.0029920281,[-0.79  -0.095 -0.975 -1.252 -0.154],203.28368,68.35424,1.0893751,28.285446882247925,True,9.999999,45.897873,550916900.0,-1,,21.34,5.984056e-05,689.79614,,488.8393,689.79614,3863,300,9.776786,1.088605,3450.4282,203.28368,83.807495,6,10.423583,2641.0012
50,287.0413176731132,0.00283433,175.56761,0.020426821,49.05553,9.999996,0.60529006,[-0.861  0.315 -1.128 -1.533 -0.33 ],287.04132,0.14171651,49.059704,40.43583965301514,True,9.999996,1.0191664,31926.33,-1,,29.72,0.012105801,939.7616,,1.4031944,939.7616,5349,350,0.028063888,1.0931859,294.75494,287.04132,124.269806,7,1.0213412,130.431
50,313.62392095305256,0.034895808,210.21956,0.025640827,17.53047,9.999998,0.20901369,[-0.899  0.315 -1.193 -1.564 -0.326],313.62393,1.7447903,22.528183,53.591145515441895,True,9.999998,2.2194421,1045559.75,-1,,32.38,0.0041802735,949.56616,9.981948,8.886887,959.5481,6968,400,0.17773773,1.02026,514.1699,303.642,147.42532,8,1.2820413,266.57068
50,339.00363166032946,0.02000686,177.66884,0.02309206,28.560959,9.999996,0.1665881,[-0.791  0.353 -1.19  -1.694 -0.399],339.00363,1.0003431,28.001545,66.61794424057007,True,9.999996,1.7856158,340307.2,-1,,34.92,0.0033317618,769.819,19.967278,4.0929046,789.78625,8714,450,0.08185809,0.9703203,466.20767,319.03635,202.20865,9,1.154603,283.41272
50,360.22771771438556,0.3924654,207.01195,0.06735916,1.430712,9.999998,0.00014985914,[-0.854  0.468 -1.204 -1.663 -0.449],360.22772,19.623272,0.89080524,80.27222418785095,True,9.999998,56.12899,284570620.0,-1,,37.04,2.9971827e-06,949.74805,,140.55885,949.74805,10566,500,2.811177,0.86491054,2613.5054,360.22772,195.7265,10,3.3679578,1381.0742
50,563.5777622149186,0.07507158,184.66618,0.04068914,11.353222,9.999996,0.012137938,[-0.817  0.666 -1.236 -1.648 -0.554],563.57776,3.7535796,7.55485,105.14460730552673,True,9.999996,6.618265,5748573.5,-1,,57.38,0.00024275876,979.8168,19.966429,19.296547,999.7832,13435,550,0.38593093,0.7302855,1234.8394,543.6113,390.41022,11,2.034457,789.34875
50,633.7529948669725,0.19594122,289.21863,0.05671394,3.8650742,10.0,0.021390546,[-0.895  0.714 -1.266 -1.672 -0.689],633.753,9.797062,3.7553074,130.677086353302,True,10.0,13.314489,173117660.0,-1,,64.4,0.0004278109,1429.6508,29.95405,66.69242,1459.6049,16655,600,1.3338484,0.77953583,2858.1614,603.79895,380.94196,12,2.835697,1935.6787
50,667.7392416113621,0.026606627,245.306,0.026900582,25.274677,9.999998,0.07337249,[-0.873  0.8   -1.304 -1.651 -0.639],667.7392,1.3303313,23.129753,156.98593282699585,True,9.999998,2.161718,1235945.2,-1,,67.8,0.0014674498,1429.6311,39.946297,6.325011,1469.5774,20045,650,0.12650022,0.7856026,946.6982,627.7929,413.201,13,1.3450291,572.4561
50,601.7590434660951,0.01094977,223.94412,0.022176957,40.19989,10.0,0.3077536,[-0.824  0.79  -1.311 -1.749 -0.633],601.75903,0.5474885,39.0231,175.33976197242737,True,10.0,1.2812923,238301.47,-1,,61.2,0.006155072,1109.7302,9.983898,2.8086576,1119.7141,23105,700,0.056173153,0.80977666,666.89276,591.77515,407.81885,14,1.1088479,447.36377
50,678.5381302627052,1.9088845,265.24625,0.28436863,1.0855291,10.0,0.00020680777,[-0.8    0.803 -1.316 -1.736 -0.609],678.53815,95.44422,0.12866601,196.70752120018005,True,10.0,388.603,10841634000.0,-1,,68.88,4.1361554e-06,1419.6848,9.982397,682.0898,1429.6672,26549,750,13.641795,0.6400165,15521.112,668.5558,430.91248,15,14.218432,10639.664
50,816.9282985374771,0.10111686,257.35065,0.036439355,5.74695,10.0,0.045788597,[-0.719  0.839 -1.353 -1.782 -0.779],816.9282,5.055843,8.3738785,226.24825358390808,True,10.0,5.9709487,7399537.5,-1,,82.72,0.00091577193,1359.7667,369.776,34.91389,1729.5427,30685,800,0.6982778,0.6965387,1621.8761,447.15225,517.3627,16,1.8219677,889.8718
50,812.3234161027524,0.010871836,322.12668,0.02102668,39.4527,10.0,0.40582848,[-0.684  0.833 -1.355 -1.889 -0.722],812.3234,0.54359186,39.68299,253.53222632408142,True,10.0,1.2599857,629292.2,-1,,82.26,0.008116569,1609.5387,9.985918,3.3512263,1619.5247,34798,850,0.06702452,0.6781078,889.4674,802.3375,531.8135,17,1.051334,574.59766
50,937.3201277932474,0.03040285,406.195,0.023063904,18.263813,10.0,0.08998446,[-0.672  0.847 -1.356 -1.929 -0.741],937.32007,1.5201427,21.233292,277.0540380477905,True,10.0,2.3547926,6631443.0,-1,,94.76,0.0017996891,2069.5122,9.983992,7.5961137,2079.496,39536,900,0.15192227,0.6527943,1296.5941,927.3361,577.14087,18,1.153195,743.88696
50,1043.107819856993,0.016433524,322.93805,0.022383044,32.487732,10.0,0.24788868,[-0.642  0.859 -1.394 -1.856 -0.766],1043.1078,0.8216762,32.74495,309.2804534435272,True,10.0,1.526953,1454512.5,-1,,105.34,0.0049577737,1759.6118,,4.4601293,1759.6118,44803,950,0.08920258,0.6160823,1227.5454,1043.1078,738.3341,19,1.1191523,850.9367
50,985.9254621612536,0.035206567,337.8535,0.024973068,16.736492,9.999999,0.060640514,[-0.637  0.881 -1.423 -1.87  -0.803],985.9255,1.7603284,19.546331,341.9826114177704,True,9.999999,2.558025,3338978.0,-1,,99.62,0.0012128103,1719.7085,459.706,9.250895,2179.4146,49784,1000,0.18501788,0.61893463,1386.6879,526.2195,608.43976,20,1.2486533,782.94385
