MinIW,ESSClassic,EpLenMean,MeanEntropy,OptimizationReturnMean,OptimizationReturnMax,J_sample_variance,Bound,MeanIW,EpThisIter,ReturnStepMax,ReturnMeanIW,OptimizationReturnMin,StdIW,InitialReturnMax,MaxIW,InitialReturnMean,ReturnStepMaxmin,Weights,MeanIWNorm,StdIWNorm,Iteration,ESSRenyi,MaxIWNorm,MinIWNorm,EmpiricalD2,TimestepsSoFar,InitialReturnMin,InitialBound,LearnableVariance,InitialReturnStd,TimeElapsed,VarianceInit,EpRewMean,EpisodesSoFar
0.000107120846,1.3979001,6.66,1.2558752,56.559834,369.74603,63585244.0,965.4435,3.6108427,50,9.999986,1158.1461,,21.291098,369.74603,152.57607,56.559834,9.999986,[ 0. -0. -0.  0.  0.],0.07221685,0.42582196,1,5.522338,3.0515213,2.1424169e-06,9.054136,333,,-7.4820595,True,56.764366,3.525585412979126,-1,56.55983449535657,50
0.060559157,5.1956983,13.3,1.350094,112.937775,409.75616,6092265.5,397.03604,2.110852,50,9.999989,602.9366,,6.1986294,419.73926,35.934967,122.92087,9.999989,[-0.442  0.306 -0.392 -0.8   -0.163],0.042217035,0.12397259,2,6.23355,0.71869934,0.0012111831,8.0211115,998,9.983091,50.219887,True,113.39728,9.733896493911743,-1,122.92085979248611,100
0.18920532,37.584167,18.0,1.2971927,159.92284,459.73166,76194.195,114.41397,0.9308579,50,9.99999,205.71834,,0.5350188,469.7143,2.6753457,169.90547,9.99999,[-0.616  0.519 -0.69  -1.275 -0.069],0.018617159,0.010700375,3,39.69865,0.05350691,0.0037841063,1.2594887,1898,9.982623,88.54855,True,135.13795,15.4961998462677,-1,169.90545738410196,150
0.018827474,7.549116,23.76,1.1723025,217.49184,739.73004,4557645.5,379.86407,1.5348449,50,9.999984,633.2882,,3.6396513,749.7097,18.830624,227.47148,9.999984,[-0.766  0.725 -0.746 -1.507 -0.122],0.030696897,0.07279303,4,13.127488,0.37661245,0.00037654946,3.8088017,3086,9.9796715,97.617966,True,196.6802,21.426292896270752,-1,227.47150249397407,200
0.09150223,31.984053,38.98,1.1926268,369.63336,829.76105,329521.72,306.03625,1.1321814,50,10.0,486.645,,0.8497239,839.74524,4.078845,379.61758,10.0,[-0.879  0.717 -0.83  -1.692 -0.247],0.022643628,0.016994478,5,32.42715,0.0815769,0.0018300446,1.5419177,5035,9.984195,234.16942,True,212.34195,30.455815315246582,-1,379.6175568644819,250
0.5019731,45.402016,42.6,1.1789994,405.83023,959.54626,139571.22,270.4099,1.0062064,50,10.0,447.0734,,0.3202086,969.5286,1.8786026,415.8125,10.0,[-0.854  0.761 -0.918 -1.83  -0.226],0.020124126,0.0064041717,6,45.17716,0.037572052,0.010039462,1.106754,7165,9.982332,247.88525,True,263.35263,38.482832193374634,-1,415.81254976228183,300
0.0016773212,16.602839,43.02,1.0944687,410.02304,1189.7063,2230051.0,410.8443,1.356217,50,10.0,763.4723,,1.9235026,1199.6864,9.56986,420.00317,10.0,[-0.792  0.727 -0.94  -1.85  -0.24 ],0.027124338,0.03847005,7,17.361734,0.1913972,3.354642e-05,2.8798966,9316,9.980126,212.21136,True,232.88724,46.182759523391724,-1,420.0031690622418,350
0.11117812,20.675228,55.7,1.0257412,536.7771,1719.57,2726420.8,377.95016,1.0073886,50,9.999998,783.0057,,1.1997455,1729.5527,6.2720213,546.7598,9.999998,[-0.919  0.925 -1.061 -2.012 -0.324],0.020147769,0.02399491,8,27.348267,0.12544042,0.0022235624,1.8282695,12101,9.982742,247.1925,True,356.18756,57.128623723983765,-1,546.759823434271,400
0.24005198,35.251976,53.36,1.0408471,523.35504,969.65894,439203.38,473.0319,1.2322124,50,10.0,684.2027,,0.7970047,969.65894,3.6352224,523.35504,10.0,[-0.901  0.951 -1.076 -2.044 -0.393],0.024644246,0.015940094,9,31.627262,0.07270445,0.0048010396,1.5809146,14769,,355.4052,True,242.7794,68.84338450431824,-1,523.3550886423692,450
0.0075677778,2.8025095,63.42,0.9398753,623.92883,1829.3018,108091290.0,970.46796,1.8139004,50,10.0,1907.3694,,7.4438796,1829.3018,53.52546,623.92883,10.0,[-0.815  0.931 -1.094 -2.064 -0.378],0.036278002,0.14887759,10,5.7183948,1.0705092,0.00015135555,8.743712,17940,,307.08447,True,334.48312,81.58214139938354,-1,623.9288263365356,500
0.3738374,38.68927,77.82,0.92150986,757.9367,1529.4935,513807.66,597.4794,1.1084579,50,9.999999,905.89545,,0.59933454,1539.4727,3.5094783,767.9158,9.999999,[-0.758  0.987 -1.143 -2.137 -0.479],0.022169156,0.01198669,11,37.37327,0.070189565,0.007476748,1.3378546,21831,9.97909,501.2713,True,295.01782,101.31288957595825,-1,767.9158029330392,550
0.02832266,15.581851,70.76,0.96539706,687.33514,1659.4368,4131104.0,581.0552,1.2847966,50,10.0,1016.1428,,1.9094954,1669.4176,12.045827,697.31604,10.0,[-0.731  0.992 -1.192 -2.189 -0.497],0.025695931,0.038189903,12,22.08349,0.24091654,0.00056645315,2.264135,25369,9.980844,408.16443,True,335.65317,124.34077048301697,-1,697.3160632450589,600
0.008311649,4.193684,82.3,0.88979155,792.7249,1829.3289,96385610.0,1648.6091,2.3449857,50,9.999999,2682.3071,,7.750059,1849.302,42.667236,812.69806,9.999999,[-0.787  1.064 -1.261 -2.163 -0.454],0.04689971,0.15500118,13,4.800866,0.8533447,0.00016623297,10.414787,29484,19.973167,492.38956,True,358.6084,155.53814435005188,-1,812.6980938524174,650
0.0010247442,1.212215,89.34,0.8191757,673.2046,2389.1619,7227905000.0,11191.445,5.544541,50,9.999999,13491.798,,35.174778,2599.0269,251.72002,883.0697,9.999999,[-0.882  1.193 -1.366 -2.112 -0.529],0.11089082,0.7034955,14,1.9148028,5.0344,2.0494885e-05,26.11235,33951,209.86496,432.905,True,416.20642,189.09750962257385,-1,883.0695819339833,700
0.3161795,38.02082,89.9,0.82667947,708.84296,1969.7463,678868.75,623.1376,1.178777,50,9.999999,1048.9209,,0.66165924,2149.5806,3.7826986,888.67725,9.999999,[-0.728  1.12  -1.386 -2.043 -0.6  ],0.023575539,0.013233185,15,38.231503,0.07565397,0.00632359,1.307822,38446,179.83423,516.359,True,473.91095,221.7604203224182,-1,888.67728412616,750
0.021921797,4.0594397,82.88,0.74643844,798.52454,1929.0953,49072692.0,754.90424,1.635856,50,9.999999,1735.648,,5.503135,1949.0586,39.26331,818.48773,9.999999,[-0.755  1.186 -1.411 -2.053 -0.592],0.032717124,0.11006271,16,5.9242024,0.78526616,0.00043843593,8.439955,42590,19.963295,480.90094,True,415.5623,252.69921731948853,-1,818.4877653947941,800
0.00012952047,1.1382626,103.24,0.61273235,862.1782,2369.4739,11360032000.0,11888.754,9.201818,50,10.0,17089.266,,60.288834,2529.311,431.0722,1022.01544,10.0,[-0.735  1.251 -1.422 -2.03  -0.672],0.18403634,1.2057766,17,0.35481632,8.621444,2.5904094e-06,140.91798,47752,159.83723,583.9259,True,455.1272,292.0652458667755,-1,1022.0154451934359,850
0.08757456,30.590088,106.4,0.5730285,1043.6665,2549.634,3306604.8,829.06946,1.2289754,50,10.0,1405.7444,,0.97895926,2559.6135,4.1115527,1053.6461,10.0,[-0.641  1.172 -1.381 -1.973 -0.806],0.024579508,0.019579185,18,29.551392,0.08223105,0.0017514911,1.6919677,53072,9.979572,610.30804,True,584.2761,326.68661069869995,-1,1053.6460901167516,900
0.103431515,23.542908,107.34,0.5946125,1063.027,3208.8667,15853249.0,873.0805,1.302404,50,10.0,1689.645,,1.38066,3208.8667,8.825358,1063.027,10.0,[-0.664  1.217 -1.433 -1.976 -0.846],0.02604808,0.027613198,19,23.164001,0.17650716,0.0020686302,2.1585217,58439,,507.2351,True,590.06903,360.6432218551636,-1,1063.027129788375,950
0.45406798,44.082375,116.62,0.5808428,1155.8236,2629.391,635207.75,795.0737,1.0615271,50,10.0,1280.0338,,0.3889307,2629.391,2.0676956,1155.8236,10.0,[-0.646  1.163 -1.435 -1.99  -0.824],0.021230543,0.0077786134,20,44.095024,0.04135391,0.009081359,1.1339148,64270,,700.3997,True,518.92505,395.9672770500183,-1,1155.823685318381,1000
0.0064553395,6.3175983,118.68,0.5509249,1136.5156,2159.5535,72456350.0,1378.9448,1.937704,50,9.999999,2559.3928,,5.0952406,2199.4885,31.56021,1176.4507,9.999999,[-0.666  1.178 -1.482 -1.995 -0.838],0.03875408,0.10190481,21,5.2076406,0.6312042,0.00012910679,9.601277,70204,39.935104,795.4882,True,430.7063,432.114333152771,-1,1176.4507757737806,1050
0.014459641,7.262397,127.12,0.52469766,1260.8567,2779.1667,86003200.0,1695.7157,1.8294715,50,9.999999,3050.5654,,4.4380345,2779.1667,25.829403,1260.8567,9.999999,[-0.726  1.173 -1.501 -2.039 -0.868],0.03658943,0.08876069,22,6.3115816,0.51658803,0.0002891928,7.9219446,76560,,779.4908,True,488.04904,472.64431142807007,-1,1260.8566226891753,1100
0.18078312,34.258224,124.02,0.48821196,1079.9689,2348.9653,783696.7,932.40656,1.2071658,50,10.0,1457.0956,,0.8182978,2498.8477,4.744561,1229.8512,10.0,[-0.668  1.177 -1.515 -2.032 -0.894],0.024143316,0.016365957,23,34.02255,0.09489122,0.0036156625,1.4696136,82761,149.88243,797.0382,True,354.92508,510.97988843917847,-1,1229.8512887676654,1150
0.37954095,44.824684,111.96,0.48303026,1089.3287,2069.8506,268202.56,797.92993,1.068355,50,9.999999,1180.5037,,0.36301577,2089.8125,2.2464416,1109.2905,9.999999,[-0.673  1.167 -1.498 -2.027 -0.931],0.021367097,0.007260315,24,44.758514,0.04492883,0.0075908187,1.1171058,88359,19.9618,747.3244,True,363.4813,548.9865310192108,-1,1109.290545098933,1200
0.2516069,34.32677,125.82,0.45561922,1237.8787,2189.691,1357490.9,1017.2793,1.135837,50,10.0,1463.3057,,0.7675009,2199.6714,5.1229286,1247.859,10.0,[-0.704  1.202 -1.478 -2.073 -0.936],0.022716738,0.015350017,25,36.482605,0.10245857,0.005032138,1.3705162,94650,9.980396,866.86475,True,409.45624,592.3701446056366,-1,1247.8590232001397,1250
0.0017597782,5.9751425,127.88,0.35650563,1038.6235,2109.6436,52345828.0,1756.4182,2.4146903,50,10.0,3177.426,,6.5544505,2339.5276,36.040718,1268.5079,10.0,[-0.704  1.21  -1.458 -2.119 -0.963],0.048293807,0.131089,26,4.0658803,0.72081435,3.5195564e-05,12.297461,101044,229.88412,863.2897,True,344.53964,631.5383579730988,-1,1268.5078269341157,1300
0.46242142,42.654427,132.0,0.375295,489.83548,1919.4109,1061323.9,909.5614,1.0636449,50,10.0,1426.7307,,0.44139516,2739.256,3.0237756,1309.6807,10.0,[-0.682  1.203 -1.466 -2.129 -1.062],0.021272898,0.008827903,27,42.08149,0.06047551,0.009248428,1.1881709,107644,819.8452,835.2276,True,371.38303,672.1689314842224,-1,1309.6806937870379,1350
2.7962778e-05,1.0012739,125.9,0.36819452,1238.7153,2299.432,3726061000000.0,180445.5,142.2936,50,10.0,274459.9,,995.40845,2309.4158,7110.1523,1248.6991,10.0,[-0.673  1.2   -1.465 -2.142 -1.044],2.8458717,19.908169,28,0.0009051212,142.20305,5.5925557e-07,55241.22,113939,9.983768,848.69653,True,452.93723,705.8656203746796,-1,1248.6991525450412,1400
9.350627e-05,1.3302388,113.12,0.24928786,1110.97,2609.5242,6472908000.0,7109.819,7.7045302,50,10.0,12645.609,,46.602684,2619.5051,333.02087,1120.9507,10.0,[-0.756  1.147 -1.463 -2.143 -1.051],0.15409058,0.93205374,29,0.33586943,6.6604176,1.8701254e-06,148.86737,119595,9.980838,667.23926,True,417.95535,747.4675140380859,-1,1120.9507016259229,1450
0.08269362,13.054318,116.88,0.22944637,1158.5704,2419.7615,11605444.0,1081.7158,1.5465293,50,10.0,1881.488,,2.601734,2419.7615,15.775967,1158.5704,10.0,[-0.711  1.154 -1.483 -2.187 -1.17 ],0.030930584,0.05203468,30,13.731052,0.31551933,0.0016538724,3.6413815,125439,,739.45544,True,335.09348,789.6310949325562,-1,1158.5704193046706,1500
0.0011294989,3.977551,128.92,0.20317662,519.1774,1689.8386,67944970.0,2643.4004,3.2275147,50,10.0,4549.4644,,10.978556,2449.6255,76.84623,1278.9644,10.0,[-0.67   1.141 -1.472 -2.197 -1.189],0.0645503,0.21957111,31,2.477512,1.5369246,2.2589978e-05,20.181538,131885,759.78687,854.67664,True,359.25687,831.8486046791077,-1,1278.9643241844983,1550
