ESSRenyi,InitialReturnMax,EpThisIter,VarianceInit,Bound,ESSClassic,TimestepsSoFar,EpRewMean,OptimizationReturnMin,InitialReturnMin,MinIW,StdIW,MeanIW,MeanEntropy,StdIWNorm,LearnableVariance,EmpiricalD2,MeanIWNorm,ReturnMeanIW,Weights,ReturnStepMax,J_sample_variance,MinIWNorm,OptimizationReturnMax,EpisodesSoFar,MaxIWNorm,InitialBound,OptimizationReturnMean,Iteration,MaxIW,InitialReturnMean,EpLenMean,TimeElapsed,InitialReturnStd,ReturnStepMaxmin
35.588184,139.95068,50,-1,41.12139,37.002583,338,57.563694480574924,,9.97996,0.26905376,0.6766463,1.1416928,1.2451822,0.013532925,True,1.4049606,0.022833852,69.853516,[ 0. -0. -0. -0.  0.],9.999963,5266.833,0.005381075,129.97072,50,0.08913392,33.323524,47.58373,1,4.456696,57.563698,6.76,0.7472529411315918,34.54377,9.999963
40.757607,229.95795,50,-1,34.18274,42.4364,711,64.56088112590842,,,0.5646201,0.46028227,1.0902578,1.3268559,0.009205645,True,1.2267649,0.021805156,78.29809,[-0.455 -0.035 -0.301  0.013 -0.174],9.999997,7742.775,0.011292402,229.95795,100,0.06301849,24.730999,64.56088,2,3.150925,64.56088,7.46,1.7318966388702393,45.512535,9.999997
12.60038,389.8165,50,-1,86.69281,5.3788567,1103,68.3588419557998,,9.981441,0.042033397,3.2714646,1.1358391,1.323243,0.06542929,True,3.9681342,0.022716785,221.19025,[-0.477  0.04  -0.368 -0.144 -0.092],9.99993,1613244.5,0.0008406679,379.83505,150,0.47430924,0.84064484,58.377403,3,23.715462,68.35884,7.84,2.3623151779174805,58.674335,9.99993
5.9095106,299.78375,50,-1,350.55646,4.703588,1642,97.73531481913538,,9.983052,0.0017333763,7.1968503,2.3191307,1.0208582,0.143937,True,8.4609375,0.046382617,501.59158,[-0.544 -0.23  -0.45  -0.396 -0.096],9.99997,4167783.5,3.4667526e-05,289.8007,200,0.94317234,45.811245,87.75226,4,47.15862,97.73531,10.78,3.203279495239258,66.33576,9.99997
41.8131,419.7829,50,-1,120.9994,40.690506,2512,163.90517815151702,,9.981482,0.36658543,0.52105325,1.0893451,1.0512086,0.010421064,True,1.1957976,0.0217869,200.50801,[-0.801  0.121 -0.782 -0.664 -0.398],9.999994,56172.125,0.0073317084,409.80142,250,0.07581855,91.196655,153.9237,5,3.790928,163.9052,17.4,4.329140901565552,104.32512,9.999994
25.531319,479.84155,50,-1,249.43546,25.497463,3572,201.8902634461166,,19.976557,0.12966545,1.2826095,1.3083909,0.9651479,0.025652189,True,1.958379,0.026167816,365.74274,[-1.036  0.082 -0.99  -0.682 -0.368],9.999994,228676.86,0.002593309,459.865,300,0.09688569,118.77925,181.9137,6,4.8442845,201.89026,21.2,5.28057599067688,128.44356,9.999994
16.304152,599.76337,50,-1,198.1217,8.780951,4830,241.46754131686134,,,0.020679438,2.5162263,1.1613723,0.8398203,0.050324526,True,3.0667036,0.023227444,380.04004,[-1.253  0.306 -1.158 -0.903 -0.454],9.999997,1385505.9,0.00041358877,599.76337,350,0.31366813,137.58548,241.46754,7,15.683407,241.46754,25.16,6.913911819458008,140.56929,9.999997
16.076689,859.6669,50,-1,242.71835,7.312605,6188,261.4624238064741,,9.98124,0.076365255,4.2723646,1.7682942,0.8189072,0.08544729,True,3.110093,0.035365883,505.30795,[-1.095  0.357 -1.146 -0.818 -0.579],9.99999,2008232.8,0.0015273051,849.6856,400,0.5991635,112.563736,251.48117,8,29.958174,261.4624,27.16,8.261610507965088,167.37328,9.99999
17.131266,629.7106,50,-1,197.56209,15.691074,7529,258.072711863494,,9.98098,0.034995828,1.8985333,1.283929,0.7005883,0.037970666,True,2.9186401,0.02567858,383.896,[-1.206  0.513 -1.293 -0.767 -0.6  ],9.999999,447611.12,0.00069991656,619.7296,450,0.18051548,149.00366,248.09172,9,9.025774,258.07272,26.82,9.637084484100342,123.086006,9.999999
42.212227,779.79663,50,-1,226.91849,41.99282,9189,321.8560164589311,,59.91062,0.4066723,0.4676062,1.070849,0.7025525,0.009352123,True,1.1844909,0.021416979,373.91528,[-1.362  0.49  -1.341 -0.845 -0.718],9.999998,66449.08,0.008133446,719.886,500,0.045356873,186.79128,261.9454,10,2.2678437,321.85602,33.2,11.034717798233032,140.97675,9.999998
