MinVanillaIw,Bound,EpsThisIter,MinNormIw,VarJ,J,VanillaAvgRet,BatchSize,VarVanillaIw,ESSClassic,MaxNormIw,IterType,AvgVanillaIw,Delta,VarDiscRet,VarNormIw,AvgNormIw,AvgEpLen,eRenyi2,AvgRet,VarRet,MaxVanillaIw,ESSRenyi,AvgDiscRet
,-1133.25,100,,0.0450964,-1133.25,-1440.71148367,100,0.00119736,1.0146988924,0.992709,1,0.00348589,1.0,139465.810687,0.00985368,0.01,500.0,1.00293,-1440.71148367,139465.810687,0.346047,99.7076974279,-1440.71148367
2.88978,nan,100,nan,nan,nan,-1440.71148367,200,nan,nan,nan,,inf,1.0,0.115191240114,nan,nan,500.0,nan,-1440.71148367,139465.810687,inf,nan,-1133.43995074
1.84078e-24,-1133.6,100,2.77445e-26,3.75638,-1133.6,-1455.96382797,200,6.31067,3.44488050109,0.493096,1,0.331737,1.0,142411.247728,0.0014336,0.005,500.0,inf,-1455.96382797,142411.247728,32.7157,,-1455.96382797
1.0,-1133.67,100,0.01,0.585517,-1133.67,-1133.66884803,200,,100.0,0.01,2,1.0,1.0,0.346293603982,3.50449e-18,0.01,500.0,1.0,-1133.66884803,0.346293603982,1.0,200.0,-1133.66884803
0.0305664,nan,100,5.47009e-26,0.656369,-1134.98,-1455.96382797,300,inf,,0.972187,,2.79396e+21,1.0,0.404672109372,0.00472689,0.005,500.0,nan,-1455.96382797,142411.247728,5.43249e+23,nan,-1133.72020455
9.39148e-15,-1133.83,100,9.94061e-17,3.77688,-1133.83,-1493.55545412,300,3.13389,9.23236672008,0.262045,1,0.31492,1.0,144622.537096,0.000351108,0.00333333,500.0,4.20613e+22,-1493.55545412,144622.537096,24.7569,7.13245231452e-21,-1493.55545412
1.0,-1133.71,100,0.01,0.717621,-1133.71,-1133.71379085,300,,100.0,0.01,2,1.0,1.0,0.52018564022,3.50449e-18,0.01,500.0,1.0,-1133.71379085,0.52018564022,1.0,300.0,-1133.71379085
1.0,-1133.67,100,0.005,0.617362,-1133.67,-1133.63375827,300,,200.000000102,0.005,2,1.0,1.0,0.246555371257,2.1793e-19,0.005,500.0,1.0,-1133.63375827,0.246555371257,1.0,300.0,-1133.63375827
8.16438e-06,-1133.43,100,3.98855e-08,1.71131,-1133.43,-1133.71447249,300,9.16334,14.5511788068,0.240257,1,0.682318,1.0,0.488683358726,0.000218694,0.00333333,500.0,inf,-1133.71447249,0.488683358726,49.1796,,-1133.71447249
1.0,-1133.48,100,0.01,0.475593,-1133.48,-1133.4806702,300,,100.0,0.01,2,1.0,1.0,0.228482049152,3.50449e-18,0.01,500.0,1.0,-1133.4806702,0.228482049152,1.0,300.0,-1133.4806702
1.0,-1133.5,100,0.005,0.485552,-1133.5,-1133.52841593,300,,200.000000102,0.005,2,1.0,1.0,0.246658310412,2.1793e-19,0.005,500.0,1.0,-1133.52841593,0.246658310412,1.0,300.0,-1133.52841593
0.355986,-1106.61,100,0.00113851,416.577,-1106.61,-1128.53466571,300,2.41511,93.2882059379,0.0614792,1,1.04226,1.0,1788.22605887,2.47028e-05,0.00333333,500.0,inf,-1128.53466571,1788.22605887,19.2231,,-1128.53466571
1.0,-1142.0,100,0.01,62.1437,-1142.0,-1141.99559149,300,,100.0,0.01,2,1.0,1.0,3900.85082125,3.50449e-18,0.01,500.0,1.0,-1141.99559149,3900.85082125,1.0,300.0,-1141.99559149
1.0,-1142.97,100,0.005,67.9567,-1142.97,-1143.93772291,300,,200.000000102,0.005,2,1.0,1.0,5426.77707907,2.1793e-19,0.005,500.0,1.0,-1143.93772291,5426.77707907,1.0,300.0,-1143.93772291
0.0520207,-1139.43,100,0.000124184,46.2577,-1139.43,-1128.53466571,400,0.302572,259.815090843,0.00670588,,1.39634,1.0,494.093665695,1.72428e-06,0.00333333,500.0,1.36575,-1128.53466571,1788.22605887,2.8091,292.879200974,-1137.30671578
0.262315,-1103.36,100,0.000605667,416.771,-1103.36,-1132.50314305,400,4.17135,87.9276971219,0.0539408,1,1.08275,1.0,170.029454055,2.2238e-05,0.0025,500.0,inf,-1132.50314305,170.029454055,23.3619,,-1132.50314305
1.0,-1140.1,100,0.01,84.9605,-1140.1,-1140.10098703,400,,100.0,0.01,2,1.0,1.0,7291.1916794,3.50449e-18,0.01,500.0,1.0,-1140.10098703,7291.1916794,1.0,400.0,-1140.10098703
1.0,-1138.9,100,0.005,71.7787,-1138.9,-1137.70410875,400,,200.000000102,0.005,2,1.0,1.0,3114.3520842,2.1793e-19,0.005,500.0,1.0,-1137.70410875,3114.3520842,1.0,400.0,-1137.70410875
1.0,-1144.35,100,0.00333333,87.856,-1144.35,-1155.23119825,400,,299.999969474,0.00333333,2,1.0,1.0,12801.9391432,5.43914e-20,0.00333333,500.0,1.0,-1155.23119825,12801.9391432,1.0,400.0,-1155.23119825
0.0428048,-1143.71,100,6.88094e-05,100.58,-1143.71,-1132.50314305,500,0.497585,331.89078891,0.00612818,,1.5552,1.0,6031.32757987,1.28581e-06,0.0025,500.0,1.53141,-1132.50314305,170.029454055,3.81221,326.495484585,-1138.48922223
0.229429,-1108.31,100,0.000445723,396.048,-1108.31,-1133.43097999,500,3.38074,119.514523901,0.0444716,1,1.02947,1.0,0.143224672804,1.27599e-05,0.002,500.0,inf,-1133.43097999,0.143224672804,22.891,,-1133.43097999
1.0,-1147.18,100,0.01,83.8804,-1147.18,-1147.18275044,500,,100.0,0.01,2,1.0,1.0,7106.99671241,3.50449e-18,0.01,500.0,1.0,-1147.18275044,7106.99671241,1.0,500.0,-1147.18275044
1.0,-1141.42,100,0.005,60.1338,-1141.42,-1135.64868054,500,,200.000000102,0.005,2,1.0,1.0,131.016838614,2.1793e-19,0.005,500.0,1.0,-1135.64868054,131.016838614,1.0,500.0,-1135.64868054
1.0,-1142.41,100,0.00333333,66.4473,-1142.41,-1144.39736726,500,,299.999969474,0.00333333,2,1.0,1.0,6068.3198303,5.43914e-20,0.00333333,500.0,1.0,-1144.39736726,6068.3198303,1.0,500.0,-1144.39736726
1.0,-1141.42,100,0.0025,72.472,-1141.42,-1138.45598502,500,,400.0,0.0025,2,1.0,1.0,7829.63388287,5.4346e-20,0.0025,500.0,1.0,-1138.45598502,7829.63388287,1.0,500.0,-1138.45598502
1.60266e-21,-1133.35,100,8.01169e-24,2.00182,-1133.35,-1162.17086378,500,4.16138,18.555568029,0.197294,1,0.400081,1.0,15675.5452803,0.000103992,0.002,500.0,1.08851e+10,-1162.17086378,15675.5452803,39.4668,4.59343569729e-08,-1162.17086378
1.0,-1133.51,100,0.01,0.459638,-1133.51,-1133.51114292,500,,100.0,0.01,2,1.0,1.0,0.213394170861,3.50449e-18,0.01,500.0,1.0,-1133.51114292,0.213394170861,1.0,500.0,-1133.51114292
1.0,-1133.49,100,0.005,0.476105,-1133.49,-1133.45904104,500,,200.000000102,0.005,2,1.0,1.0,0.243155377238,2.1793e-19,0.005,500.0,1.0,-1133.45904104,0.243155377238,1.0,500.0,-1133.45904104
1.0,-1133.45,100,0.00333333,0.42737,-1133.45,-1133.36911001,500,,299.999969474,0.00333333,2,1.0,1.0,0.0864835414084,5.43914e-20,0.00333333,500.0,1.0,-1133.36911001,0.0864835414084,1.0,500.0,-1133.36911001
1.0,-1133.45,100,0.0025,0.419958,-1133.45,-1133.47412927,500,,400.0,0.0025,2,1.0,1.0,0.158534718094,5.4346e-20,0.0025,500.0,1.0,-1133.47412927,0.158534718094,1.0,500.0,-1133.47412927
