ESSClassic,ESSRenyi,AvgEpLen,VarDiscRet,AvgNormIw,J,MaxNormIw,BatchSize,AvgVanillaIw,VarJ,MaxVanillaIw,MinVanillaIw,VarNormIw,VanillaAvgRet,AvgDiscRet,VarRet,eRenyi2,Bound,MinNormIw,AvgRet,VarVanillaIw
37.7364444733,37.722899963,200.0,5113440.00052,0.01,-78.906,0.0371866,100,0.998859,207.506,3.71442,5.22089e-22,0.000166662,-2091.37048902,-2091.37048902,5113440.00052,2.65091,-867.743,5.22685e-24,-2091.37048902,1.66282
89.598118245,89.0657238927,200.0,243582.872476,0.01,-18.4817,0.0136169,100,0.995197,49.2567,1.35515,0.0560299,1.17268e-05,-97.9257474706,-97.9257474706,243582.872476,1.12277,-287.154,0.000563003,-97.9257474706,0.116144
86.9643202436,88.1300069223,200.0,98.6062717288,0.01,-9.12285,0.0138564,100,0.993825,8.43321,1.37709,0.0121945,1.51411e-05,-10.0247307612,-10.0247307612,98.6062717288,1.13469,-14.6424,0.000122703,-10.0247307612,0.149547
45.1887612072,53.3129486038,200.0,59.6412739988,0.01,-6.67855,0.0302322,100,0.843045,9.43362,2.54871,6.87828e-10,0.000122519,-8.35977884999,-8.35977884999,59.6412739988,1.87572,-9.91783,8.15885e-12,-8.35977884999,0.870774
108.316364628,138.704657215,200.0,59.0149871453,0.005,-8.34352,0.0469907,200,1.08029,8.2563,10.1527,0.623263,2.12674e-05,-8.94593618838,-8.94593618838,59.0149871453,1.44191,-10.2501,0.00288471,-8.94593618838,0.992782
127.867240466,122.908485602,200.0,55.8883143933,0.005,-7.34323,0.0107638,200,1.06061,9.3539,2.28325,4.74838e-06,1.41739e-05,-8.05558073545,-8.05558073545,55.8883143933,1.62723,-9.28016,2.23851e-08,-8.05558073545,0.637766
293.181689794,293.806038325,200.0,51.2161510173,0.00333333,-7.8921,0.00384605,300,0.991551,7.02105,1.14407,0.436727,2.59267e-07,-7.92658450224,-7.92658450224,51.2161510173,1.02108,-9.20113,0.00146816,-7.92658450224,0.0229414
369.479982955,367.732376165,200.0,54.1202310698,0.0025,-8.56262,0.00320995,400,1.00019,7.60393,1.28423,0.124402,5.1756e-07,-8.68821875138,-8.68821875138,54.1202310698,1.08775,-9.74875,0.000310945,-8.68821875138,0.0828412
46.3201734503,45.8833105921,200.0,58.093013556,0.0025,-5.93802,0.0349266,400,0.88071,13.2838,12.3041,,4.78418e-05,-8.41549092398,-8.41549092398,58.093013556,8.71777,-9.14141,,-8.41549092398,5.93735
468.115519271,457.729496673,200.0,53.3198203725,0.002,-8.15986,0.00719685,500,0.996566,7.57674,3.58607,0.835606,2.72996e-07,-8.23383073309,-8.23383073309,53.3198203725,1.09235,-9.09514,0.00167697,-8.23383073309,0.0677811
