EpRewMean,MeanD2-0,ReturnStepMax,OptimizationReturnMin,MaxIW,DivergenceHarmonic,TimeElapsed,MeanEntropy,Epsilon,EpThisIter,Weights,ReturnStepMaxmin,StdIW,InitialBound,EpisodesSoFar,InitialReturnMin,EpLenMean,ESSRenyiHarmonic,ReturnMeanIW,MinIW,Penalization,Iteration,EmpiricalD2Arithmetic,OptimizationReturnMean,StdWReturnMean,LearnableVariance,MeanIW,TimestepsSoFar,ESSRenyiArithmetic,WReturnMean,OptimizationReturnMax,InitialReturnMax,Inner Iteration,Bound,InitialReturnStd,InitialReturnMean,MinBehavPdf,VarianceInitializer,MinTargetPdf,EmpiricalD2Harmonic
200.793463303526,6.109775e+23,9.999998,,7.4435606,inf,13.303133249282837,0.41894197,1.0,11,[ 0.011  0.708 -0.471 -1.283],9.999998,2.122816,-inf,132,,21.09090909090909,1.8003936e-23,410.6119,1.354436e-33,True,6,6.109775e+23,200.79346,,,0.8024265,1352,1.8003936e-23,410.6119,409.75345,409.75345,2,-inf,118.99433,200.79346,-18.022722,-1.0,-42.861794,6.109775e+23
262.6012562931582,1.0,9.999993,,2633.8442,1654638700000000.0,14.085192203521729,0.41894197,1.0,11,[ 0.011  0.708 -0.471 -1.283],9.999993,746.8789,-96196.41,143,179.87328,27.272727272727273,11.0,14740515.0,0.31823045,True,7,1.0,82.727974,,,301.051,1652,11.0,73651.68,180.0009,359.87418,1,-917071000000.0,68.50009,262.60126,-14.185056,-1.0,-14.185056,1.0
196.2810912125641,232.14955,9.999998,,1.2085977,1.39810345e+20,14.924745082855225,0.41894197,1.0,11,[ 0.13   0.919 -0.414 -1.257],9.999998,0.40722016,-97277460000000.0,154,19.968773,20.636363636363637,0.04738325,20705.785,6.222981e-11,True,7,232.14955,176.31232,,,0.29452845,1879,0.04738325,21945.357,379.90033,399.8691,2,-329115560000000.0,105.825615,196.28107,-16.658731,-1.0,-28.331861,232.14955
157.17058312627267,1.0,9.999984,,13944.533,3.478636e+18,15.718438148498535,0.41894197,1.0,11,[ 0.088  0.887 -0.445 -1.2  ],9.999984,3971.679,-63740.38,165,9.984526,16.727272727272727,11.0,43923468.0,0.5098721,True,8,1.0,147.18605,,,1453.1819,2063,11.0,35913.496,389.83185,399.81638,1,-51900204000000.0,105.881546,157.1706,-15.073336,-1.0,-15.073336,1.0
320.7397783406022,31131784.0,9.999992,,1.492984,inf,16.46862030029297,0.41894197,1.0,11,[ 0.025  0.687 -0.45  -1.337],9.999992,0.42655635,-inf,176,29.94935,33.09090909090909,3.5333665e-07,3306.8933,1.38795754e-11,True,8,31131784.0,290.79044,,,0.20414029,2427,3.5333665e-07,3306.8933,879.7119,909.66125,2,-inf,251.5253,320.73978,-33.75219,-1.0,-46.25249,31131784.0
205.32192499922664,1.0,9.999993,,7098.668,8.394635e+17,17.213079690933228,0.41894197,1.0,11,[ 0.025  0.687 -0.45  -1.337],9.999993,2030.883,-90696.19,187,29.942837,21.545454545454547,11.0,120571520.0,0.47138643,True,9,1.0,175.37909,,,678.90405,2664,11.0,58534.797,399.88614,429.82898,1,-29467080000000.0,127.975395,205.32193,-20.416996,-1.0,-20.416996,1.0
424.3162229821242,88767005000.0,10.0,,51.30949,inf,18.493613243103027,0.41894197,1.0,11,[-0.114  0.512 -0.455 -1.448],10.0,14.663237,-inf,198,219.9062,43.45454545454545,1.2391992e-10,270602.72,8.663965e-14,True,9,88767005000.0,204.41002,,,5.005673,3142,1.2391992e-10,270602.72,469.6501,689.5563,2,-inf,163.83084,424.31622,-29.079666,-1.0,-44.118176,88767005000.0
447.0652247297578,1.0,10.0,,25868.713,5.207526e+23,19.76071047782898,0.41894197,1.0,11,[-0.114  0.512 -0.455 -1.448],10.0,7528.561,-408747.38,209,19.969784,45.72727272727273,11.0,1310585700.0,0.106009714,True,10,1.0,427.09543,,,3046.7515,3645,11.0,255022.47,919.7538,939.7236,1,-1.10932546e+17,234.85133,447.06525,-34.057877,-1.0,-34.057877,1.0
443.44801898418496,197317.4,9.999993,,0.91884255,7.596834e+35,21.14042615890503,0.41894197,1.0,11,[ 0.141  0.475 -0.454 -1.877],9.999993,0.2736822,-1.0954363e+23,220,59.914867,45.36363636363637,5.5747743e-05,56799.68,8.125511e-08,True,10,197317.4,383.53317,,,0.23609294,4144,5.5747743e-05,56799.68,789.7818,849.69666,2,-1.0954363e+23,212.50905,443.44803,-35.841446,-1.0,-43.47081,197317.4
546.1419031956339,1.0,9.999997,,161.34943,1963538300000000.0,23.300536632537842,0.41894197,1.0,11,[ 0.141  0.475 -0.454 -1.877],9.999997,45.528183,-938259.7,231,,55.63636363636363,11.0,39079330.0,0.11416999,True,11,1.0,546.1419,,,17.959618,4756,11.0,481632.44,1619.604,1619.604,1,-20233977000000.0,428.2072,546.1419,-61.66523,-1.0,-61.66523,1.0
