EmpiricalD2Harmonic,EpRewMean,EpLenMean,Weights,InitialReturnMax,Iteration,MeanD2-0,EpisodesSoFar,Penalization,Inner Iteration,OptimizationReturnMean,MinTargetPdf,ESSRenyiHarmonic,ReturnMeanIW,InitialReturnStd,InitialReturnMean,EmpiricalD2Arithmetic,ReturnStepMaxmin,LearnableVariance,DivergenceHarmonic,OptimizationReturnMax,WReturnMean,EpThisIter,MeanIW,OptimizationReturnMin,StdIW,MaxIW,InitialBound,VarianceInitializer,TimeElapsed,ESSRenyiArithmetic,ReturnStepMax,InitialReturnMin,Epsilon,MinIW,MinBehavPdf,StdWReturnMean,TimestepsSoFar,Bound,MeanEntropy
359850050.0,33.61825732235272,4.363636363636363,[-0.272  0.152 -0.061  1.438],49.987553,7,359850050.0,154,True,2,23.637114,-17.20155,3.0568287e-08,53.665817,11.499434,33.61826,359850050.0,9.999942,,inf,40.006405,53.665817,11,0.18044175,,0.3883816,1.2131293,-inf,-1.0,9.973644733428955,3.0568287e-08,9.999942,9.981147,1.0,6.7490033e-12,-5.61286,,1046,-inf,0.41894197
1.0,39.9724014914033,5.0,[-0.272  0.152 -0.061  1.438],59.979614,8,1.0,165,True,1,20.005135,-3.6207237,11.0,190703250.0,11.282333,39.972397,1.0,9.999662,,1.3366909e+24,40.01235,1725.0839,11,79979.49,,220206.7,769139.1,-2351.3384,-1.0,10.141216039657593,11.0,9.999662,19.967266,1.0,0.28306007,-3.6207237,,1101,-724045700000000.0,0.41894197
5729177600.0,45.42053785343526,5.545454545454546,[-0.328 -0.002 -0.099  0.968],79.97583,8,5729177600.0,176,True,2,25.451586,-12.940278,1.9199964e-09,1946.7262,16.159262,45.420536,5729177600.0,9.99969,,inf,60.006878,1946.7262,11,0.7259144,,1.2138726,4.082899,-inf,-1.0,10.47667908668518,1.9199964e-09,9.99969,19.968952,1.0,2.7786475e-09,-5.224103,,1162,-inf,0.41894197
1.0,48.15417924019756,5.818181818181818,[-0.328 -0.002 -0.099  0.968],69.987,9,1.0,187,True,1,28.186049,-10.802231,11.0,6120809.5,16.416592,48.15418,1.0,9.999995,,3.3839314e+33,50.018867,2588.3296,11,1536.6241,,3367.0618,11284.015,-3440.9937,-1.0,10.83316159248352,11.0,9.999995,19.968132,1.0,0.40109956,-10.802231,,1226,-4.9600786e+19,0.41894197
1.3525224e+16,51.78645103573992,6.181818181818182,[-0.285  0.332 -0.029  1.331],109.97362,9,1.3525224e+16,198,True,2,31.812035,-27.997362,8.1329525e-16,2569.9175,29.476131,51.786453,1.3525224e+16,9.999999,,nan,89.9992,2569.9175,11,1.1427668,,1.8675566,5.728297,nan,-1.0,11.120157957077026,8.1329525e-16,9.999999,19.974419,1.0,7.6094873e-23,-5.985056,,1294,nan,0.41894197
1.0,29.07119293878645,3.909090909090909,[-0.285  0.332 -0.029  1.331],39.989883,10,1.0,209,True,1,19.083632,-6.8215885,11.0,64605504.0,9.951449,29.071196,1.0,9.999748,,1.2940308e+27,30.002323,944.1656,11,45397.89,,110039.46,375141.72,-1222.5488,-1.0,11.432241916656494,11.0,9.999748,9.98756,1.0,0.15205044,-6.8215885,,1337,-1.0014185e+16,0.41894197
14244354000.0,43.607942270114,5.363636363636363,[-0.323  0.044 -0.183  0.954],79.970825,10,14244354000.0,220,True,2,23.627214,-14.785381,7.722358e-10,3156.6094,16.663027,43.607944,14244354000.0,9.999976,,inf,59.990097,3156.6094,11,3.5031433,,10.586126,36.96939,-inf,-1.0,11.734445095062256,7.722358e-10,9.999976,19.980726,1.0,8.352561e-11,-5.3848996,,1396,-inf,0.41894197
1.0,49.963408748708,6.0,[-0.323  0.044 -0.183  0.954],79.92668,11,1.0,231,True,1,29.982586,-9.210524,11.0,116834.43,18.576914,49.963413,1.0,9.999968,,5868473000.0,59.945858,2841.4438,11,57.883434,,119.39322,406.8443,-3953.5002,-1.0,12.000739097595215,11.0,9.999968,19.980824,1.0,0.04599605,-9.210524,,1462,-85306936.0,0.41894197
23.488117,47.23304089855662,5.7272727272727275,[-0.329 -0.14  -0.169  0.785],109.96062,11,23.488117,242,True,2,27.262184,-7.645693,0.46832192,4793.2383,23.385868,47.233044,23.488117,9.999879,,2680101000000.0,89.98976,4805.5117,11,3.7052703,,7.488846,26.974632,-3456982000.0,-1.0,12.378881931304932,0.46832192,9.999879,19.970856,1.0,0.026586246,-6.340541,,1525,-3445827600.0,0.41894197
1.0,30.892716511833918,4.090909090909091,[-0.331 -0.145 -0.168  0.789],49.980377,12,1.0,253,True,1,20.906364,-5.315026,11.0,1658304.8,10.834461,30.892717,1.0,9.999911,,1.2890362e+18,39.994026,1071.7456,11,1443.6007,,3167.9988,10306.991,-1506.5983,-1.0,12.748565196990967,11.0,9.999911,9.986351,1.0,2.2280123,-5.315026,,1570,-493714770000.0,0.41894197
