MeanEntropy,MaxIW,TimeElapsed,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMax,OptimizationReturnMean,InitialBound,LearnableVariance,Epsilon,EpisodesSoFar,EpThisIter,Weights,InitialReturnMin,Iteration,Inner Iteration,Penalization,ReturnStepMax,Bound,StdIW,EpLenMean,VarianceInitializer,InitialReturnStd,TimestepsSoFar,MinIW,WReturnMean,ESSRenyiHarmonic,OptimizationReturnMax,MeanIW,InitialReturnMean,EpRewMean,DivergenceHarmonic,MinBehavPdf,MeanD2-0,ESSRenyiArithmetic,ReturnStepMaxmin,OptimizationReturnMin,ReturnMeanIW,MinTargetPdf,StdWReturnMean
0.41894197,162.96048,22.625393629074097,inf,inf,739.7255,197.1854,-inf,,1.0,154,11,[ 0.067 -0.098 -0.845 -3.76 ],89.873436,7,2,True,9.999999,-inf,47.765392,29.727272727272727,-1.0,201.99774,2435,,489676.56,,649.8521,19.669214,287.0588,287.05882074062333,inf,-28.625967,inf,,9.999999,,489676.56,-105.69473,
0.41894197,94.131165,23.817776918411255,1.0,1.0,469.60257,202.51476,-102390.266,,1.0,165,11,[ 0.067 -0.098 -0.845 -3.76 ],,8,1,True,9.999934,-16582482000000.0,26.365772,21.272727272727273,-1.0,151.62215,2669,0.89518315,64001.5,11.0,469.60257,11.215537,202.51476,202.51476029056602,1.8659118e+17,-20.874313,1.0,11.0,9.999934,,1601656.4,-20.874313,
0.41894197,1.2040879,25.93706774711609,741250.06,741250.06,569.7383,260.72678,-1.7304718e+23,,1.0,176,11,[ 0.131  0.006 -0.862 -3.783],99.85872,8,2,True,9.999943,-1.7304718e+23,0.4536437,37.09090909090909,-1.0,131.42162,3077,2.2701108e-10,5529.2446,1.4839797e-05,469.87958,0.23968309,360.58548,360.5854778165724,9.3786724e+36,-29.407433,741250.06,1.4839797e-05,9.999943,,5529.2446,-31.403679,
0.41894197,30.614405,28.391018390655518,1.0,1.0,879.70264,323.62497,-427657.16,,1.0,187,11,[ 0.131  0.006 -0.862 -3.783],169.7398,9,1,True,9.999986,-71299110000.0,8.666257,50.36363636363637,-1.0,222.56148,3631,0.27318045,292942.44,11.0,709.9628,4.711394,493.36478,493.36478379042967,280093000000.0,-35.73971,1.0,11.0,9.999986,,2978733.2,-35.73971,
0.41894197,12.435004,30.87613034248352,5876482.0,5876482.0,1669.3329,432.50693,-inf,,1.0,198,11,[ 0.035  0.025 -0.88  -3.858],109.851265,9,2,True,9.999964,-inf,3.4482145,55.27272727272727,-1.0,424.05307,4239,8.978445e-10,371868.88,1.8718682e-06,1559.4816,1.7650205,542.3582,542.3581973085982,inf,-81.90727,5876482.0,1.8718682e-06,9.999964,,371868.88,-92.322784,
0.41894197,10113.267,32.77272391319275,1.0,1.0,929.7788,351.626,-369921.3,,1.0,209,11,[ 0.035  0.025 -0.88  -3.858],59.895805,10,1,True,9.999998,-19514379000000.0,2945.5398,42.18181818181818,-1.0,223.79228,4703,1.0881472,219433.22,11.0,869.883,1481.44,411.52185,411.52183812304634,1.6814781e+16,-37.63244,1.0,11.0,9.999998,,306190050.0,-37.63244,
0.41894197,4.1208696,34.69150638580322,367386.78,367386.78,899.78503,337.14694,-4.232161e+23,,1.0,220,11,[ 0.087  0.135 -0.891 -3.832],69.887726,10,2,True,9.999964,-4.232161e+23,1.1904287,41.72727272727273,-1.0,247.65605,5162,7.1546684e-09,4159.7075,2.9941197e-05,829.89734,0.5009389,407.03467,407.0346571013766,9.017438e+36,-41.292347,367386.78,2.9941197e-05,9.999964,,4159.7075,-44.86646,
0.41894197,3684.743,36.39734220504761,1.0,1.0,769.8789,285.34103,-287022.1,,1.0,231,11,[ 0.087  0.135 -0.891 -3.832],79.87819,11,1,True,9.999983,-37038905000000.0,1067.0105,37.54545454545455,-1.0,224.63022,5575,0.5126021,183843.81,11.0,690.00073,582.5225,365.21924,365.21922535336057,1.2886569e+17,-37.179237,1.0,11.0,9.999983,,138305150.0,-37.179237,
0.41894197,2.2836633,37.71904182434082,113005.57,113005.57,559.6686,232.49405,-2.779833e+21,,1.0,242,11,[ 0.011  0.041 -0.89  -3.865],39.928143,11,2,True,9.9996395,-2.779833e+21,0.6909326,28.272727272727273,-1.0,150.72298,5886,1.258916e-08,12972.937,9.734034e-05,519.7404,0.44377568,272.42218,272.42217898356347,2.599128e+33,-25.008774,113005.57,9.734034e-05,9.9996395,,12972.937,-32.24267,
0.41894197,9430.09,39.328179359436035,1.0,1.0,499.79688,232.53804,-138267.31,,1.0,253,11,[ 0.011  0.041 -0.89  -3.865],29.951088,12,1,True,9.999892,-2.2747358e+18,2684.9946,27.272727272727273,-1.0,160.88098,6186,1.657039,94783.25,11.0,469.8458,946.19104,262.48914,262.4891462881294,2.7365394e+27,-29.883898,1.0,11.0,9.999892,,184197700.0,-29.883898,
