InitialReturnStd,VarianceInitializer,LearnableVariance,OptimizationReturnMean,InitialReturnMin,InitialBound,MaxIW,MeanEntropy,StdIW,MinIW,EpisodesSoFar,EpRewMean,StdWReturnMean,ESSRenyiArithmetic,InitialReturnMean,TimestepsSoFar,EmpiricalD2Harmonic,ReturnStepMax,ReturnStepMaxmin,ReturnMeanIW,TimeElapsed,WReturnMean,Inner Iteration,MinTargetPdf,Weights,EpLenMean,MinBehavPdf,ESSRenyiHarmonic,Iteration,Penalization,EpThisIter,OptimizationReturnMin,OptimizationReturnMax,EmpiricalD2Arithmetic,Epsilon,MeanIW,InitialReturnMax,Bound,MeanD2-0,DivergenceHarmonic
95.425316,-1.0,,87.24207,9.980229,-37503.547,10419.043,0.41894197,2993.7393,0.13318235,11,97.22230700089337,,11.0,97.22231,118,1.0,9.999937,9.999937,6070630.0,3.0804054737091064,18558.168,1,-15.862925,[-0. -0.  0. -0.],10.727272727272727,-15.862925,11.0,1,True,11,,319.91803,1.0,1.0,952.07416,329.89825,-117102445000.0,1.0,38201536000000.0
58.19599,-1.0,,65.419334,39.94698,-457587330000.0,1.9705049,0.41894197,0.55908453,0.00014513714,22,105.36631029120208,,0.19937779,105.36631,245,55.171646,9.999886,9.999886,663.1206,6.802964687347412,641.7471,2,-14.51124,[-0.042 -0.235 -0.079 -0.432],11.545454545454545,-10.099842,0.19937778,1,True,11,,209.95692,55.171642,1.0,0.23594715,249.9039,-449795000000.0,55.171642,1711792400000000.0
51.46441,-1.0,,61.784058,29.959953,-19480.516,16.576574,0.41894197,4.7350297,0.43276447,33,91.74400965574881,,11.0,91.74401,357,1.0,9.999756,9.999756,62844.594,7.4584643840789795,11065.549,1,-7.746907,[-0.057 -0.217 -0.097 -0.439],10.181818181818182,-7.746907,11.0,2,True,11,,189.90427,1.0,1.0,4.6013827,219.86423,-25937700.0,1.0,9454783.0
52.10289,-1.0,,64.51063,19.966068,-153434.73,54.96983,0.41894197,17.388813,1.2573017,44,84.47669933334276,,5.469549,84.47669,461,2.0111346,9.999941,9.999941,254340.4,8.03959608078003,3445.5112,2,-9.624193,[-0.882 -0.731 -0.294 -0.312],9.454545454545455,-8.396111,5.469549,2,True,11,,199.96391,2.0111346,1.0,13.238459,219.92998,-4466238.5,2.0111346,250225.7
56.9467,-1.0,,69.07759,29.960527,-20010.3,380.0663,0.41894197,107.98903,0.49753729,55,99.03811761626467,,11.0,99.03812,581,1.0,9.999999,9.999999,1490646.6,8.652695655822754,13051.477,1,-8.9037,[-0.785  0.209 -0.489 -0.05 ],10.909090909090908,-8.9037,11.0,3,True,11,,169.9779,1.0,1.0,39.662575,199.93843,-67754200000.0,1.0,94794280000000.0
13.717647,-1.0,,25.436094,29.985825,-2.4068081e+17,18.081673,0.41894197,5.1344166,6.078136e-09,66,55.421917598277155,,0.0006777066,55.42192,653,16231.214,9.999876,9.999876,7013.587,9.17163872718811,7013.587,2,-12.562798,[-1.024  0.581 -0.697  0.058],6.545454545454546,-5.057352,0.00067770656,3,True,11,,49.965256,16231.213,1.0,2.0176167,79.95108,-2.4068081e+17,16231.213,4.678423e+28
33.14076,-1.0,,40.889923,29.99131,-10036.865,1196897.1,0.41894197,390700.88,14.787375,77,70.88123389722644,,11.0,70.88123,742,1.0,9.999969,9.999969,564853250.0,9.76770281791687,6122.4595,1,-4.8737774,[-1.024  0.581 -0.697  0.058],8.090909090909092,-4.8737774,11.0,4,True,11,,119.96381,1.0,1.0,193034.61,149.95512,-7.292703e+17,1.0,3.4709294e+28
72.78741,-1.0,,110.87744,29.9527,-inf,1.009013,0.41894197,0.2880885,1.0470536e-12,88,140.8301334353972,,2.3322958e-07,140.83014,908,47163828.0,9.999983,9.999983,199.75925,10.57017970085144,199.75925,2,-24.351013,[-1.044  0.26  -0.692 -0.325],15.090909090909092,-12.050933,2.3322958e-07,4,True,11,,199.99133,47163828.0,1.0,0.11001019,229.94403,-inf,47163828.0,inf
105.162834,-1.0,,130.85225,29.988686,-57046.49,26419.51,0.41894197,9135.536,0.47776377,99,160.84093451741595,,11.0,160.84093,1096,1.0,9.999993,9.999993,41206610.0,11.416834115982056,36929.03,1,-12.853392,[-1.044  0.26  -0.692 -0.325],17.09090909090909,-12.853392,11.0,5,True,11,,309.96115,1.0,1.0,4572.2095,339.94983,-1775059100000000.0,1.0,7.7853896e+21
74.392586,-1.0,,166.29625,89.93441,-1.9203602e+20,14.678883,0.41894197,4.1571274,2.0537702e-07,110,256.23066998699824,,0.00039411936,256.23068,1389,27910.324,9.999999,9.999999,48867.93,12.618757009506226,48867.93,2,-26.755753,[-1.067  0.164 -0.796 -0.804],26.636363636363637,-19.949837,0.0003941194,5,True,11,,279.99088,27910.326,1.0,1.7954513,369.9253,-1.9203602e+20,27910.326,6.498651e+31
