EmpiricalD2Harmonic,InitialReturnMax,ESSRenyiHarmonic,TimestepsSoFar,LearnableVariance,Weights,StdIW,EpLenMean,OptimizationReturnMean,MeanEntropy,EpRewMean,InitialReturnMin,InitialBound,MeanD2-0,MaxIW,Bound,Penalization,ReturnStepMax,ReturnMeanIW,MeanIW,EpisodesSoFar,MinIW,DivergenceHarmonic,InitialReturnMean,WReturnMean,ReturnStepMaxmin,OptimizationReturnMin,Epsilon,Iteration,EmpiricalD2Arithmetic,VarianceInitializer,EpThisIter,StdWReturnMean,Inner Iteration,OptimizationReturnMax,TimeElapsed,InitialReturnStd,MinTargetPdf,MinBehavPdf,ESSRenyiArithmetic
74710.12,739.70575,0.00014723575,6392,,[ 0.042  0.503 -0.524 -1.345],3.3562324,35.36363636363637,263.5624,0.41894197,343.4371030371739,79.874664,-1.5448218e+22,74710.12,10.68049,-1.5448218e+22,True,9.999995,80409.734,1.810938,242,0.0002687653,2.6304782e+34,343.4371,80409.734,9.999995,,1.0,11,74710.12,-1.0,11,,2,659.83105,10.057088136672974,162.579,-43.44465,-39.944633,0.00014723575
1.0,1329.7485,11.0,6883,,[ 0.042  0.503 -0.524 -1.345],68.83958,44.63636363636363,396.2607,0.41894197,436.20028121001184,39.939568,-608689.6,1.0,225.51968,-92564260000000.0,True,9.999998,22422560.0,65.09132,253,0.91450995,9.043205e+16,436.2003,300879.38,9.999998,,1.0,12,1.0,-1.0,11,,1,1289.809,10.336642742156982,332.57886,-59.770065,-59.770065,11.0
2.5703946e+31,2288.9119,4.2794986e-31,7930,,[-0.159  0.414 -0.588 -1.446],1.0141338,95.18181818181819,921.48706,0.41894197,941.4557814302777,19.968788,-inf,2.5703946e+31,3.5304396,-inf,True,9.999997,1375.9207,0.32357323,264,,inf,941.4558,1375.9207,9.999997,,1.0,12,2.5703946e+31,-1.0,11,,2,2268.943,10.786613464355469,600.4229,-115.769424,-97.775894,4.2794986e-31
1.0,1699.2245,11.0,8756,,[-0.159  0.414 -0.588 -1.446],76.057014,75.0909090909091,390.64133,0.41894197,740.5067378775261,349.86536,-1163690.2,1.0,217.46587,-389715370000000.0,True,9.999999,73136030.0,61.188183,275,1.0408435,6.011818e+17,740.5067,661062.9,9.999999,,1.0,13,1.0,-1.0,11,,1,1349.3591,11.188674449920654,335.727,-49.285194,-49.285194,11.0
1066714.9,929.7247,1.0312034e-05,9517,,[-0.274  0.377 -0.595 -1.477],3.6282814,69.18181818181819,231.74017,0.41894197,681.5633809894451,449.8232,-inf,1066714.9,12.695703,-inf,True,9.999996,585122.94,1.2479295,286,5.284727e-09,inf,681.5634,585122.94,9.999996,,1.0,13,1066714.9,-1.0,11,,2,479.90146,11.556861639022827,139.83423,-50.223076,-49.32307,1.0312034e-05
1.0,1959.686,11.0,10352,,[-0.274  0.377 -0.595 -1.477],13248.067,75.9090909090909,738.8742,0.41894197,748.8570065526645,9.982841,-1518305.8,1.0,46120.01,-6391518500000000.0,True,9.999998,1117908200.0,4226.289,297,0.20360532,9.140626e+19,748.857,849780.6,9.999998,,1.0,14,1.0,-1.0,11,,1,1949.7032,11.979152202606201,537.5814,-71.61033,-71.61033,11.0
1020388.75,1179.7063,1.0780205e-05,11076,,[-0.173  0.45  -0.601 -1.489],0.9603118,65.81818181818181,588.01587,0.41894197,647.9353965346191,59.9195,-inf,1020388.75,3.1851177,-inf,True,9.999998,85543.59,0.5778239,308,1.6578864e-06,inf,647.93536,85543.59,9.999998,,1.0,14,1020388.75,-1.0,11,,2,1119.7867,12.466646909713745,362.34286,-51.516167,-47.12652,1.0780205e-05
1.0,1149.6445,11.0,12048,,[-0.173  0.45  -0.601 -1.489],38667.086,88.36363636363636,253.70776,0.41894197,873.2869368379984,619.57916,-1018980.1,1.0,134559.4,-5453636000000000.0,True,10.0,13518006000.0,12283.572,319,0.39529482,5.618622e+20,873.2869,788903.7,10.0,,1.0,15,1.0,-1.0,11,,1,530.06537,12.88871955871582,162.09113,-52.605957,-52.605957,11.0
103945.82,1259.7977,0.00010582436,12852,,[-0.297  0.439 -0.613 -1.483],0.5617751,73.0909090909091,700.7096,0.41894197,720.6741109024289,19.964489,-2.4499186e+22,103945.82,1.6146933,-2.4499186e+22,True,9.999998,74533.695,0.33980337,330,6.5726965e-13,7.863464e+33,720.6741,74533.695,9.999998,,1.0,15,103945.82,-1.0,11,,2,1239.8333,13.342928647994995,335.1828,-57.345356,-55.0989,0.00010582436
1.0,1438.8513,11.0,13740,,[-0.297  0.439 -0.613 -1.483],2117.1033,80.72727272727273,247.3337,0.41894197,796.9711358470645,549.63745,-1069254.9,1.0,7277.286,-9.236357e+16,True,9.999999,1110779600.0,1309.5526,341,1.0503644,6.5682807e+22,796.9711,708861.5,9.999999,,1.0,16,1.0,-1.0,11,,1,889.21387,13.708191394805908,271.4747,-66.82663,-66.82663,11.0
