MeanD2-0,EpisodesSoFar,MinTargetPdf,Epsilon,StdIW,StdWReturnMean,Penalization,VarianceInitializer,MinBehavPdf,MaxIW,Bound,MeanIW,InitialReturnMin,Inner Iteration,TimeElapsed,OptimizationReturnMin,ReturnStepMax,InitialReturnMean,ESSRenyiHarmonic,OptimizationReturnMean,WReturnMean,ReturnMeanIW,ReturnStepMaxmin,EmpiricalD2Harmonic,Iteration,InitialReturnStd,EmpiricalD2Arithmetic,LearnableVariance,OptimizationReturnMax,InitialReturnMax,EpLenMean,InitialBound,ESSRenyiArithmetic,MeanEntropy,DivergenceHarmonic,EpThisIter,MinIW,TimestepsSoFar,EpRewMean,Weights
1.0,11,-6.867057,1.0,154988.97,,True,-1.0,-6.867057,539991.4,-384830140000000.0,49928.152,19.96635,1,2.0467283725738525,,9.999976,78.1403,11.0,58.17395,7393.3887,501831700.0,9.999976,1.0,1,35.881504,1.0,,129.99628,149.96263,8.818181818181818,-11308.187,11.0,0.41894197,9.663151e+21,11,1.1051018,97,78.14029903115235,[ 0. -0. -0. -0.]
1493.957,22,-22.180332,1.0,0.9302956,,True,-1.0,-14.069879,3.2537897,-1.1245971e+16,0.3239649,9.981818,2,5.033411026000977,,9.999956,144.42432,0.007362996,134.44249,57.240784,57.240784,9.999956,1493.957,1,83.55525,1493.957,,279.86005,289.84186,15.454545454545455,-1.1245971e+16,0.007362996,0.41894197,5.913757e+23,11,9.0229705e-08,267,144.424309786834,[-0.667 -0.011 -0.443 -0.6  ]
1.0,33,-16.526028,1.0,284807.4,,True,-1.0,-16.526028,996132.94,-2.1611328e+21,99928.95,29.964523,1,5.413650751113892,,9.999986,122.632256,11.0,92.66773,19674.34,2531733500.0,9.999986,1.0,2,68.085754,1.0,,189.95476,219.91928,13.272727272727273,-28093.523,11.0,0.41894197,6.5890626e+34,11,0.13380603,413,122.63225350114811,[-0.667 -0.011 -0.443 -0.6  ]
73069250.0,44,-22.961529,1.0,0.05206469,,True,-1.0,-15.604666,0.16088209,-inf,0.026462387,59.911697,2,5.793294429779053,,9.999998,138.08002,1.5054212e-07,78.16832,261.1195,261.1195,9.999998,73069250.0,2,89.22376,73069250.0,,290.0063,349.91797,14.818181818181818,-inf,1.5054212e-07,0.41894197,inf,11,9.3300485e-11,576,138.08001361805702,[-0.83  -0.81  -0.459 -1.178]
1.0,55,-8.790916,1.0,7016.0034,,True,-1.0,-8.790916,24538.81,-3.4670237e+20,2365.75,69.888535,1,5.981045961380005,,9.999654,127.16763,11.0,57.279102,18446.29,40263196.0,9.999654,1.0,3,47.69362,1.0,,190.00862,259.89716,13.727272727272727,-30204.64,11.0,0.41894197,8.694037e+32,11,0.12520264,727,127.1676354845471,[-0.83  -0.81  -0.459 -1.178]
2.2516818e+22,66,-42.88551,1.0,0.22507575,,True,-1.0,-16.812878,0.78416306,-inf,0.07251255,59.900284,2,6.489097356796265,,9.999992,218.02621,4.885237e-22,158.12593,267.3039,267.3039,9.999992,2.2516818e+22,3,96.65811,2.2516818e+22,,299.9557,359.856,22.818181818181817,-inf,4.885237e-22,0.41894197,inf,11,1.3354019e-26,978,218.02621313832924,[-0.537 -0.169 -0.714 -1.84 ]
1.0,77,-15.837879,1.0,333.10577,,True,-1.0,-15.837879,1178.4202,-161131090000.0,126.14633,109.86154,1,6.8747477531433105,,9.99992,224.37975,11.0,114.518196,56845.145,6600691.5,9.99992,1.0,4,80.6156,1.0,,259.97192,369.83347,23.454545454545453,-80654.95,11.0,0.41894197,45794380000000.0,11,1.4568574,1236,224.37974168940812,[-0.537 -0.169 -0.714 -1.84 ]
2427262000.0,88,-43.49987,1.0,0.13304634,,True,-1.0,-22.607864,0.4628451,-inf,0.055911537,189.78783,2,7.202161073684692,,9.999628,305.23596,4.5318553e-09,115.44815,2934.8503,2934.8503,9.999628,2427262000.0,4,99.03156,2427262000.0,,310.01624,499.80408,31.545454545454547,-inf,4.5318553e-09,0.41894197,inf,11,7.135661e-19,1583,305.2359878732516,[-0.428 -0.005 -0.87  -2.273]
1.0,99,-30.913433,1.0,3962.7598,,True,-1.0,-30.913433,13812.866,-1.2099432e+19,1808.563,139.76965,1,7.820983648300171,,9.999956,365.24075,11.0,225.4711,144084.03,324066240.0,9.999956,1.0,5,103.35965,1.0,,350.0579,489.82755,37.54545454545455,-185850.73,11.0,0.41894197,8.392107e+28,11,3.5957985,1996,365.24074835892293,[-0.428 -0.005 -0.87  -2.273]
6.173774e+23,110,-75.703964,1.0,0.00014286795,,True,-1.0,-47.66001,0.00049696694,-inf,4.517881e-05,399.713,2,8.452519178390503,,9.99999,685.1635,1.7817302e-23,285.4505,14.666349,14.666349,9.99999,6.173774e+23,5,277.05505,6.173774e+23,,900.0211,1299.7341,69.54545454545455,-inf,1.7817302e-23,0.41894197,inf,11,1.0437526e-25,2761,685.1635156251997,[-0.314  0.214 -0.902 -2.29 ]
