Penalization,MinTargetPdf,InitialReturnMax,Weights,TimestepsSoFar,MinBehavPdf,StdWReturnMean,LearnableVariance,Iteration,InitialReturnMin,ReturnStepMaxmin,EpRewMean,EmpiricalD2Harmonic,EpThisIter,DivergenceHarmonic,OptimizationReturnMean,ESSRenyiHarmonic,InitialReturnMean,EpLenMean,EmpiricalD2Arithmetic,StdIW,MeanD2-0,InitialReturnStd,WReturnMean,InitialBound,MeanIW,OptimizationReturnMax,ESSRenyiArithmetic,ReturnStepMax,ReturnMeanIW,Epsilon,MinIW,VarianceInitializer,Inner Iteration,MaxIW,EpisodesSoFar,OptimizationReturnMin,TimeElapsed,MeanEntropy,Bound
True,-11.2939,369.92975,[ 0.  0.  0. -0.],92,-11.2939,,,1,19.965431,9.999988,73.59617383588369,1.0,11,100957410000.0,53.63075,11.0,73.59618,8.363636363636363,1.0,7.8214793,1.0,95.075935,14455.83,-38278.023,5.737224,349.96432,11.0,9.999988,33599.156,1.0,0.7365194,-1.0,1,24.113312,11,,3.7584547996520996,0.41894197,-7569245700.0
True,-12.490002,279.9413,[-0.269 -0.391 -0.078 -0.138],256,-13.657322,,,1,59.929993,9.999992,139.02054670957435,15391.05,11,2.1346308e+30,79.09055,0.0007147011,139.02055,14.909090909090908,15391.051,7.8573527,15391.051,72.919914,93827.69,-1.9931428e+19,5.473842,220.01132,0.000714701,9.999992,93827.69,1.0,0.016526362,-1.0,2,24.619879,22,,7.097694635391235,0.41894197,-1.9931428e+19
True,-7.0415425,199.94958,[-0.269 -0.391 -0.078 -0.138],375,-7.0415425,,,2,49.95378,9.999926,98.11540200210867,1.0,11,4.4536246e+25,48.16162,11.0,98.1154,10.818181818181818,1.0,48259.414,1.0,44.474644,11604.626,-18564.227,21702.355,149.9958,11.0,9.999926,91367790.0,1.0,0.52351,-1.0,1,170599.23,33,,7.839210271835327,0.41894197,-4.64452e+16
True,-32.099594,279.90976,[-0.517 -1.015 -0.255 -0.857],527,-16.075916,,,2,39.93038,9.999857,128.09596447690686,695475.25,11,inf,88.16558,1.5816522e-05,128.09596,13.818181818181818,695475.25,0.24252047,695475.25,83.96419,501.83026,-inf,0.12339518,239.97937,1.5816522e-05,9.999857,501.83026,1.0,1.2078425e-14,-1.0,2,0.688115,44,,8.495958805084229,0.41894197,-inf
True,-16.363733,339.91113,[-0.517 -1.015 -0.255 -0.857],701,-16.363733,,,3,49.919304,9.999985,148.09366648215567,1.0,11,1.5352445e+32,98.17436,11.0,148.09367,15.818181818181818,1.0,10269.493,1.0,81.55293,28582.617,-48695.492,4888.3965,289.99182,11.0,9.999985,212988540.0,1.0,1.1229029,-1.0,1,31768.545,55,,9.163010835647583,0.41894197,-2.4920834e+20
True,-34.021935,349.8892,[-0.541 -1.222 -0.438 -1.818],874,-19.577053,,,3,39.927185,9.999873,147.1813050529226,8287584500000.0,11,inf,107.25412,1.3272866e-12,147.1813,15.727272727272727,8287584500000.0,0.13036859,8287584500000.0,99.44864,507.18494,-inf,0.06800284,309.962,1.3272866e-12,9.999873,507.18494,1.0,3.040704e-19,-1.0,2,0.38194647,66,,9.732944250106812,0.41894197,-inf
True,-13.95059,259.91888,[-0.541 -1.222 -0.438 -1.818],1041,-13.95059,,,4,29.961245,9.999911,141.7245513790321,1.0,11,3.039908e+18,111.763306,11.0,141.72455,15.181818181818182,1.0,1552.5642,1.0,65.05233,24317.656,-36077.973,913.97656,229.95764,11.0,9.999911,22272916.0,1.0,0.44910184,-1.0,1,5107.267,77,,10.50551962852478,0.41894197,-20504512000000.0
True,-15.996257,209.92012,[-0.651 -1.646 -0.15  -0.967],1154,-7.7897043,,,4,29.954266,9.999804,92.64594389388844,18562.322,11,2.2388741e+29,62.691677,0.0005925983,92.64594,10.272727272727273,18562.322,0.3267943,18562.322,50.822952,544.4906,-3.6296605e+18,0.16677995,179.96585,0.0005925983,9.999804,544.4906,1.0,7.305895e-08,-1.0,2,1.1242335,88,,11.163004875183105,0.41894197,-3.6296605e+18
True,-6.420416,199.90979,[-0.651 -1.646 -0.15  -0.967],1257,-6.420416,,,5,39.928513,9.999562,83.5611448156538,1.0,11,3.2972874e+19,43.632633,11.0,83.56115,9.363636363636363,1.0,33.806446,1.0,43.538204,8878.041,-15834.871,27.847933,159.98128,11.0,9.999562,209886.66,1.0,1.3519366,-1.0,1,126.01074,99,,11.669085025787354,0.41894197,-39947500000000.0
True,-25.584665,289.9181,[-0.633 -2.087 -0.212 -1.862],1443,-18.857695,,,5,49.93875,9.999925,159.0076103583998,924262000000.0,11,inf,109.068855,1.1901387e-11,159.00761,16.90909090909091,924262000000.0,0.07199775,924262000000.0,72.04163,582.23315,-inf,0.044410363,239.97934,1.1901387e-11,9.999925,582.23315,1.0,1.1001752e-17,-1.0,2,0.21390374,110,,12.425892114639282,0.41894197,-inf
True,-9.870508,159.92825,[-0.633 -2.087 -0.212 -1.862],1560,-9.870508,,,6,29.954647,9.999172,96.28124988280747,1.0,11,6.7214824e+22,66.32661,11.0,96.28125,10.636363636363637,1.0,2936.8665,1.0,41.619843,11002.291,-15454.688,979.4428,129.9736,11.0,9.999172,19113004.0,1.0,0.32534814,-1.0,1,10263.8125,121,,13.145821332931519,0.41894197,-1154319300000000.0
True,-26.140383,239.89528,[-0.814 -2.657 -0.41  -2.639],1725,-10.81421,,,6,59.912117,9.999977,139.90604296862438,34972008000000.0,11,inf,79.99393,3.1453727e-13,139.90604,15.0,34972008000000.0,0.0020268515,34972008000000.0,51.69778,4.1699615,-inf,0.00064944493,179.98315,3.1453727e-13,9.999977,4.1699615,1.0,1.6676133e-17,-1.0,2,0.0070585776,132,,14.025038242340088,0.41894197,-inf
True,-11.027286,159.88846,[-0.814 -2.657 -0.41  -2.639],1836,-11.027286,,,7,39.942818,9.999368,90.82516008254672,1.0,11,7.2876024e+26,50.88234,11.0,90.82516,10.090909090909092,1.0,891.968,1.0,35.779182,9529.359,-13979.54,550.5188,119.94564,11.0,9.999368,6417740.0,1.0,0.04316452,-1.0,1,2671.9453,143,,14.73615026473999,0.41894197,-1.20135e+17
True,-21.806406,209.91443,[-0.795 -2.135 -0.353 -1.788],1990,-13.736044,,,7,39.93045,9.999876,129.91633447445403,107711450000.0,11,inf,89.985886,1.02124705e-10,129.91632,14.0,107711455000.0,0.0051150965,107711455000.0,52.218925,5.6955767,-inf,0.002295866,169.98398,1.021247e-10,9.999876,5.6955767,1.0,1.2836581e-15,-1.0,2,0.016678836,154,,15.465728282928467,0.41894197,-inf
True,-9.304567,199.90137,[-0.795 -2.135 -0.353 -1.788],2108,-9.304567,,,8,29.952612,9.999862,97.18513780206794,1.0,11,3.3056673e+23,67.23253,11.0,97.18515,10.727272727272727,1.0,21993.834,1.0,50.458275,11990.989,-18947.232,7835.6064,169.94876,11.0,9.999862,46415244.0,1.0,0.1664198,-1.0,1,76973.61,165,,16.03807258605957,0.41894197,-3999485400000000.0
True,-21.50452,229.90912,[-0.778 -1.637 -0.302 -0.923],2241,-12.002777,,,8,49.91873,9.999979,110.82603689955066,1968792.4,11,inf,60.9073,5.5871815e-06,110.82604,12.090909090909092,1968792.5,18.761646,1968792.5,50.170845,117412.48,-inf,6.097534,179.99039,5.587181e-06,9.999979,117412.48,1.0,3.6870364e-11,-1.0,2,65.42025,176,,16.69490671157837,0.41894197,-inf
