MinIW,MeanEntropy,StdIW,EpRewMean,DivergenceHarmonic,InitialReturnMax,StdWReturnMean,Weights,InitialReturnMin,Iteration,Epsilon,OptimizationReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,EpThisIter,EpisodesSoFar,TimestepsSoFar,WReturnMean,InitialReturnStd,TimeElapsed,Penalization,ReturnStepMaxmin,InitialBound,EmpiricalD2Harmonic,ReturnStepMax,VarianceInitializer,MeanIW,LearnableVariance,Bound,ESSRenyiHarmonic,OptimizationReturnMax,OptimizationReturnMin,MinBehavPdf,EpLenMean,ESSRenyiArithmetic,MinTargetPdf,MeanD2-0,MaxIW,Inner Iteration,ReturnMeanIW
0.0015063153,0.41894197,0.25397715,268.0384636263375,1.5423389e+21,419.92212,,[-0.801  0.246 -0.644 -0.943],39.93045,7,1.0,228.10802,268.03845,599.79034,11,154,4854,2096.9136,106.91982,18.589929819107056,True,9.999995,-1205508900000000.0,599.79034,9.999995,-1.0,0.103214815,,-1205508900000000.0,0.018339742,379.99167,,-14.034109,27.818181818181817,0.018339742,-16.18093,599.79034,0.90234405,2,2096.9136
0.20199619,0.41894197,24.81876,254.3977649247059,44745710000.0,709.8314,,[-0.801  0.246 -0.644 -0.943],39.94011,8,1.0,214.45766,254.39777,1.0,11,165,5145,93302.54,169.06895,19.56981325149536,True,9.999999,-181013.56,1.0,9.999999,-1.0,17.895569,,-18555318000.0,11.0,669.8913,,-26.322899,26.454545454545453,11.0,-26.322899,1.0,70.8677,1,1675267.5
0.018949231,0.41894197,5.70421,210.7847383472624,610501550000000.0,389.85928,,[-0.867  0.021 -0.616 -1.024],59.905907,8,1.0,150.87885,210.78473,59.790524,11,176,5388,140360.48,103.50766,20.46799659729004,True,9.999959,-939548000000.0,59.790527,9.999959,-1.0,2.0812554,,-653735950000.0,0.18397564,329.95337,,-16.972157,22.09090909090909,0.18397564,-17.37433,59.790524,20.075045,2,235451.72
0.8967191,0.41894197,266.7385,225.3098963037625,3.029674e+27,419.88284,,[-0.882  0.031 -0.61  -0.958],49.916866,9,1.0,175.39302,225.30988,1.0,11,187,5647,60859.21,100.47218,21.43782687187195,True,10.0,-91549.414,1.0,10.0,-1.0,201.37018,,-1.689263e+18,11.0,369.96597,,-21.790699,23.545454545454547,11.0,-21.790699,1.0,930.40936,1,16275001.0
,0.41894197,0.20482968,411.6480726764274,inf,639.8639,,[-0.67  0.39 -0.7  -1.22],9.98101,9,1.0,401.66708,411.64807,inf,11,198,6111,78.764465,150.78671,22.587672472000122,True,9.999995,-inf,inf,9.999995,-1.0,0.06504529,,-inf,,629.8829,,-26.614899,42.18181818181818,,-106.3568,inf,0.7127689,2,78.764465
0.12717792,0.41894197,1637.2468,469.8238599479035,8.855906e+16,659.7794,,[-0.67  0.39 -0.7  -1.22],349.76367,10,1.0,120.06019,469.82385,1.0,11,209,6639,231440.84,103.47157,23.64400815963745,True,10.0,-307218.6,1.0,10.0,-1.0,815.7922,,-22550728000000.0,11.0,310.01575,,-26.653038,48.0,11.0,-26.653038,1.0,4505.274,1,183578900.0
0.00015525716,0.41894197,1.0456978,357.0660157491832,2.9441644e+27,679.82007,,[-0.745  0.206 -0.697 -1.371],169.80527,10,1.0,187.26074,357.066,9220.966,11,220,7043,79089.36,143.28647,24.701276302337646,True,9.99999,-4.365279e+18,9220.966,9.99999,-1.0,0.48930666,,-4.365279e+18,0.0011929336,510.0148,,-25.21904,36.72727272727273,0.0011929336,-25.000563,9220.966,3.4975536,2,79089.36
0.05819011,0.41894197,23.665026,324.3605019181401,8.47278e+19,509.85992,,[-0.745  0.206 -0.697 -1.371],189.78525,11,1.0,134.57526,324.36047,1.0,11,231,7411,114330.77,95.50408,25.458253383636475,True,9.999984,-159583.58,1.0,9.999984,-1.0,31.29541,,-416541030000000.0,11.0,320.07468,,-19.066319,33.45454545454545,11.0,-19.066319,1.0,75.366066,1,2751419.5
2.3137815e-21,0.41894197,0.0010664023,427.9357656661134,inf,599.8194,,[-0.59   0.375 -0.729 -1.467],339.57877,11,1.0,88.356995,427.93573,4.4116994e+16,11,242,7893,49.846466,77.243416,26.576740980148315,True,10.0,-inf,4.4116994e+16,10.0,-1.0,0.00041637802,,-inf,2.4933704e-16,260.24063,,-32.55681,43.81818181818182,2.4933704e-16,-45.56643,4.4116994e+16,0.0036981022,2,49.846466
0.97189337,0.41894197,372.8148,452.53008906570363,518593400000000.0,819.8154,,[-0.59   0.375 -0.729 -1.467],49.916634,12,1.0,402.61346,452.5301,1.0,11,253,8402,239766.44,187.0372,28.21536350250244,True,9.999976,-356763.88,1.0,9.999976,-1.0,169.23773,,-2664357700000.0,11.0,769.8988,,-33.911407,46.27272727272727,11.0,-33.911407,1.0,1302.1152,1,23691320.0
2.3356352e-11,0.41894197,4.2181444,478.87751303132575,5.82541e+34,639.6595,,[-0.509  0.467 -0.737 -1.485],49.913296,12,1.0,428.96423,478.87747,141770.86,11,264,8940,477350.88,146.51698,29.41628384590149,True,9.999999,-1.7191111e+22,141770.86,9.999999,-1.0,1.9202473,,-1.7191111e+22,7.758999e-05,589.7462,,-31.233797,48.90909090909091,7.758999e-05,-36.20678,141770.86,14.654029,2,477350.88
0.06181322,0.41894197,1538391.6,643.3873445942685,9.39335e+20,1109.7201,,[-0.509  0.467 -0.737 -1.485],389.78326,13,1.0,253.6041,643.3873,1.0,11,275,9659,461940.62,219.07388,30.997899055480957,True,9.999996,-676314.3,1.0,9.999996,-1.0,486935.28,,-6570371000000000.0,11.0,719.9368,,-42.038322,65.36363636363636,11.0,-42.038322,1.0,5351755.5,1,147133740000.0
2.513792e-05,0.41894197,0.02240942,457.0902185498048,2028875400000.0,659.75366,,[-0.705  0.511 -0.733 -1.337],99.92324,13,1.0,357.167,457.09024,164.03127,11,286,10173,1881.6931,137.7376,31.84271216392517,True,10.0,-2321623800000.0,164.03127,10.0,-1.0,0.013714004,,-107928050000.0,0.06706039,559.83044,,-35.888947,46.72727272727273,0.06706039,-38.37034,164.03127,0.07642558,2,1669.017
1.9478701,0.41894197,184.15976,570.7146405608888,3.0353444e+16,959.81177,,[-0.669  0.476 -0.737 -1.428],389.76978,14,1.0,180.94487,570.71466,1.0,11,297,10812,350942.1,158.82964,33.116464138031006,True,9.999998,-511309.62,1.0,9.999998,-1.0,129.14346,,-27939570000000.0,11.0,570.042,,-48.65403,58.09090909090909,11.0,-48.65403,1.0,510.20554,1,32732186.0
