ESSRenyiArithmetic,WReturnMean,ReturnStepMaxmin,ESSRenyiHarmonic,VarianceInitializer,Weights,MinBehavPdf,Inner Iteration,InitialReturnMax,StdWReturnMean,TimestepsSoFar,Penalization,MeanEntropy,MeanIW,LearnableVariance,Iteration,InitialReturnMin,EpRewMean,Bound,EpisodesSoFar,OptimizationReturnMax,InitialBound,MinTargetPdf,TimeElapsed,OptimizationReturnMin,OptimizationReturnMean,MaxIW,StdIW,MeanD2-0,EpThisIter,InitialReturnMean,EpLenMean,ReturnStepMax,EmpiricalD2Arithmetic,ReturnMeanIW,Epsilon,InitialReturnStd,DivergenceHarmonic,MinIW,EmpiricalD2Harmonic
11.0,7073.416,9.9999895,11.0,-1.0,[0. 0. 0. 0.],-7.270849,1,189.88666,,84,True,0.41894197,20.097076,,1,9.980748,66.31692809494263,-147038740.0,11,179.90591,-13350.127,-7.270849,1.7621684074401855,,56.33618,64.24308,25.27901,1.0,11,66.316925,7.636363636363637,9.9999895,1.0,143315.95,1.0,51.72505,547712600.0,0.5775535,1.0
0.062144086,1581.6058,9.999866,0.062144086,-1.0,[-0.131 -0.092 -0.231 -0.414],-13.407587,2,239.91727,,176,True,0.41894197,0.9982925,,1,9.982024,73.58204426667551,-13279295000000.0,22,229.93524,-20068832000000.0,-16.40703,4.596250295639038,,63.60002,3.530007,1.109231,177.008,11,73.58205,8.363636363636363,9.999866,177.008,1420.0134,1.0,65.52055,1.7563776e+18,0.002353784,177.008
11.0,19227.791,9.999998,11.0,-1.0,[-0.144 -0.187 -0.177 -0.355],-12.26194,1,289.93716,,316,True,0.41894197,4.20908,,2,29.962402,117.19874860195333,-36732770000.0,33,259.97476,-33861.39,-12.26194,4.969729661941528,,87.236336,16.289204,4.4438963,1.0,11,117.19874,12.727272727272727,9.999998,1.0,98970.94,1.0,74.10968,6300912000000.0,0.08213825,1.0
0.0025139016,31225.441,9.999996,0.0025139016,-1.0,[-0.332 -0.023 -0.255  0.072],-16.2924,2,279.8144,,423,True,0.41894197,0.99030286,,2,19.975643,87.20922847715484,-3.4165338e+17,44,259.83875,-3.4165338e+17,-15.5987015,5.136146545410156,,67.233574,5.7122025,1.8726844,4375.6685,11,87.20923,9.727272727272727,9.999996,4375.6685,31225.441,1.0,72.45264,6.2835506e+26,2.5435376e-05,4375.6685
11.0,4249.4883,9.999967,11.0,-1.0,[-0.332 -0.023 -0.255  0.072],-8.050728,1,89.9577,,500,True,0.41894197,119.85689,,3,9.984604,59.96219382132131,-44993780.0,55,79.9731,-5658.193,-8.050728,5.281348943710327,,49.97759,1282.1184,367.55194,1.0,11,59.962193,7.0,9.999967,1.0,757555.0,1.0,25.57388,986090100.0,0.14024425,1.0
0.55409056,3400.2134,9.999989,0.55409056,-1.0,[-0.401 -0.46  -0.086 -0.089],-11.241203,2,189.92656,,611,True,0.41894197,0.4390768,,3,29.963211,90.85483013444448,-117310240000000.0,66,159.96335,-3485378600.0,-12.991875,5.430408239364624,,60.891624,1.5094823,0.47343448,19.85235,11,90.85483,10.090909090909092,9.999989,19.85235,2342.295,1.0,47.17537,3.490141e+20,0.00089141604,19.85235
11.0,25044.26,9.999806,11.0,-1.0,[-0.34  -0.194 -0.234 -0.494],-14.968102,1,319.922,,776,True,0.41894197,2.825044,,4,59.944637,139.9013751409053,-5809841700.0,77,259.97736,-42861.14,-14.968102,5.628535032272339,,79.95673,9.218307,2.2167778,1.0,11,139.90137,15.0,9.999806,1.0,74282.17,1.0,73.97205,106329800000.0,0.8651292,1.0
,75382.914,9.999993,,-1.0,[-0.23   0.172 -0.367 -0.787],-18.459806,2,569.7777,,1058,True,0.41894197,4.9077473,,4,19.973183,246.20437544935237,-inf,88,549.8045,-inf,-88.360535,5.843780994415283,,226.23122,41.063763,11.558677,inf,11,246.20436,25.636363636363637,9.999993,inf,75382.914,1.0,162.49434,inf,,inf
11.0,245442.0,9.999996,11.0,-1.0,[-0.23   0.172 -0.367 -0.787],-41.343544,1,939.6483,,1528,True,0.41894197,6.948118,,5,29.958797,417.0895405675103,-209710970000.0,99,909.6895,-399142.3,-41.343544,6.075599193572998,,387.13077,22.065538,7.6709466,1.0,11,417.08957,42.72727272727273,9.999996,1.0,1831530.8,1.0,267.35425,1861604100000.0,0.036254767,1.0
0.0026509203,2176417.2,9.999987,0.0026509203,-1.0,[-0.121  0.215 -0.378 -0.83 ],-33.201996,2,689.83575,,1857,True,0.41894197,12.339741,,5,39.936043,288.9502802452978,-1.2326398e+18,110,649.8997,-1.2326398e+18,-34.015873,6.279924154281616,,249.01425,96.06282,27.944386,4149.5024,11,288.9503,29.90909090909091,9.999987,4149.5024,2176417.2,1.0,212.48024,2.214132e+26,3.7608155e-05,4149.5024
