VarJ,AvgRet,AvgDiscRet,AvgNormIw,Bound,MinNormIw,VarRet,MaxNormIw,BatchSize,IterType,VarDiscRet,MinVanillaIw,Delta,AvgVanillaIw,VarNormIw,VarVanillaIw,ESSRenyi,AvgEpLen,J,VanillaAvgRet,EpsThisIter,eRenyi2,MaxVanillaIw,ESSClassic
91.9785,-309.32856151,-309.32856151,0.01,-223.435,7.18624e-21,23344.6619147,0.0582391,100,1,23344.6619147,9.0987e-19,0.4,1.26613,0.000285547,4.57755,19.7147500295,379.06,-108.373,-309.32856151,100,5.07234,7.37382,26.1307231285
107.647,-126.54455537,-126.54455537,0.01,-167.613,0.000158262,13004.4621126,0.0221867,100,1,13004.4621126,0.0148958,0.4,0.941213,4.07499e-05,0.360996,73.5542331523,169.17,-108.043,-126.54455537,100,1.35954,2.08824,71.2543055974
70.5297,-102.197320849,-102.197320849,0.01,-149.449,0.000341722,7807.8343279,0.0210093,100,1,7807.8343279,0.0343622,0.4,1.00556,2.00655e-05,0.202893,83.6926745983,139.77,-93.605,-102.197320849,100,1.19485,2.11262,83.4273020615
62.7663,-89.3383250773,-89.3383250773,0.01,-138.662,0.00531591,4859.08010768,0.0255655,100,1,4859.08010768,0.561573,0.4,1.0564,1.13019e-05,0.126127,94.064413979,124.3,-85.9857,-89.3383250773,100,1.0631,2.70074,89.9370455287
71.6272,-97.1156297722,-97.1156297722,0.01,-144.811,0.000257858,8005.56471998,0.0148511,100,1,8005.56471998,0.0271939,0.4,1.05461,1.86348e-05,0.207254,82.6497960852,132.74,-88.6183,-97.1156297722,100,1.20992,1.56621,84.4249318016
90.6569,-104.174097124,-104.174097124,0.01,-149.862,0.00120841,10022.1852335,0.0190728,100,1,10022.1852335,0.118049,0.4,0.97689,2.16818e-05,0.206912,84.6537797323,141.3,-94.3312,-104.174097124,100,1.18128,1.8632,82.3283023953
81.316,-94.1430862342,-94.1430862342,0.01,-143.801,0.00824995,8051.07082499,0.0196652,100,1,8051.07082499,0.815179,0.4,0.988102,4.58767e-06,0.0447915,95.364970806,128.9,-91.4853,-94.1430862342,100,1.0486,1.94312,95.6555424672
72.9413,-101.728191215,-101.728191215,0.01,-145.907,0.00171765,10076.4891817,0.0310571,100,1,10076.4891817,0.180143,0.4,1.04878,3.61264e-05,0.397367,77.520800554,138.48,-87.8825,-101.728191215,100,1.28998,3.2572,73.6566301257
91.1387,-95.3499576601,-95.3499576601,0.01,-144.077,0.00343297,9230.03666653,0.0885616,100,1,9230.03666653,0.343078,0.4,0.999364,6.77963e-05,0.6771,88.2570176235,130.16,-89.6957,-95.3499576601,100,1.13305,8.85053,59.8378586972
27.7491,-83.265838826,-83.265838826,0.01,-128.047,0.00057698,4913.73041351,0.0197036,100,1,4913.73041351,0.0518909,0.4,0.899354,3.38908e-05,0.274122,80.5374921513,116.04,-71.1194,-83.265838826,100,1.24166,1.77205,74.8772616179
