AvgNormIw,VarRet,Bound,eRenyi2,AvgRet,AvgVanillaIw,MaxNormIw,MinVanillaIw,MaxVanillaIw,ESSRenyi,ESSClassic,VarVanillaIw,AvgDiscRet,BatchSize,VarJ,AvgEpLen,VarNormIw,MinNormIw,VanillaAvgRet,J,VarDiscRet
0.01,5821951.061495325,-844.983,2.499425,-2310.0362940607242,1.0890431,0.032162506,1.2822177e-10,3.502636,40.00920316677458,42.3875572153491,1.6282947,-2310.0362940607242,100,215.20015,200.0,0.00013729122,1.17738e-12,-2310.0362940607242,-78.63668,5821951.061495325
0.009999999,86503.97820027397,-253.54477,1.1053733,-54.38451690106523,1.0443013,0.012660306,0.21689647,1.3221173,90.46717820559041,92.52292248319539,0.0890225,-54.38451690106523,100,63.45617,200.0,8.162971e-06,0.0020769532,-54.38451690106523,-20.141985,86503.97820027397
0.010000002,99.01700237937696,-11.004799,2.191709,-10.92455467984683,1.0287302,0.029421594,2.7647063e-13,3.026688,45.62649425728736,43.991272224933226,1.3609965,-10.92455467984683,100,8.801391,200.0,0.00012860388,2.687494e-15,-10.92455467984683,-6.1241946,99.01700237937696
0.01,58.087321086691965,-10.142826,2.2259002,-8.532482243090772,1.0006337,0.03052887,5.665079e-09,3.0548215,44.925644557011054,43.60572354341378,1.3079962,-8.532482243090772,100,11.46608,200.0,0.000130634,5.6614914e-11,-8.532482243090772,-7.000422,58.087321086691965
0.01,61.38880910794223,-10.431442,1.0696716,-8.608409734053662,1.0218303,0.012213427,0.012664454,1.2480049,93.48663376223217,94.6464939962928,0.059656214,-8.608409734053662,100,8.025153,200.0,5.7134466e-06,0.00012393892,-8.608409734053662,-8.3621025,61.38880910794223
0.010000002,56.6526757593775,-10.209755,1.425805,-8.525977727626454,0.9387662,0.050787136,0.3179979,4.7677245,70.13581935700282,65.15684651784947,0.47603306,-8.525977727626454,100,8.843155,200.0,5.4015985e-05,0.0033874027,-8.525977727626454,-7.8976617,56.6526757593775
0.010000002,57.989492197081184,-11.615837,1.3713012,-9.672999498080351,0.9852283,0.019591201,0.03043786,1.9301805,72.92344080502757,72.93101148860119,0.36391357,-9.672999498080351,100,8.367055,200.0,3.7490787e-05,0.00030894222,-9.672999498080351,-9.195961,57.989492197081184
0.01,51.19370603515101,-8.927685,1.8945976,-7.451620901493814,0.95633256,0.048095413,0.001967641,4.5995207,52.78165526198674,48.84554020832247,0.96747833,-7.451620901493814,100,8.455325,200.0,0.00010578483,2.0574862e-05,-7.451620901493814,-6.0633354,51.19370603515101
0.009999999,53.49107935310621,-10.551068,1.0593804,-8.640083848578973,0.98827666,0.0124748275,0.20914897,1.2328581,94.3947979948073,93.84528584018526,0.06470207,-8.640083848578973,100,7.4932113,200.0,6.6246216e-06,0.0021162997,-8.640083848578973,-8.510655,53.49107935310621
0.01,48.266040594628045,-10.1607,1.0339336,-8.198775874894164,1.0042086,0.01162287,0.342774,1.1671786,96.71800604708908,96.65364477869406,0.03526698,-8.198775874894164,100,7.0715528,200.0,3.4971997e-06,0.0034133745,-8.198775874894164,-8.152037,48.266040594628045
0.01,51.09463711283131,-9.08095,2.1421213,-7.692054682444688,1.0315008,0.050863273,0.0070388783,5.2465506,46.682696866720654,42.8820206501572,1.4315338,-7.692054682444688,100,7.849991,200.0,0.00013454343,6.82392e-05,-7.692054682444688,-6.196856,51.09463711283131
