MaxVanillaIw,ESSRenyi,VarJ,Delta,VarNormIw,AvgVanillaIw,AvgDiscRet,J,MaxNormIw,EpsThisIter,VarDiscRet,AvgRet,IterType,MinVanillaIw,Bound,eRenyi2,AvgEpLen,VarRet,AvgNormIw,MinNormIw,ESSClassic,VanillaAvgRet,VarVanillaIw,BatchSize
120.93599,4.186914598163992,738.4895,0.75,0.006424928,1.5097934,108.8423725164873,584.2514,0.8010102,100,27085.56038992746,108.8423725164873,1,3.8280132e-23,341.6427,23.883936,11.89,27085.56038992746,0.009999999,2.535455e-25,1.5478253780661657,108.8423725164873,146.45465,100
108.34689,10.806966829499757,10085.925,0.75,0.0018057519,2.6230505,516.2702562852018,2658.6072,0.41305682,100,817768.8068347631,516.2702562852018,1,0.0011692828,1780.48,9.25329,52.61,817768.8068347631,0.01,4.4577214e-06,5.297467011740782,516.2702562852018,124.24288,100
855.2251,2.690894958872966,2276.6868,0.75,0.0015293782,22.663105,992.5542169634642,695.25745,0.3773645,100,2401298.422770862,516.2702562852018,,0.009229614,-1793.4623,74.324715,52.61,817768.8068347631,0.01,4.0725286e-06,6.195462854353478,516.2702562852018,7855.137,200
228.79623,7.69983666661551,13367.413,0.75,0.0011000653,2.4928265,397.6799947357751,3020.9966,0.45890927,100,607030.5995140182,397.6799947357751,1,1.8118946e-05,1980.6727,25.974577,40.76,607030.5995140182,0.005,3.6342175e-08,4.466020046320207,397.6799947357751,273.4403,200
1.0,200.0,1947.0365,0.75,3.5044917e-18,1.0,1628.2216172762876,1628.2217,0.01,100,3829243.638747394,1628.2216172762876,2,1.0,1339.5466,1.0,163.61,3829243.638747394,0.009999998,0.01,100.0,1628.2216172762876,,200
55190.848,84.715404273987,10743.719,0.75,0.0010575094,785.77875,1655.0347554560822,1523.4657,0.35118568,100,3661715.7618957385,397.6799947357751,,0.0043707015,1139.3396,3.5412686,40.76,607030.5995140182,0.005,2.7811273e-08,4.641569338212416,397.6799947357751,26118294.0,300
192.67015,11.363085663111802,14535.855,0.75,0.0005482321,1.668174,405.08836685595924,2959.3584,0.3849921,100,668153.5843424194,405.08836685595924,1,9.474437e-09,2102.989,26.40128,41.5,668153.5843424194,0.0033333336,1.8931752e-11,5.978903074888376,405.08836685595924,137.30608,300
1.0,300.0,2028.88,0.75,3.5044917e-18,1.0,2076.0188244719307,2076.0188,0.01,100,4157933.5738897123,2076.0188244719307,2,1.0,1787.3438,1.0,208.34,4157933.5738897123,0.009999998,0.01,100.0,2076.0188244719307,,300
1.0,300.0,2035.1931,0.75,2.179301e-19,1.0,1809.5365893054,1942.7776,0.005,100,4173900.275790157,1809.5365893054,2,1.0,1738.6536,1.0,181.73,4173900.275790157,0.0049999994,0.005,200.00000010221265,1809.5365893054,,300
105547170.0,nan,11150.114,0.75,0.0017405599,507927.72,1803.9826982348222,4201.948,0.6926653,100,3919660.419611886,405.08836685595924,,0.0051902174,-inf,nan,41.5,668153.5843424194,0.003333333,3.406139e-11,1.9092688525340853,405.08836685595924,40414313000000.0,400
209.16501,4.671810914840464,3525.2893,0.75,0.00086701446,0.99660057,381.87841877099413,4721.7603,0.5246962,100,500089.9572057868,381.87841877099413,1,,3386.1902,85.6199,39.18,500089.9572057868,0.0024999997,,2.8699451834934053,381.87841877099413,137.78072,400
1.0,400.0,2103.6252,0.75,3.5044917e-18,1.0,3208.3029812550576,3208.303,0.01,100,4469938.868778766,3208.3029812550576,2,1.0,2919.628,1.0,321.31,4469938.868778766,0.009999998,0.01,100.0,3208.3029812550576,,400
1.0,400.0,2084.8757,0.75,2.179301e-19,1.0,3241.3505232823313,3224.8267,0.005,100,4310735.832294928,3241.3505232823313,2,1.0,3020.7026,1.0,324.62,4310735.832294928,0.0049999994,0.005,200.00000010221265,3241.3505232823313,,400
1.0,400.0,2137.341,0.75,5.4391416e-20,1.0,2862.4497473374604,3104.0342,0.0033333334,100,4973454.674201077,2862.4497473374604,2,1.0,2937.3674,1.0,286.79,4973454.674201077,0.0033333336,0.0033333334,299.999969473632,2862.4497473374604,,400
inf,61676823.80427601,nan,0.75,nan,inf,3079.6098382560094,nan,nan,100,4463670.434660878,381.87841877099413,,0.0047809146,nan,8.106773e-06,39.18,500089.9572057868,nan,nan,nan,381.87841877099413,nan,500
