EpThisIter,entloss,J_hat,EpisodesSoFar,meankl,DiscEpRewMean,Step_size,Var_J,EpLenMean,TimestepsSoFar,TimeElapsed,optimgain,surrgain,SampleRenyi2,entropy,EpRewMean,ev_tdlam_before
100,,1.8614038228988647,100,0.0091059,0.503259771788,1.0,0.332675039768219,500.0,50000,66.79404544830322,0.0187426,0.0187426,3434.74,2.83012,0.71587932737,-0.0153102874756
100,,16.29480743408203,200,0.00960747,5.69841665349,1.0,0.33095869421958923,500.0,100000,128.05031847953796,0.0239351,0.0239351,6520.85,2.81909,9.60480922496,0.582542389631
100,,10.445542335510254,300,0.00899516,11.6286570533,1.0,6.4355387687683105,500.0,150000,189.99970531463623,0.0214183,0.0214183,15009.3,2.81144,17.2195945363,0.717954993248
100,,21.410076141357422,400,0.00821644,16.3962106057,1.0,0.4420287609100342,500.0,200000,256.69049859046936,0.0117363,0.0117363,16718.9,2.77928,23.1561772193,0.752782583237
100,,22.732084274291992,500,0.00703659,20.1619306047,1.0,1.0701502561569214,500.0,250000,320.6459927558899,0.00671364,0.00671364,273.277,2.76246,26.6846193312,0.741113096476
100,,20.795103073120117,600,0.00691319,21.4499962571,1.0,0.35463231801986694,500.0,300000,388.62219977378845,0.00473283,0.00473283,608.413,2.7512,26.2742871768,0.695495158434
100,,23.603717803955078,700,0.00586976,22.699187134,1.0,0.07388649880886078,500.0,350000,454.060031414032,0.0030565,0.0030565,811.128,2.76068,26.404180273,0.676904737949
100,,24.644685745239258,800,0.00740432,23.5730491219,1.0,0.10509862750768661,500.0,400000,521.4367218017578,0.00383603,0.00383603,671.375,2.74241,27.2192463888,0.694417953491
100,,23.149682998657227,900,0.0084573,23.273780798,1.0,0.138120636343956,500.0,450000,589.0434646606445,0.00425285,0.00425285,882.435,2.68923,26.2046055975,0.723063528538
100,,24.545883178710938,1000,0.00554133,23.9805003296,1.0,0.03564715385437012,500.0,500000,655.7400052547455,0.00646643,0.00646643,5.52829,2.70027,27.3354716853,0.743595063686
100,,23.2474365234375,1100,0.00761408,23.7917491237,1.0,0.15375500917434692,500.0,550000,719.5583930015564,0.00397009,0.00397009,1058.07,2.68378,25.6147899157,0.757326185703
100,,23.453901290893555,1200,0.00705715,24.2483638858,1.0,0.23612235486507416,500.0,600000,777.8291828632355,0.00364462,0.00364462,89.452,2.66384,25.8691228538,0.764251172543
100,,24.028032302856445,1300,0.00664628,23.7628359152,1.0,0.06859889626502991,500.0,650000,836.0565462112427,0.00631848,0.00631848,1898.06,2.66816,24.6335261189,0.783885195851
100,,24.0013484954834,1400,0.00550877,24.1183907265,1.0,0.06503673642873764,500.0,700000,900.1621844768524,0.00411504,0.00411504,303.516,2.67868,24.8161437299,0.814415618777
100,,23.777877807617188,1500,0.0050081,23.5810711363,1.0,0.07750169932842255,500.0,750000,968.003092288971,0.00423725,0.00423725,83.8887,2.67596,24.0631544499,0.819342508912
100,,24.291898727416992,1600,0.00702956,23.6992029922,1.0,0.07217711955308914,500.0,800000,1035.5602996349335,0.00509103,0.00509103,644.745,2.6482,23.0139683482,0.832460016012
100,,23.508665084838867,1700,0.00561967,23.7183287836,1.0,0.1356232464313507,500.0,850000,1103.7379620075226,0.00492734,0.00492734,30.4304,2.63178,23.6437230932,0.792429566383
100,,24.152254104614258,1800,0.00718449,23.7001175125,1.0,0.05288153141736984,500.0,900000,1172.2426915168762,0.00504078,0.00504078,150.672,2.66406,22.2579614357,0.795871078968
100,,24.158714294433594,1900,0.00548709,23.9717805103,1.0,0.116859070956707,500.0,950000,1239.2648601531982,0.00431951,0.00431951,205.397,2.6795,24.6979147958,0.804633915424
100,,24.8056697845459,2000,0.00760592,24.0471673688,1.0,0.0757589191198349,500.0,1000000,1299.3888835906982,0.00417182,0.00417182,6350.27,2.65816,23.9031880393,0.801064759493
100,,25.981212615966797,2100,0.00775507,24.5831128431,1.0,0.09776602685451508,500.0,1050000,1354.5769176483154,0.00510814,0.00510814,54666.1,2.65721,25.2994295361,0.826393052936
100,,25.575441360473633,2200,0.00594499,24.9746362185,1.0,0.3005245625972748,500.0,1100000,1407.8056726455688,0.00480585,0.00480585,563.184,2.66888,28.6418312764,0.809655427933
100,,26.505136489868164,2300,0.00666689,25.7307005554,1.0,0.1328556090593338,500.0,1150000,1463.1634702682495,0.00405233,0.00405233,297.605,2.64849,30.4856943417,0.791010677814
100,,25.9432373046875,2400,0.00715492,25.9864170814,1.0,0.08661594241857529,500.0,1200000,1519.0622277259827,0.00465088,0.00465088,3508.34,2.67189,31.3849534726,0.792941570282
