#{"t_start": 1522836252.2970634, "env_id": "ContCartPole-v0"}
r,l,t
299.762733,31,1.831551
329.892811,34,1.859534
149.896534,16,1.87318
109.900684,12,1.884883
149.915557,16,1.914817
189.830297,20,1.942966
119.912144,13,1.952813
239.913589,25,1.971032
119.930485,13,1.980586
349.875556,36,2.016611
429.889181,44,2.047864
119.915017,13,2.057645
189.889563,20,2.078001
149.930754,16,2.090581
129.911587,14,2.100427
179.888954,19,2.114099
259.876407,27,2.134013
229.93305,24,2.153126
269.860961,28,2.175585
399.869096,41,2.213403
179.903297,19,2.234875
189.935658,20,2.251365
109.897846,12,2.261049
199.897251,21,2.278148
199.925537,21,2.295745
149.917381,16,2.314588
189.890737,20,2.331036
569.745094,58,2.378545
199.912269,21,2.398851
199.890092,21,2.416681
359.913091,37,2.443682
259.856317,27,2.477937
459.754095,47,2.515373
199.861392,21,2.532066
159.906168,17,2.549747
209.821079,22,2.56748
129.926814,14,2.578387
439.851204,45,2.615172
239.883021,25,2.637242
299.85897,31,2.662753
209.915993,22,2.680922
229.915023,24,2.718567
179.885747,19,2.734535
159.864283,17,2.748842
189.907299,20,2.763962
119.894538,13,2.790908
169.928616,18,2.805801
489.858283,50,2.846948
109.906978,12,2.869788
169.879889,18,2.882908
169.897909,18,2.896246
139.888318,15,2.908145
359.918285,37,2.935619
269.874102,28,2.956183
99.909104,11,2.964275
309.869635,32,2.989435
219.873029,23,3.007436
289.822965,30,3.036668
169.899965,18,3.05561
439.728257,45,3.087984
169.925824,18,3.104642
159.892797,17,3.116901
389.864247,40,3.147625
149.919854,16,3.160694
209.835517,22,3.186381
139.907983,15,3.198901
459.819781,47,3.237927
219.843793,23,3.269575
179.927972,19,3.299706
289.90268,30,3.338372
119.882764,13,3.347234
139.909039,15,3.357661
189.919121,20,3.373159
159.904741,17,3.386727
239.825146,25,3.407523
199.907704,21,3.425087
529.610982,54,5.2443
519.742064,53,5.340587
299.652533,31,5.363273
539.787503,55,5.432792
219.844242,23,5.449961
159.89708,17,5.48457
129.890913,14,5.506912
289.86314,30,5.528604
259.879287,27,5.582039
159.896452,17,5.596123
269.831037,28,5.619515
229.906804,24,5.663166
719.773723,73,5.78677
189.844407,20,5.825759
179.844929,19,5.841744
109.896814,12,5.851734
119.915086,13,5.862816
139.852661,15,5.904131
309.865959,32,5.928089
199.855188,21,5.943988
299.869078,31,5.995648
149.883456,16,6.008476
249.837162,26,6.030049
209.840687,22,6.048122
189.915879,20,6.068635
599.62246,61,6.13237
179.85733,19,6.147028
159.894373,17,6.160154
229.898831,24,6.17775
99.918646,11,6.190739
419.870756,43,6.23627
629.840914,64,6.287487
329.899106,34,6.311608
449.855835,46,6.348881
399.736231,41,6.382455
189.861399,20,6.409452
209.85925,22,6.427443
489.832219,50,6.468425
629.875826,64,6.527429
219.871235,23,6.546582
259.901264,27,6.579517
509.824325,52,6.618369
219.904554,23,6.648283
179.84391,19,6.661614
549.823271,56,6.703522
249.796386,26,6.7234
639.792425,65,6.772573
359.751718,37,6.808088
219.894633,23,6.824365
179.874716,19,8.416181
319.662035,33,8.519036
119.923465,13,8.576815
169.908113,18,8.771515
469.736109,48,8.810709
379.862788,39,8.870522
229.895648,24,8.890691
879.780593,89,9.071373
529.831645,54,9.123276
329.709398,34,9.148691
479.6056,49,9.196482
449.810417,46,9.232047
439.709846,45,9.270378
539.870944,55,9.4335
109.916949,12,9.478623
629.796778,64,9.530595
559.766223,57,9.596414
309.786552,32,9.61962
349.869007,36,9.654014
209.784235,22,9.717234
259.902642,27,9.737872
489.816275,50,9.775754
239.86049,25,9.795524
619.778417,63,9.842512
379.838579,39,9.883754
839.786637,85,10.0018
479.846392,49,12.029019
559.802895,57,12.2939
909.733212,92,12.402382
589.862442,60,12.455225
349.857805,36,12.843048
639.757819,65,13.104778
939.568784,95,13.206323
579.853033,59,13.260184
679.742829,69,13.428215
439.842138,45,13.481136
