VarNormIw,VarDiscRet,VanillaAvgRet,VarVanillaIw,AvgNormIw,MaxVanillaIw,AvgEpLen,AvgVanillaIw,eRenyi2,MinVanillaIw,Bound,VarJ,ESSRenyi,MinNormIw,AvgRet,BatchSize,MaxNormIw,IterType,VarRet,Delta,ESSClassic,AvgDiscRet,EpsThisIter,J
0.0099995,19050.5778083,-337.17627382,5.99001e-30,0.01,2.44745e-14,412.54,2.44751e-16,2.38252e+10,,-51.1105,0.0167833,4.19723308939e-09,,-337.17627382,100,0.999975,1,19050.5778083,1.0,1.00004997572,-337.17627382,100,-51.1105
nan,46.1957737798,-337.17627382,nan,nan,inf,412.54,inf,2.23094e-40,4.08589e+13,nan,nan,8.96484213879e+41,nan,-337.17627382,200,nan,,19050.5778083,1.0,nan,-58.6711387996,100,nan
0.005,15488.6183915,-354.243790149,,0.005,6.97598e-34,432.85,3.48799e-36,2.00174e+08,,-59.1969,,9.99129877772e-07,,-354.243790149,200,1.0,1,15488.6183915,1.0,inf,-354.243790149,100,-59.1969
3.50449e-18,2586.77339855,-66.1509324779,,0.01,1.0,95.06,1.0,1.0,1.0,-66.1509,50.6054,200.0,0.01,-66.1509324779,200,0.01,2,2586.77339855,1.0,100.0,-66.1509324779,100,-66.1509
nan,1338.25127574,-354.243790149,nan,nan,inf,432.85,inf,8.8502e-20,1.43349e+33,nan,nan,3.38975320329e+21,nan,-354.243790149,300,nan,,15488.6183915,1.0,nan,-62.8451868713,100,nan
0.00333295,18720.2153221,-338.081602398,,0.00333333,4.15736e-24,413.67,1.38587e-26,776987.0,,-59.1969,0.000988044,0.000386106815002,,-338.081602398,300,0.999942,1,18720.2153221,1.0,inf,-338.081602398,100,-59.1969
3.50449e-18,3839.2234112,-70.0473209758,,0.01,1.0,99.33,1.0,1.0,1.0,-70.0473,61.6509,300.0,0.01,-70.0473209758,300,0.01,2,3839.2234112,1.0,100.0,-70.0473209758,100,-70.0473
2.1793e-19,2597.01378086,-66.4371817325,,0.005,1.0,95.28,1.0,1.0,1.0,-68.2422,56.473,300.0,0.005,-66.4371817325,300,0.005,2,2597.01378086,1.0,200.000000102,-66.4371817325,100,-68.2422
nan,5071.24598923,-338.081602398,nan,nan,inf,413.67,inf,7.62721e-14,2.40537e+23,nan,nan,5.24438408353e+15,nan,-338.081602398,400,nan,,18720.2153221,1.0,nan,-71.9407971053,100,nan
0.00135513,23938.2962295,-301.302481988,2.76317e-05,0.0025,0.0987782,370.85,0.000356988,15700.1,,-59.1416,4.57605,0.025477486728,,-301.302481988,400,0.691747,1,23938.2962295,1.0,1.84095776813,-301.302481988,100,-59.1416
3.50449e-18,1370.65724486,-64.4203206493,,0.01,1.0,92.29,1.0,1.0,1.0,-64.4203,36.8368,400.0,0.01,-64.4203206493,400,0.01,2,1370.65724486,1.0,100.0,-64.4203206493,100,-64.4203
2.1793e-19,1352.99375206,-64.2492653577,,0.005,1.0,92.92,1.0,1.0,1.0,-64.3348,36.718,400.0,0.005,-64.2492653577,400,0.005,2,1352.99375206,1.0,200.000000102,-64.2492653577,100,-64.3348
5.43914e-20,5068.93826991,-72.49471809,,0.00333333,1.0,101.36,1.0,1.0,1.0,-67.0548,50.8562,400.0,0.00333333,-72.49471809,400,0.00333333,2,5068.93826991,1.0,299.999969474,-72.49471809,100,-67.0548
nan,5068.01998535,-301.302481988,nan,nan,inf,370.85,inf,8.44533e-14,10.1237,nan,nan,5.92042905291e+15,nan,-301.302481988,500,nan,,23938.2962295,1.0,nan,-73.6287609248,100,nan
0.002,19382.6773764,-331.492258316,7.70639e-34,0.002,6.20741e-16,405.65,1.24148e-18,2.53788e+08,,-51.8798,,1.97015030009e-06,,-331.492258316,500,1.0,1,19382.6773764,1.0,1.0,-331.492258316,100,-51.8798
3.50449e-18,1330.7044453,-63.4853956266,,0.01,1.0,92.24,1.0,1.0,1.0,-63.4854,36.296,500.0,0.01,-63.4853956266,500,0.01,2,1330.7044453,1.0,100.0,-63.4853956266,100,-63.4854
2.1793e-19,5015.83418197,-73.399826325,,0.005,1.0,103.01,1.0,1.0,1.0,-68.4426,56.2682,500.0,0.005,-73.399826325,500,0.005,2,5015.83418197,1.0,200.000000102,-73.399826325,100,-68.4426
5.43914e-20,1339.64814243,-62.8719416422,,0.00333333,1.0,91.18,1.0,1.0,1.0,-66.5857,50.5937,500.0,0.00333333,-62.8719416422,500,0.00333333,2,1339.64814243,1.0,299.999969474,-62.8719416422,100,-66.5857
