MaxVanillaIw,VanillaAvgRet,AvgDiscRet,ESSClassic,VarNormIw,MinNormIw,J,MaxNormIw,Bound,VarVanillaIw,VarJ,BatchSize,AvgNormIw,VarDiscRet,AvgEpLen,VarRet,AvgRet,ESSRenyi,eRenyi2,MinVanillaIw,AvgVanillaIw
344.01324,72.25414295235169,72.25414295235169,1.0239445169508954,0.009763793,,385.78738,0.9882197,344.0108,1183.21,45.97789,100,0.01,3264.8257332480625,8.23,3264.8257332480625,72.25414295235169,1.3231747795650903,75.575806,,3.4811413
257.3576,128.22180912920305,128.22180912920305,1.1346171950720203,0.00880156,2.1103815e-34,573.3994,0.938028,501.93228,662.5248,174.00981,100,0.010000003,16804.81701262545,13.83,16804.81701262545,128.22180912920305,2.3272561984644997,42.969055,5.7900485e-32,2.7436025
105.03469,149.11477601912986,149.11477601912986,1.0550288309359235,0.009473147,,835.4599,0.9734969,737.79266,110.27841,150.42311,100,0.01,29421.461420959622,15.92,29421.461420959622,149.11477601912986,2.18167134414171,45.83642,,1.0789422
97.781746,442.1294936822025,442.1294936822025,1.0211133994738084,0.009791144,,1984.5349,0.9895979,1842.3066,95.594185,162.56967,100,0.010000002,84562.74125574678,45.23,84562.74125574678,442.1294936822025,2.9568569859107585,33.819695,,0.9880957
117.83869,658.078677482733,658.078677482733,1.437262803354139,0.006926941,3.0014669e-34,1297.9633,0.8311921,1113.3718,139.22408,561.7233,100,0.01,133485.18832336745,66.83,133485.18832336745,658.078677482733,2.770977754189251,36.088345,4.2552008e-32,1.4177071
118.923225,673.2839421327309,673.2839421327309,1.045625406969347,0.009559249,,1691.3328,0.977884,1482.0481,141.37814,196.89705,100,0.01,106507.7632458543,68.35,106507.7632458543,673.2839421327309,1.720003637580935,58.139412,,1.2161281
420.71432,663.7801074628082,663.7801074628082,1.7670241030962597,0.0056153866,9.372704e-09,1061.644,0.7461322,919.9105,1785.347,850.2086,100,0.009999998,85452.94428510463,67.4,85452.94428510463,663.7801074628082,3.00887923770713,33.234966,5.284896e-06,5.6386027
161.04489,759.0693169922328,759.0693169922328,1.0828339355788648,0.009227301,,1824.3081,0.9607929,1606.6554,259.24405,377.1242,100,0.009999998,113556.7094326079,76.93,113556.7094326079,759.0693169922328,1.6955383714645778,58.978317,,1.6761665
99.436165,688.5676493661038,688.5676493661038,1.079084151466868,0.009259717,,1704.71,0.96247476,1522.4935,98.83431,261.55197,100,0.01,109196.20337357107,69.88,109196.20337357107,688.5676493661038,2.326245082073118,42.987732,,1.0331302
39.01573,647.0831799784053,647.0831799784053,2.00779476819258,0.0049298885,,1290.8687,0.6669438,1164.3696,16.870895,157.47487,100,0.01,88890.24964473389,65.73,88890.24964473389,647.0831799784053,3.9291905142688415,25.450535,,0.5849928
