Bound,BatchSize,ESSRenyi,AvgNormIw,J,MaxVanillaIw,AvgRet,AvgDiscRet,AvgVanillaIw,VarDiscRet,VarNormIw,MaxNormIw,ESSClassic,MinVanillaIw,VarVanillaIw,AvgEpLen,eRenyi2,VanillaAvgRet,MinNormIw,VarRet,VarJ
-824.43134,100,41.843740619136724,0.01,-75.2505,3.294608,-1755.5122400206126,-1755.5122400206126,1.2464792,4748736.6551930625,9.665426e-05,0.026431313,51.101834369731705,1.0540073e-18,1.5017275,200.0,2.3898437,-1755.5122400206126,8.455876e-21,4748736.6551930625,204.76935
-308.93863,100,91.40900450735339,0.01,-18.311253,1.2982695,-72.87840045971554,-72.87840045971554,1.0264131,185352.8693922955,8.227528e-06,0.012648606,92.46823495449297,0.08199015,0.086678974,200.0,1.0939841,-72.87840045971554,0.00079880265,185352.8693922955,61.876766
-204.95699,100,94.48540555213582,0.01,-15.053854,1.2204187,-31.852237875703114,-31.852237875703114,1.0051503,47745.27279516609,4.513618e-06,0.012141652,95.7226667592714,0.24004926,0.045602318,200.0,1.0583645,-31.852237875703114,0.0023881926,47745.27279516609,53.05429
-255.48904,100,95.73655137609035,0.01,-12.798487,1.1862881,-36.84333959975375,-36.84333959975375,0.9966163,79178.62244943072,4.200146e-06,0.011903158,96.00784096039216,0.14383405,0.041717697,200.0,1.0445331,-36.84333959975375,0.001443224,79178.62244943072,41.51795
-12.1064415,100,92.02836304291208,0.01,-9.645805,1.4062817,-9.844583705028205,-9.844583705028205,1.0442841,71.83382307323129,5.955453e-06,0.013466466,94.43234395747302,0.44336644,0.06494597,200.0,1.0866215,-9.844583705028205,0.0042456496,71.83382307323129,9.045283
-10.305484,100,56.411656891618854,0.01,-7.339115,2.3952734,-9.311784236318875,-9.311784236318875,0.9487903,67.1419491895578,7.876515e-05,0.025245553,56.18688378204264,9.3948637e-07,0.7090462,200.0,1.7726833,-9.311784236318875,9.901939e-09,67.1419491895578,9.143855
-11.449268,100,91.22910123553837,0.010000002,-9.018866,2.8265922,-9.289404798344401,-9.289404798344401,1.033145,60.387034986942375,9.827702e-06,0.027359108,91.13324682443725,0.80478525,0.10489977,200.0,1.0961415,-9.289404798344401,0.007789665,60.387034986942375,7.669556
-10.627186,100,29.923824629703457,0.010000002,-6.28992,5.5652533,-8.47241762784306,-8.47241762784306,0.9622528,54.93359533701021,0.0002594261,0.05783567,28.024406126687786,1.0891776e-05,2.4021053,200.0,3.3418188,-8.47241762784306,1.13190374e-07,54.93359533701021,13.805438
-11.093783,100,98.97124791597918,0.01,-9.041532,1.3947936,-9.055495593236182,-9.055495593236182,0.9993704,54.86297078214882,8.82198e-07,0.013956723,99.13418853161474,0.933109,0.008810875,200.0,1.0103945,-9.055495593236182,0.009336968,54.86297078214882,7.5188055
-9.265095,100,95.62175741145997,0.009999999,-7.128631,2.0895436,-7.235323026678356,-7.235323026678356,0.9909313,50.78416333881075,2.994967e-06,0.021086665,97.12037385749544,0.8795587,0.029408922,200.0,1.0457871,-7.235323026678356,0.008876082,50.78416333881075,7.0426545
-10.236516,100,91.50661351348256,0.01,-8.017252,2.4002008,-8.225455129690447,-8.225455129690447,1.0164021,51.34643709196591,7.138024e-06,0.023614677,93.39978411256227,0.7661152,0.073741004,200.0,1.0928172,-8.225455129690447,0.0075375205,51.34643709196591,7.1426144
