VarDiscRet,MinVanillaIw,EpsThisIter,VarJ,VarVanillaIw,VarRet,ESSRenyi,MaxNormIw,BatchSize,AvgDiscRet,AvgEpLen,AvgVanillaIw,eRenyi2,AvgRet,VarNormIw,MaxVanillaIw,MinNormIw,VanillaAvgRet,AvgNormIw,J,ESSClassic,Bound,IterType
10506.64118255793,6.594034e-08,100,249.66193,128.3275,10506.64118255793,15.445415864746556,0.4412133,100,144.05431572304596,15.74,2.4076147,6.474413,144.05431572304596,0.002213838,106.22716,2.7388247e-10,144.05431572304596,0.009999999,338.63184,4.363573850357665,243.37758,1
13958.322329313003,0.009413788,100,2.887868,2299795300000.0,10506.64118255793,80115.94415493777,0.99904805,200,240.3896247773817,15.74,151796.73,0.002496382,144.05431572304596,0.00998078,15165223.0,6.201575e-10,144.05431572304596,0.01,72.67538,1.0019064516687564,-inf,
6402.770131086348,3.0018508e-09,100,352.1951,384.11523,6402.770131086348,17.25432713248273,0.5578967,200,133.5504186433783,14.6,2.420281,11.591295,133.5504186433783,0.0016393433,270.05334,6.2014512e-12,133.5504186433783,0.005,347.0733,3.019055972757935,256.95038,1
12427.536913965743,1.0,100,110.92007,,12427.536913965743,200.0,0.01,200,257.32105892522895,27.88,1.0,1.0,257.32105892522895,3.5044917e-18,1.0,0.01,257.32105892522895,0.009999998,257.32104,100.0,189.76567,2
10430.950282369078,1.9122787e-24,100,1050.0609,562.91406,10430.950282369078,9.247301302156709,0.73479515,200,257.1874452747513,27.85,2.2646182,21.627932,257.1874452747513,0.0027440507,332.8061,4.2220776e-27,257.1874452747513,0.005,757.62555,1.8146645410836506,520.6587,1
12249.821968403267,1.0,100,110.12413,,12249.821968403267,200.0,0.01,200,332.07864727038594,35.87,1.0,1.0,332.07864727038594,3.5044917e-18,1.0,0.01,332.07864727038594,0.009999998,332.0786,100.0,248.91891,2
14179.663916263102,0.0030047528,100,1.4788702e-07,inf,10430.950282369078,2479350.825196799,1.0,300,333.67900387107153,27.85,2.6146816e+21,0.000120999415,257.1874452747513,0.005,5.229363e+23,5.745925e-27,257.1874452747513,0.005,334.21042,,-inf,
10652.04484714591,8.7915204e-27,100,1328.6891,699.70135,10652.04484714591,11.63863164030988,0.7595768,300,241.45903970921742,26.15,2.0086036,25.776226,241.45903970921742,0.0019270005,457.70657,1.4589772e-29,241.45903970921742,0.0033333334,703.9163,1.725606531624827,492.6919,1
15996.822215567125,1.0,100,125.84456,,15996.822215567125,300.0,0.01,300,353.24788688242506,38.14,1.0,1.0,353.24788688242506,3.5044917e-18,1.0,0.01,353.24788688242506,0.009999998,353.2479,100.0,291.3129,2
18355.937238976203,1.0,100,130.4751,,18355.937238976203,300.0,0.005,300,344.4988838502998,37.21,1.0,1.0,344.4988838502998,2.179301e-19,1.0,0.005,344.4988838502998,0.0049999994,348.87335,200.00000010221265,295.3433,2
21584.04727400309,0.002184806,100,1.8710306,inf,10652.04484714591,nan,0.99954677,400,374.45566875550196,26.15,3.7932512e+23,nan,241.45903970921742,0.0033303024,1.1374596e+26,1.9199061e-29,241.45903970921742,0.0033333334,296.58734,,-inf,
11648.095140896385,1.2001076e-30,100,1428.5806,1348.056,11648.095140896385,11.395748091038092,0.8021167,400,253.57054080868528,27.46,2.2881472,35.10081,253.57054080868528,0.0016092374,734.1444,1.3112221e-33,253.57054080868528,0.0025000004,715.10626,1.551383940507752,501.64273,1
20088.672308123354,1.0,100,141.02405,,20088.672308123354,400.0,0.01,400,374.8339348100425,40.46,1.0,1.0,374.8339348100425,3.5044917e-18,1.0,0.01,374.8339348100425,0.009999998,374.83395,100.0,276.5727,2
12760.69153394013,1.0,100,128.44435,,12760.69153394013,400.0,0.005,400,344.01071109018454,37.14,1.0,1.0,344.01071109018454,2.179301e-19,1.0,0.005,344.01071109018454,0.0049999994,359.4223,200.00000010221265,289.9411,2
13094.835988484965,1.0,100,124.63989,,13094.835988484965,400.0,0.0033333334,400,328.30523479982577,35.45,1.0,1.0,328.30523479982577,5.4391416e-20,1.0,0.0033333334,328.30523479982577,0.0033333336,349.05,299.999969473632,292.31885,2
12379.124603068642,0.0013621298,100,0.23877223,inf,11648.095140896385,1532.8047233568402,0.9999355,500,364.6196006231337,27.46,2.0832808e+27,0.3261994,253.57054080868528,0.0024996768,8.332586e+29,1.6345969e-33,253.57054080868528,0.0025,306.1662,,-inf,
11132.944091007585,3.1271553e-18,100,1645.0151,1537.8179,11132.944091007585,17.832511504324966,0.6876259,500,247.9287360204866,26.85,2.5464814,28.038675,247.9287360204866,0.0009486016,875.5133,2.4560598e-21,247.9287360204866,0.002,590.0544,2.103703280905347,419.41125,1
17845.008070916407,1.0,100,132.9156,,17845.008070916407,500.0,0.01,500,354.7061193417989,38.3,1.0,1.0,354.7061193417989,3.5044917e-18,1.0,0.01,354.7061193417989,0.009999998,354.70612,100.0,275.57455,2
15270.384931740085,1.0,100,128.13109,,15270.384931740085,500.0,0.005,500,344.6149986836848,37.19,1.0,1.0,344.6149986836848,2.179301e-19,1.0,0.005,344.6149986836848,0.0049999994,349.66055,200.00000010221265,287.53412,2
11995.982813778155,1.0,100,122.115906,,11995.982813778155,500.0,0.0033333334,500,355.86998372188856,38.41,1.0,1.0,355.86998372188856,5.4391416e-20,1.0,0.0033333334,355.86998372188856,0.0033333336,351.73038,299.999969473632,301.00436,2
15013.05354325467,1.0,100,122.06783,,15013.05354325467,500.0,0.0025,500,349.93329319614514,37.77,1.0,1.0,349.93329319614514,5.434597e-20,1.0,0.0025,349.93329319614514,0.0024999997,351.28107,400.0,307.35104,2
19031.22494674971,8.527408e-08,100,1519.3058,1238.4045,19031.22494674971,32.810522437078454,0.651266,500,370.1403776800403,39.95,2.413053,15.239014,370.1403776800403,0.0008507243,785.76965,7.067734e-11,370.1403776800403,0.0019999999,650.5524,2.344603045882095,497.16672,1
18055.399209536714,1.0,100,133.69684,,18055.399209536714,500.0,0.01,500,404.13264646479263,43.59,1.0,1.0,404.13264646479263,3.5044917e-18,1.0,0.01,404.13264646479263,0.009999998,404.13266,100.0,321.33228,2
20598.25074245533,1.0,100,138.33,,20598.25074245533,500.0,0.005,500,401.576094697307,43.31,1.0,1.0,401.576094697307,2.179301e-19,1.0,0.005,401.576094697307,0.0049999994,402.85437,200.00000010221265,334.94186,2
12681.684847228109,1.0,100,130.50276,,12681.684847228109,500.0,0.0033333334,500,382.8169918448973,41.3,1.0,1.0,382.8169918448973,5.4391416e-20,1.0,0.0033333334,382.8169918448973,0.0033333336,396.17526,299.999969473632,340.7249,2
23680.781508993055,1.0,100,136.78264,,23680.781508993055,500.0,0.0025,500,416.21073439046626,44.88,1.0,1.0,416.21073439046626,5.434597e-20,1.0,0.0025,416.21073439046626,0.0024999997,401.18414,400.0,343.42896,2
14065.768709348644,5.972816e-14,100,3351.3772,2952.8704,14065.768709348644,9.565445528622009,0.79995847,500,384.9029262897573,41.5,3.0350826,52.27148,384.9029262897573,0.0012822223,1213.97,3.935851e-17,384.9029262897573,0.0020000003,1189.0232,1.5580474697077613,815.54224,1
27662.905969251715,1.0,100,165.488,,27662.905969251715,500.0,0.01,500,427.5749355889246,46.13,1.0,1.0,427.5749355889246,3.5044917e-18,1.0,0.01,427.5749355889246,0.009999998,427.57492,100.0,339.59344,2
30029.236220684434,1.0,100,169.06046,,30029.236220684434,500.0,0.005,500,437.33817554805006,47.17,1.0,1.0,437.33817554805006,2.179301e-19,1.0,0.005,437.33817554805006,0.0049999994,432.45654,200.00000010221265,370.24423,2
28074.649764327154,1.0,100,168.43912,,28074.649764327154,500.0,0.0033333334,500,417.0406859315639,44.98,1.0,1.0,417.0406859315639,5.4391416e-20,1.0,0.0033333334,417.0406859315639,0.0033333336,427.31796,299.999969473632,374.33105,2
32856.882353282606,1.0,100,171.84436,,32856.882353282606,500.0,0.0025,500,452.57432730560134,48.79,1.0,1.0,452.57432730560134,5.434597e-20,1.0,0.0025,452.57432730560134,0.0024999997,433.63202,400.0,387.74402,2
