MaxVanillaIw,J,MinVanillaIw,IterType,VarDiscRet,AvgNormIw,VarVanillaIw,MaxNormIw,VarRet,BatchSize,AvgRet,MinNormIw,AvgVanillaIw,eRenyi2,Delta,VanillaAvgRet,AvgEpLen,AvgDiscRet,VarJ,Bound,EpsThisIter,ESSRenyi,ESSClassic,VarNormIw
243.615,386.451,0.0114413,1,9329.5350167,0.01,594.252,0.688703,9329.5350167,100,142.343569244,3.23448e-05,3.5373,4.41447,0.4,142.343569244,15.55,142.343569244,390.191,245.369,100,22.6527529579,2.08256104573,0.00474927
87.4024,224.321,0.00410484,,8549.89886228,0.01,157.098,0.152746,9329.5350167,200,142.343569244,7.17367e-06,5.72209,7.21036,0.4,142.343569244,15.55,202.173061089,159.79,44.8369,100,27.7378805523,17.3911926594,0.000479801
493.922,383.357,0.000891667,1,7573.90266892,0.005,1221.23,0.689284,7573.90266892,200,133.91771398,1.24435e-06,3.58286,6.93187,0.4,133.91771398,14.65,133.91771398,564.456,258.348,100,28.8522612645,2.09077482542,0.00237835
1.0,227.439,1.0,2,11389.173251,0.01,,0.01,11389.173251,200,227.438858525,0.01,1.0,1.0,0.4,227.438858525,24.66,227.438858525,106.185,161.323,100,200.0,100.0,3.50449e-18
1121.49,229.302,0.00202461,,10920.437253,0.005,7788.5,0.283965,7573.90266892,300,133.91771398,5.12637e-07,19.747,33.5475,0.4,133.91771398,14.65,222.53838462,223.542,-86.3802,100,8.9425419574,9.58154789076,0.000499333
669.812,381.138,0.000909067,1,9518.11377652,0.00333333,1496.67,0.679945,9518.11377652,300,141.89915272,9.22819e-07,3.28366,8.8911,0.4,141.89915272,15.5,141.89915272,701.548,265.54,100,33.741592565,2.15295096217,0.00154229
1.0,225.878,1.0,2,10493.0003259,0.01,,0.01,10493.0003259,300,225.877736035,0.01,1.0,1.0,0.4,225.877736035,24.49,225.877736035,101.922,147.41,100,300.0,100.0,3.50449e-18
1.0,224.749,1.0,2,12214.3849763,0.005,,0.005,12214.3849763,300,223.619589884,0.005,1.0,1.0,0.4,223.619589884,24.27,223.619589884,106.026,162.678,100,300.0,200.000000102,2.1793e-19
1100.03,211.301,0.00149296,,13811.6314823,0.00333333,8266.65,0.147418,9518.11377652,400,141.89915272,2.00076e-07,24.8732,46.8111,0.4,141.89915272,15.5,227.06688859,398.528,-200.449,100,8.54498602953,20.9536666029,0.000148465
566.709,369.515,0.000633284,1,17749.7303168,0.0025,806.466,0.579672,17749.7303168,400,146.474003816,6.4777e-07,2.44409,8.13342,0.4,146.474003816,16.0,146.474003816,835.711,219.089,100,49.1797750464,2.94838003109,0.000843783
1.0,242.322,1.0,2,14865.970031,0.01,,0.01,14865.970031,400,242.321677547,0.01,1.0,1.0,0.4,242.321677547,26.26,242.321677547,121.315,158.207,100,400.0,100.0,3.50449e-18
1.0,245.001,1.0,2,13756.406157,0.005,,0.005,13756.406157,400,247.680931741,0.005,1.0,1.0,0.4,247.680931741,26.83,247.680931741,119.06,184.646,100,400.0,200.000000102,2.1793e-19
1.0,242.406,1.0,2,13269.4958933,0.00333333,,0.00333333,13269.4958933,400,237.21529075,0.00333333,1.0,1.0,0.4,237.21529075,25.73,237.21529075,117.654,193.126,100,400.0,299.999969474,5.43914e-20
400.389,562.235,5.68541e-15,1,8047.99902274,0.0025,403.843,0.618941,8047.99902274,400,226.062826057,8.78879e-18,1.61723,20.3367,0.4,226.062826057,24.52,226.062826057,1570.71,369.776,100,19.6688759175,2.58030002354,0.000965043
1.0,337.868,1.0,2,25485.8016339,0.01,,0.01,25485.8016339,400,337.868170284,0.01,1.0,1.0,0.4,337.868170284,36.5,337.868170284,158.843,218.907,100,400.0,100.0,3.50449e-18
1.0,332.921,1.0,2,13280.2490093,0.005,,0.005,13280.2490093,400,327.974672677,0.005,1.0,1.0,0.4,327.974672677,35.41,327.974672677,138.613,248.803,100,400.0,200.000000102,2.1793e-19
1.0,339.643,1.0,2,35751.6425953,0.00333333,,0.00333333,35751.6425953,400,353.086316917,0.00333333,1.0,1.0,0.4,353.086316917,38.17,353.086316917,157.154,256.766,100,400.0,299.999969474,5.43914e-20
1.75889e+14,352.793,0.00249757,,26432.944483,0.0025,7.73421e+25,0.999997,8047.99902274,500,226.062826057,1.41997e-17,4.39723e+11,1.70907e+06,0.4,226.062826057,24.52,354.074896806,0.00561861,-93478.4,100,0.00029255662086,1.00000610467,0.00249998
270.967,532.904,8.37542e-15,1,13870.5897422,0.002,160.481,0.34594,13870.5897422,500,234.652690657,1.06928e-17,1.56656,15.485,0.4,234.652690657,25.44,234.652690657,2107.03,360.529,100,32.2893527256,7.54579145991,0.000261572
1.0,345.465,1.0,2,24535.2513238,0.01,,0.01,24535.2513238,500,345.464603141,0.01,1.0,1.0,0.4,345.464603141,37.31,345.464603141,155.852,231.838,100,500.0,100.0,3.50449e-18
1.0,342.121,1.0,2,25904.9009148,0.005,,0.005,25904.9009148,500,338.778367209,0.005,1.0,1.0,0.4,338.778367209,36.57,338.778367209,158.048,248.978,100,500.0,200.000000102,2.1793e-19
1.0,345.061,1.0,2,19265.4169073,0.00333333,,0.00333333,19265.4169073,500,350.941366727,0.00333333,1.0,1.0,0.4,350.941366727,37.89,350.941366727,151.748,269.01,100,500.0,299.999969474,5.43914e-20
1.0,354.931,1.0,2,55919.9588464,0.0025,,0.0025,55919.9588464,500,384.540442766,0.0025,1.0,1.0,0.4,384.540442766,41.53,384.540442766,177.209,224.816,100,500.0,400.0,5.4346e-20
1025.31,1713.66,7.79109e-11,1,18606.9703816,0.002,2107.27,0.753226,18606.9703816,500,340.628732942,5.72357e-14,2.72246,29.6265,0.4,340.628732942,36.8,340.628732942,7029.79,1080.2,100,16.8767787334,1.75595536007,0.00113726
1.0,370.434,1.0,2,28683.9765151,0.01,,0.01,28683.9765151,500,370.433729052,0.01,1.0,1.0,0.4,370.433729052,40.01,370.433729052,168.514,205.621,100,500.0,100.0,3.50449e-18
1.0,423.434,1.0,2,222732.068915,0.005,,0.005,222732.068915,500,476.435101084,0.005,1.0,1.0,0.4,476.435101084,51.38,476.435101084,356.735,18.3137,100,500.0,200.000000102,2.1793e-19
1.0,431.333,1.0,2,56105.5549613,0.00333333,,0.00333333,56105.5549613,500,447.130413482,0.00333333,1.0,1.0,0.4,447.130413482,48.33,447.130413482,321.682,100.553,100,500.0,299.999969474,5.43914e-20
1.0,437.958,1.0,2,50163.2950605,0.0025,,0.0025,50163.2950605,500,457.833895293,0.0025,1.0,1.0,0.4,457.833895293,49.4,457.833895293,300.261,151.495,100,500.0,400.0,5.4346e-20
1557.26,3687.87,9.59263e-09,1,45863.5241145,0.002,4869.62,0.759707,45863.5241145,500,469.815013267,4.67975e-12,4.09963,38.8729,0.4,469.815013267,50.7,469.815013267,17269.2,2090.39,100,12.8624456664,1.72319925752,0.00115895
1.0,619.37,1.0,2,176084.858306,0.01,,0.01,176084.858306,500,619.369621971,0.01,1.0,1.0,0.4,619.369621971,66.95,619.369621971,417.521,333.648,100,500.0,100.0,3.50449e-18
1.0,644.862,1.0,2,494417.152665,0.005,,0.005,494417.152665,500,670.354308687,0.005,1.0,1.0,0.4,670.354308687,72.32,670.354308687,576.67,244.255,100,500.0,200.000000102,2.1793e-19
1.0,651.657,1.0,2,233971.229725,0.00333333,,0.00333333,233971.229725,500,665.24668291,0.00333333,1.0,1.0,0.4,665.24668291,71.97,665.24668291,546.811,324.563,100,500.0,299.999969474,5.43914e-20
