AvgDiscRet,EpsThisIter,BatchSize,VarVanillaIw,AvgEpLen,Bound,VarNormIw,VanillaAvgRet,VarRet,VarDiscRet,MaxNormIw,AvgVanillaIw,AvgNormIw,J,ESSClassic,Delta,IterType,ESSRenyi,VarJ,eRenyi2,MinVanillaIw,AvgRet,MinNormIw,MaxVanillaIw
-1536.23655578,100,100,0.863853,500.0,-1753.36,0.000132633,-1536.23655578,149465.184639,149465.184639,0.0425331,0.807038,0.01,-1214.75,43.2326549017,0.2,1,53.0670204718,284.947,1.88441,2.02199e-06,-1536.23655578,2.50545e-08,3.43258
-1214.66077994,100,100,0.121025,500.0,-1571.99,1.21696e-05,-1214.66077994,70148.5272046,70148.5272046,0.0165859,0.997239,0.01,-1156.87,89.2475133771,0.2,1,89.1858700611,118.577,1.12125,0.155969,-1214.66077994,0.00156401,1.65401
-1138.27890384,100,100,0.0519677,500.0,-1523.31,5.27852e-06,-1138.27890384,19839.2360447,19839.2360447,0.0192778,0.992226,0.01,-1123.36,95.0337929059,0.2,1,96.3409736325,125.004,1.03798,0.336717,-1138.27890384,0.00339355,1.9128
-1146.29425507,100,100,0.093189,500.0,-1518.53,9.5257e-06,-1146.29425507,35212.4911644,35212.4911644,0.0236139,0.989085,0.01,-1115.9,91.3822429665,0.2,1,93.0361582534,168.709,1.07485,0.19422,-1146.29425507,0.00196363,2.33562
-1131.582647,100,100,0.0200353,500.0,-1519.46,2.03755e-06,-1131.582647,22392.7007909,22392.7007909,0.0157844,0.991616,0.01,-1125.04,98.0227067144,0.2,1,98.6688666771,118.235,1.01349,0.488191,-1131.582647,0.00492319,1.56521
-1144.73110293,100,100,0.0122254,500.0,-1534.49,1.23119e-06,-1144.73110293,21470.1375585,21470.1375585,0.0122244,0.996482,0.01,-1140.15,98.7958496381,0.2,1,98.9106818034,127.278,1.01101,0.693892,-1144.73110293,0.00696341,1.21814
-1134.91206359,100,100,2.44115,500.0,-1496.02,0.000180523,-1134.91206359,20695.9966959,20695.9966959,0.138318,1.16287,0.01,-1083.78,35.8785804019,0.2,1,86.3215919232,246.034,1.15846,0.304553,-1134.91206359,0.00261898,16.0846
-1142.05123209,100,100,0.154233,500.0,-1520.54,1.46844e-05,-1142.05123209,21281.1819869,21281.1819869,0.03453,1.02485,0.01,-1111.47,87.3076409181,0.2,1,91.9747234763,197.667,1.08726,0.282723,-1142.05123209,0.00275866,3.53882
-1098.00298481,100,100,0.334094,500.0,-1342.54,3.10947e-05,-1098.00298481,16526.0413067,16526.0413067,0.0502583,1.03655,0.01,-1055.95,76.4620937095,0.2,1,83.3790271224,283.112,1.19934,0.341327,-1098.00298481,0.00329291,5.20953
-1100.94314751,100,100,0.173131,500.0,-1479.78,1.56552e-05,-1100.94314751,32532.0213833,32532.0213833,0.0324294,1.05162,0.01,-1066.5,86.5810582727,0.2,1,89.9110654514,262.678,1.11221,0.458847,-1100.94314751,0.00436325,3.41033
