VarVanillaIw,eRenyi2,BatchSize,AvgRet,MinNormIw,VarJ,MinVanillaIw,AvgDiscRet,VarRet,ESSRenyi,MaxVanillaIw,AvgEpLen,ESSClassic,AvgVanillaIw,AvgNormIw,VarNormIw,VarDiscRet,MaxNormIw,Bound,J,VanillaAvgRet
2.0708742,3.071968,100,-1.0913936421275138e-13,8.853143e-22,44.320896,9.75995e-20,-1.0913936421275138e-13,4553425.762000742,32.55242158803325,4.306344,200.0,37.21764326973894,1.1024277,0.01,0.00017039364,4553425.762000742,0.03906237,1445.041,1680.199,-1704.5819581729843
64.901505,66.073845,100,9.237055564881303e-16,,10.798733,,9.237055564881303e-16,115.73040581665066,1.51345816391817,68.88639,200.0,1.8939235341841176,1.1137259,0.009999999,0.0052323667,115.73040581665066,0.6185219,3.2153277,10.223043,-11.46221247258801
51.842205,37.842484,100,-1.723066134218243e-15,,8.970461,,-1.723066134218243e-15,91.65576457006388,2.6425326959793067,51.140327,200.0,3.6496248459114162,1.3943018,0.01,0.002666674,91.65576457006388,0.3667809,3.9817944,8.781555,-10.895667714540147
17.516357,164.84549,100,1.4566126083082053e-15,,7.3351755,,1.4566126083082053e-15,65.48920251878252,0.6066286696841358,32.373917,200.0,2.5424174170132736,0.6725973,0.01,0.0038719843,65.48920251878252,0.4813269,1.8655839,6.5937614,-8.959477563391935
5.993816,8.103203,100,-1.4210854715202004e-16,,14.495747,,-1.4210854715202004e-16,76.88883612218112,12.340799338670543,11.467129,200.0,12.068344890954787,0.9024446,0.01,0.0007359738,76.88883612218112,0.1270674,1.8683457,4.4072843,-10.482039221230155
3.4720914,38.03981,100,1.723066134218243e-15,,8.88324,,1.723066134218243e-15,80.70493108070217,2.628824894894738,15.747077,200.0,3.5913541900905526,0.35783622,0.01,0.0027115804,80.70493108070217,0.4400638,2.4823728,7.18386,-10.592923397009333
215.82959,40.51701,100,-7.993605777301127e-17,,36.66939,,-7.993605777301127e-17,80.74788094896523,2.4680992169407654,57.2905,200.0,7.000000240911482,4.010335,0.01,0.0013419912,80.74788094896523,0.14285713,0.8265238,3.9413676,-9.803683229048762
,1.0,100,1.4743761767022078e-15,0.01,9.199336,1.0,1.4743761767022078e-15,85.4826269587757,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,85.4826269587757,0.01,-0.95087296,1.6391277e-07,-11.299014002333552
,1.0,100,-1.438849039914203e-15,0.01,8.791066,1.0,-1.438849039914203e-15,78.06347676699087,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,78.06347676699087,0.01,-0.79409933,-5.9604645e-08,-9.435354924351692
,1.0,100,1.1901590823981679e-15,0.01,8.653672,1.0,1.1901590823981679e-15,75.6424733082047,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,75.6424733082047,0.01,-0.8286779,-1.0430813e-07,-9.849327042089373
,1.0,100,1.8829382497642656e-15,0.01,9.316259,1.0,1.8829382497642656e-15,87.6693946566108,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,87.6693946566108,0.01,-0.8980027,,-10.671794592970018
,1.0,100,2.771116669464391e-15,0.01,9.397824,1.0,2.771116669464391e-15,89.21121298389347,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,89.21121298389347,0.01,-0.8232899,-8.940697e-08,-9.785769762184403
,1.0,100,2.575717417130363e-16,0.01,8.79424,1.0,2.575717417130363e-16,78.11985311797491,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,78.11985311797491,0.01,-0.85692227,2.9802322e-08,-10.182268090848417
