BatchSize,VarDiscRet,AvgRet,EpsThisIter,VarVanillaIw,VanillaAvgRet,IterType,VarJ,AvgVanillaIw,AvgNormIw,MaxNormIw,VarRet,eRenyi2,VarNormIw,MaxVanillaIw,AvgEpLen,ESSRenyi,Delta,ESSClassic,MinNormIw,AvgDiscRet,J,Bound,MinVanillaIw
100,6442.25079311,129.039102473,100,678.78,129.039102473,1,153.764,2.84532,0.01,0.916338,6442.25079311,15.4098,0.0083843,260.727,14.13,6.48936903645,0.9,1.19041189194,7.32889e-09,129.039102473,400.677,346.105,2.0853e-06
200,8186.33597048,129.039102473,100,4.01106e+09,129.039102473,,437.159,13942.3,0.01,0.343951,6442.25079311,,0.00206344,479546.0,14.13,inf,0.9,4.66678052219,2.75093e-09,263.556791714,290.691,-inf,0.00383542
200,8475.04908393,155.6588781,100,799.276,155.6588781,1,196.869,2.71144,0.005,0.72346,8475.04908393,24.0769,0.00271792,392.324,16.97,8.30670653174,0.9,1.83195451184,1.97373e-14,155.6588781,398.677,347.53,1.07033e-11
200,19006.4261762,307.763475223,100,,307.763475223,2,137.173,1.0,0.01,0.01,19006.4261762,1.0,3.50449e-18,1.0,33.26,200.0,0.9,100.0,0.01,307.763475223,307.763,277.626,1.0
300,16545.4501586,155.6588781,100,6.0969e+19,155.6588781,,223.121,7.67063e+08,0.005,0.609003,8475.04908393,3832.57,0.00259052,9.34288e+10,16.97,0.0782765002709,0.9,1.92118062539,1.66147e-14,281.128877159,250.42,-1240.44,0.00254891
300,8414.59430627,139.092392973,100,633.666,139.092392973,1,302.254,2.43022,0.00333333,0.536832,8414.59430627,35.3598,0.00119214,391.387,15.2,8.48421309051,0.9,2.77946218183,3.63906e-18,139.092392973,390.916,328.262,2.65312e-15
300,22830.9314672,309.448419922,100,,309.448419922,2,150.342,1.0,0.01,0.01,22830.9314672,1.0,3.50449e-18,1.0,33.45,300.0,0.9,100.0,0.01,309.448419922,309.448,268.56,1.0
300,9695.16615399,292.670845318,100,,292.670845318,2,127.164,1.0,0.005,0.005,9695.16615399,1.0,2.1793e-19,1.0,31.65,300.0,0.9,200.000000102,0.005,292.670845318,301.06,272.147,1.0
400,14103.8035132,139.092392973,100,4.73549e+26,139.092392973,,0.806309,1.25714e+12,0.00333333,0.999399,8414.59430627,3.64051e-05,0.00332931,3.76915e+14,15.2,10987478.8812,0.9,1.00120289471,6.77468e-18,289.873507353,278.278,-inf,0.00255502
400,8076.06737895,133.36120025,100,2090.92,133.36120025,1,462.588,3.03071,0.0025,0.752074,8076.06737895,44.0222,0.00142275,911.727,14.59,9.08633454542,0.9,1.75383901602,1.53338e-17,133.36120025,387.405,326.862,1.85889e-14
