MinNormIw,ESSClassic,AvgRet,MinVanillaIw,VarVanillaIw,AvgVanillaIw,VanillaAvgRet,J,MaxNormIw,eRenyi2,VarNormIw,AvgDiscRet,AvgNormIw,VarJ,VarRet,MaxVanillaIw,Bound,ESSRenyi,VarDiscRet,BatchSize,AvgEpLen
2.2816821e-27,1.826815222993956,-2.9416469260468145e-14,1.5158432e-26,0.23958592,0.06643534,116.11656713830943,344.8725,0.6586418,64985.824,0.0054282914,-2.9416469260468145e-14,0.01,444.81848,5068.28010698178,4.375709,99.724945,0.0015387971331007225,5068.28010698178,100,12.62
,11.379101330536457,-4.729372449219227e-13,,0.6151381,0.2796339,2162.5311417439157,2807.3328,0.117306724,38.573048,0.00078667083,-4.729372449219227e-13,0.01,222.96944,3525701.9002818773,3.2802937,2099.3977,2.592483771016387,3525701.9002818773,100,217.05
5.487013e-08,32.31290285705528,5.911715561524034e-13,5.1287243e-06,1.8485935,0.9347024,4401.152165538067,589.7257,0.05681381,3.8233082,0.00021158982,5.911715561524034e-13,0.010000002,41.968018,1849669.9523897492,5.3104005,501.06232,26.155359180779236,1849669.9523897492,100,440.36
2.0136868e-06,55.81868966380907,-2.7284841053187846e-13,0.00021018335,0.8710369,1.0437738,4997.764199873896,2.0733826,0.03817082,2.031749,7.9950965e-05,-2.7284841053187846e-13,0.01,0.1947105,399.74680986674025,3.98417,1.821724,49.21867785025487,399.74680986674025,100,499.81
,inf,5.729816621169448e-13,,,1.59052e-40,4999.854660749548,0.14073987,1.0,1.8930401e+16,0.0100000035,5.729816621169448e-13,0.01,,0.03020139784882535,1.5905207e-38,0.019123212,5.282508218037451e-15,0.03020139784882535,100,500.0
2.5025067e-20,19.891923133285523,6.548361852765083e-13,1.4490016e-18,1.3638028,0.5790201,2445.9084191321845,2517.296,0.076022334,nan,0.00040678447,6.548361852765083e-13,0.01,168.59312,4014929.1502087526,4.401846,2035.5364,nan,4014929.1502087526,100,245.37
8.6186796e-23,27.97940302037558,-1.0550138540565967e-12,6.085361e-21,1.2962066,0.7060665,4798.922874576099,197.32959,0.06349841,nan,0.00026000576,-1.0550138540565967e-12,0.010000002,20.243639,758087.0197142715,4.48341,165.35155,nan,758087.0197142715,100,480.16
4.1333227e-05,63.338683525075865,-3.9108272176235914e-13,0.0034866796,0.41603422,0.8435537,4948.4498275672295,49.970863,0.027575074,1.585498,5.8466034e-05,-3.9108272176235914e-13,0.010000002,2.1620762,249843.74519345482,2.3261056,44.579147,63.07166679160287,249843.74519345482,100,495.01
1.2913622e-05,62.60706437252286,1.7280399333685637e-13,0.0012023167,0.52296495,0.9310453,4948.666858513032,49.777294,0.029397145,1.6027207,6.0329676e-05,1.7280399333685637e-13,0.010000002,2.2730289,249865.59649192833,2.7370074,44.330128,62.39390160924136,249865.59649192833,100,495.01
3.0653327e-11,37.01377221992635,-9.731593308970333e-13,2.8050433e-09,1.4393654,0.91508615,4848.957069570224,148.18578,0.052040223,2.6884217,0.00017188858,-9.731593308970333e-13,0.01,14.252842,732518.8807330043,4.762129,127.30043,37.196545104681086,732518.8807330043,100,485.05
