AvgNormIw,eRenyi2,VarDiscRet,ESSClassic,J,MaxNormIw,AvgEpLen,AvgVanillaIw,VarVanillaIw,VarRet,VarNormIw,Bound,BatchSize,VarJ,AvgDiscRet,MinNormIw,ESSRenyi,MinVanillaIw,MaxVanillaIw,AvgRet
0.009999999,,35191.85106687147,1.577978187777349,780.95496,0.79086405,49.97,1.0494268,69.38416,147242.931113693,0.0063002254,193.59662,100,765.8992,351.36962250631933,1.3490428e-10,inf,1.4157217e-08,82.99539,489.7134844812192
0.01,4044.7222,19124.94136169306,1.0,866.0186,1.0,134.37,0.039841834,0.15873712,226077.31674947607,0.010000002,591.6476,100,,707.9561112596347,,0.0247235770090532,,3.9841833,1335.3536209531874
0.01,1.010667,0.0012897585527878134,98.9562272251333,865.9813,0.010783851,200.0,1.0025725,0.010709285,0.009967936484828088,1.0654395e-06,865.9508,100,0.035002086,865.9810174220585,0.0058098035,98.94456168129398,0.58247495,1.0811594,1999.8921998310088
0.010000002,1.3212017,0.0008804458936900242,75.22708326143915,865.9895,0.017800119,200.0,0.95488906,0.30330065,0.006422502279557202,3.3263466e-05,865.9602,100,0.030201394,865.9851692400725,6.235544e-05,75.68867142354316,0.0059542526,1.6997138,1999.9055420207978
0.01,413.1274,0.001032515127790759,1.0,866.0176,1.0,200.0,6.1241463e-13,3.7505183e-23,0.008119101949620991,0.010000002,865.95953,100,1.3884987e-12,865.9865378542335,,0.24205607607805923,,6.124146e-11,1999.9075994491577
0.01,1.0010264,0.0013092184824802105,99.86352186916292,865.98065,0.011980135,200.0,1.0046746,0.0013932174,0.010970903512225603,1.3802826e-07,865.9502,100,0.03589241,865.9806132256875,0.009735546,99.89746604172953,0.9781056,1.2036138,1999.8896639060974
0.010000002,1.0003743,0.001111844942194474,99.98370202273668,865.9852,0.010548072,200.0,0.9955676,0.00016297567,0.008950260481473784,1.6442993e-08,865.9572,100,0.033141606,865.9851773306764,0.009909924,99.96258228917264,0.9865999,1.0501319,1999.9046126937867
0.01,676.4991,0.0008553645829738381,1.0009610013332817,866.0181,1.0,200.0,6.4760396e-24,4e-45,0.006734007952615013,0.010000002,865.96216,100,,865.9868130450948,,0.1478198600637455,,6.4760396e-22,1999.9092455768584
0.009999998,,0.0014078808150383047,100.0,865.9833,0.01,200.0,1.0,,0.01235988722515474,3.5044917e-18,865.9833,100,0.037333537,865.983285791043,0.01,inf,1.0,1.0,1999.8972732830048
0.009999998,,0.0011466578197501804,100.0,865.9908,0.01,200.0,1.0,,0.009689665089829512,3.5044917e-18,865.9908,100,0.03369644,865.9908057540988,0.01,inf,1.0,1.0,1999.9180113315583
0.009999998,,3.5549518582646935,100.0,865.7973,0.01,199.88,1.0,,170.41096703352662,3.5044917e-18,865.7973,100,1.8760055,865.7972730896295,0.01,inf,1.0,1.0,1998.6018965801968
0.009999998,,0.001095880804991945,100.0,865.98694,0.01,200.0,1.0,,0.008963742703609763,3.5044917e-18,865.98694,100,0.032938324,865.9869456307927,0.01,inf,1.0,1.0,1999.9096082019805
0.009999998,,0.0012700848971271448,100.0,865.98016,0.01,200.0,1.0,,0.010982697933571334,3.5044917e-18,865.98016,100,0.03545793,865.9801964959725,0.01,inf,1.0,1.0,1999.889649295807
0.009999998,,0.001163991991051019,100.0,865.9822,0.01,200.0,1.0,,0.009196147012151762,3.5044917e-18,865.9822,100,0.03394632,865.982165555662,0.01,inf,1.0,1.0,1999.8966653251648
0.009999998,,0.0015779317466428357,100.0,865.97906,0.01,200.0,1.0,,0.013938496634166063,3.5044917e-18,865.97906,100,0.039522257,865.9791116883523,0.01,inf,1.0,1.0,1999.886211643219
