MaxNormIw,ESSClassic,AvgDiscRet,AvgRet,VarDiscRet,MinNormIw,delta,VanillaAvgRet,AvgVanillaIw,Bound,J,AvgEpLen,EpsThisIter,AvgNormIw,VarJ,MaxVanillaIw,VarRet,IterType,VarVanillaIw,ESSRenyi,VarNormIw,renyi2,MinVanillaIw,BatchSize,SamplesThisIter
0.000151851,0.950010261354,-403.377386398,-403.377386398,143.840532054,6.98368e-07,0.7,-403.377386398,1.02894,-427.861,-71873.2,500.0,100,5.55556e-05,210.857,2.81243,143.840532054,1,0.213638,nan,6.22803e-10,nan,0.0129345,100,50000
0.0609294,8.85850943099,-368.355863557,-368.355863557,11067.1001775,,0.7,-368.355863557,2.3528e+18,nan,nan,450.45045045,111,5.005e-05,nan,2.86423e+21,11067.1001775,1,inf,nan,2.53557e-06,nan,,100,50000
0.0906608,10.9999949006,-361.62085019,-361.62085019,7742.21629451,,0.7,-361.62085019,91361.8,-247.627,-39218.9,450.45045045,111,5.00501e-05,2664.5,1.65493e+08,7742.21629451,1,1.50708e+13,nan,4.52291e-06,nan,,100,50000
0.000122903,0.736065919583,-412.774895865,-412.774895865,20.9147878911,4.18273e-05,0.7,-412.774895865,0.945053,-439.642,-74220.6,500.0,100,5.55556e-05,85.0229,2.0907,20.9147878911,1,0.0163007,0.0036624149034,5.63312e-11,10.2148,0.711521,100,50000
0.00686389,1.98546645884,-359.648231362,-359.648231362,8356.73838567,,0.7,-359.648231362,126.513,-233.842,-43653.8,454.545454545,110,5.05051e-05,2791.71,17193.8,8356.73838567,1,896106.0,nan,1.42809e-07,nan,,100,50000
0.0903653,10.9996586242,-360.427128332,-360.427128332,11372.2267694,,0.7,-360.427128332,2.25396e+19,-142.752,-29041.9,446.428571429,112,4.96032e-05,1927.56,4.10619e+22,11372.2267694,1,inf,nan,4.4535e-06,nan,,100,50000
0.00424813,0.328243709428,-387.712858433,-387.712858433,1510.19788759,,0.7,-387.712858433,1.7411,-362.992,-58183.8,495.04950495,101,5.50055e-05,2550.85,134.467,1510.19788759,1,52.7844,nan,5.26828e-08,nan,,100,50000
0.063413,8.73514080097,-335.599226871,-335.599226871,16318.7893562,,0.7,-335.599226871,98010.3,-159.767,-28392.7,413.223140496,121,4.59137e-05,1956.74,1.35365e+08,16318.7893562,1,9.62219e+12,nan,2.11162e-06,nan,,100,50000
0.0855226,11.0483586481,-334.302030427,-334.302030427,15278.3559735,,0.7,-334.302030427,1975.84,-133.37,-26131.4,416.666666667,120,4.62963e-05,1833.73,3.64996e+06,15278.3559735,1,6.18363e+09,nan,3.39492e-06,nan,,100,50000
0.0979446,9.99564396328,-368.05356184,-368.05356184,8899.4917118,,0.7,-368.05356184,1.08108e+16,-187.534,-33864.6,454.545454545,110,5.05051e-05,1660.86,2.09654e+19,8899.4917118,1,inf,nan,4.84483e-06,nan,,100,50000
0.476305,0.824698896529,-405.178811206,-405.178811206,1130.40579022,,0.7,-405.178811206,2.65199e+06,-363.017,-42993.0,495.04950495,101,5.50055e-05,2174.05,2.29642e+10,1130.40579022,1,3.51681e+16,nan,1.51293e-05,nan,,100,50000
