VarVanillaIw,renyi2,VarRet,VarJ,VarDiscRet,ESSRenyi,AvgDiscRet,MinVanillaIw,EpsThisIter,AvgVanillaIw,MinNormIw,SamplesThisIter,AvgEpLen,ESSClassic,IterType,VarNormIw,BatchSize,AvgNormIw,MaxNormIw,MaxVanillaIw,VanillaAvgRet,AvgRet,delta,Bound,J
0.190459,nan,4242.3555894,1846.41,4242.3555894,nan,-388.642090045,0.177163,104,0.99972,9.4665e-06,50000,480.769230769,0.65754455474,1,5.43791e-10,100,5.34188e-05,0.000222388,4.16193,-388.642090045,-388.642090045,0.1,-492.825,-66467.3
0.410896,nan,6444.67112564,2333.75,6444.67112564,nan,-380.182671151,0.0205529,106,1.04427,1.03153e-06,50000,471.698113208,0.653589052469,1,1.03503e-09,100,5.24109e-05,0.000269463,5.36896,-380.182671151,-380.182671151,0.1,-473.363,-62716.1
0.247275,nan,4984.28251279,1851.27,4984.28251279,nan,-381.446341072,0.286247,105,1.02413,1.47885e-05,50000,476.19047619,0.683912451625,1,6.60008e-10,100,5.29101e-05,0.000244844,4.73921,-381.446341072,-381.446341072,0.1,-482.489,-64608.0
0.55871,nan,7945.7711947,2610.12,7945.7711947,nan,-381.974885796,0.00988864,107,1.05463,4.86832e-07,50000,467.289719626,0.65755308017,1,1.35416e-09,100,5.19211e-05,0.000290322,5.89709,-381.974885796,-381.974885796,0.1,-469.88,-61703.6
1.84441,nan,9958.90246665,2720.48,9958.90246665,nan,-371.458660037,0.000175274,109,1.1621,7.68733e-09,50000,458.71559633,0.707284916549,1,3.54791e-09,100,5.09684e-05,0.000486362,11.0892,-371.458660037,-371.458660037,0.1,-439.029,-54533.2
0.427448,nan,6367.65833385,2307.26,6367.65833385,nan,-383.328824603,0.0396395,106,1.0451,1.9879e-06,50000,471.698113208,0.705246971798,1,1.07501e-09,100,5.24109e-05,0.000271407,5.41197,-383.328824603,-383.328824603,0.1,-476.148,-63075.5
5.95204,nan,12471.1717001,2515.23,12471.1717001,nan,-360.853839725,3.98488e-13,112,1.40795,1.4039e-17,50000,446.428571429,0.631321971381,1,7.38771e-09,100,4.96032e-05,0.000709984,20.1524,-360.853839725,-360.853839725,0.1,-408.117,-49117.7
2.69072,nan,10152.7025091,2634.44,10152.7025091,nan,-372.663854455,7.44674e-06,109,1.22335,3.10254e-10,50000,458.71559633,1.07581385526,1,4.67057e-09,100,5.09684e-05,0.000750925,18.0238,-372.663854455,-372.663854455,0.1,-438.771,-53730.7
0.312717,nan,5915.32167448,2428.58,5915.32167448,nan,-386.996613119,0.0880003,105,0.99957,4.6581e-06,50000,476.19047619,0.618368635984,1,8.76195e-10,100,5.29101e-05,0.000257498,4.86462,-386.996613119,-386.996613119,0.1,-481.964,-64452.9
8.01889,nan,11697.8190822,2344.21,11697.8190822,nan,-364.885155641,1.71316e-06,111,1.50519,5.69655e-11,50000,450.45045045,0.604338508053,1,8.86625e-09,100,5.005e-05,0.000676348,20.3403,-364.885155641,-364.885155641,0.1,-416.616,-48675.1
0.353,nan,6088.72104338,2092.29,6088.72104338,nan,-378.975459312,0.122413,106,1.03097,6.22302e-06,50000,471.698113208,0.677684022718,1,9.12273e-10,100,5.24109e-05,0.000238541,4.69233,-378.975459312,-378.975459312,0.1,-473.445,-62926.6
6.2185,nan,14368.102898,2413.01,14368.102898,nan,-354.676988926,8.43309e-05,114,1.44041,2.85313e-09,50000,438.596491228,1.01406216099,1,7.11797e-09,100,4.87329e-05,0.00077896,23.024,-354.676988926,-354.676988926,0.1,-387.879,-46882.5
1.83101,nan,12132.673321,2648.18,12132.673321,nan,-354.785177193,7.95152e-06,112,1.18952,3.31578e-10,50000,446.428571429,0.769053044266,1,3.18393e-09,100,4.96032e-05,0.000452765,10.8577,-354.785177193,-354.785177193,0.1,-415.431,-52154.0
1.25996,nan,10070.9948077,2517.01,10070.9948077,nan,-372.576500459,0.00158566,109,1.08938,7.41874e-08,50000,458.71559633,0.788655789664,1,2.75802e-09,100,5.09684e-05,0.000467445,9.99104,-372.576500459,-372.576500459,0.1,-439.216,-57170.6
4.24304,nan,12465.8685823,2456.52,12465.8685823,nan,-360.193532809,3.50569e-16,112,1.34328,1.29454e-20,50000,446.428571429,0.645007185308,1,5.78582e-09,100,4.96032e-05,0.000581837,15.7564,-360.193532809,-360.193532809,0.1,-408.645,-49497.3
2.05442,nan,10785.3693542,2607.35,10785.3693542,nan,-367.852955605,9.96237e-10,110,1.23077,4.0881e-14,50000,454.545454545,0.62719457296,1,3.45944e-09,100,5.0505e-05,0.000441421,10.7571,-367.852955605,-367.852955605,0.1,-434.96,-54447.3
1.13596,nan,9176.18060562,2305.01,9176.18060562,nan,-367.971539261,0.000288651,109,1.15368,1.27523e-08,50000,458.71559633,0.706283659773,1,2.21714e-09,100,5.09684e-05,0.000344069,7.7881,-367.971539261,-367.971539261,0.1,-444.482,-57079.8
0.258432,6.60385,5455.82792269,2178.69,5455.82792269,0.135514467807,-384.817953288,0.229596,105,0.997389,1.21797e-05,50000,476.19047619,0.62764021989,1,7.27267e-10,100,5.291e-05,0.000248747,4.68904,-384.817953288,-384.817953288,0.1,-482.746,-64752.5
1.11624,nan,9152.12941558,2457.91,9152.12941558,nan,-370.341152314,0.00968506,109,1.12347,4.3938e-07,50000,458.71559633,0.672761011509,1,2.29738e-09,100,5.09684e-05,0.000344884,7.60212,-370.341152314,-370.341152314,0.1,-446.082,-57238.4
0.213767,nan,4483.99680355,1951.54,4483.99680355,nan,-385.296537465,0.213469,104,1.02219,1.11557e-05,50000,480.769230769,0.643732748255,1,5.83802e-10,100,5.34188e-05,0.000232121,4.44173,-385.296537465,-385.296537465,0.1,-488.756,-65721.7
0.167065,7.09315,4613.10928337,1958.97,4613.10928337,0.0830777381274,-391.041304548,0.218331,104,1.00816,1.15686e-05,50000,480.769230769,0.642043246261,1,4.69043e-10,100,5.34188e-05,0.000241195,4.55202,-391.041304548,-391.041304548,0.1,-497.253,-67359.3
4.26188,nan,12283.5115437,2651.14,12283.5115437,nan,-364.638716315,2.32767e-05,111,1.35252,8.61352e-10,50000,450.45045045,0.737220213005,1,5.83606e-09,100,5.00501e-05,0.000630328,17.0336,-364.638716315,-364.638716315,0.1,-417.508,-50729.6
0.283771,nan,5596.6431068,2235.21,5596.6431068,nan,-385.747798986,0.135159,105,1.00733,7.09923e-06,50000,476.19047619,0.683662664635,1,7.82894e-10,100,5.29101e-05,0.000269716,5.13499,-385.747798986,-385.747798986,0.1,-482.959,-64739.5
1.0714,8.34443,10465.1890956,2531.83,10465.1890956,0.0237716261731,-370.568211652,0.0104786,109,1.09556,4.87494e-07,50000,458.71559633,0.749836148315,1,2.3189e-09,100,5.09684e-05,0.000392136,8.42892,-370.568211652,-370.568211652,0.1,-441.589,-58133.8
0.435527,9.08739,8174.98096537,2019.94,8174.98096537,0.0113082296525,-374.663521102,0.0293898,108,1.04442,1.44752e-06,50000,462.962962963,0.838795669082,1,1.05651e-09,100,5.14403e-05,0.000314279,6.38095,-374.663521102,-374.663521102,0.1,-456.343,-62786.9
2.19387,nan,10199.6867965,2369.01,10199.6867965,nan,-366.6965504,5.89616e-05,110,1.21779,2.44531e-09,50000,454.545454545,0.661612274536,1,3.77344e-09,100,5.05051e-05,0.000454288,10.9539,-366.6965504,-366.6965504,0.1,-431.333,-53761.2
0.336175,8.31406,5938.05163265,2245.8,5938.05163265,0.0245046146269,-379.526137465,0.0974263,105,1.03167,4.99657e-06,50000,476.19047619,0.676037732821,1,8.84212e-10,100,5.29101e-05,0.000290081,5.65619,-379.526137465,-379.526137465,0.1,-475.23,-63310.1
6.05739,nan,14366.7952638,1979.11,14366.7952638,nan,-345.253378772,1.67846e-10,116,1.47312,5.45686e-15,50000,431.034482759,0.823346371985,1,6.40251e-09,100,4.78927e-05,0.000560204,17.2311,-345.253378772,-345.253378772,0.1,-372.845,-45813.0
1.52488,nan,9671.58151595,2512.45,9671.58151595,nan,-370.768717198,0.0011133,109,1.15261,4.92302e-08,50000,458.71559633,0.637873504873,1,2.98177e-09,100,5.09684e-05,0.000365775,8.27169,-370.768717198,-370.768717198,0.1,-440.536,-55799.2
0.508761,10.1341,7223.89844777,2657.11,7223.89844777,0.00397017529875,-382.375221437,0.0473982,106,1.03419,2.40206e-06,50000,471.698113208,0.628929309755,1,1.30665e-09,100,5.24109e-05,0.000292833,5.77827,-382.375221437,-382.375221437,0.1,-469.293,-62057.9
1.55534,nan,10023.7336848,2614.18,10023.7336848,nan,-368.775087058,0.00738047,109,1.14205,3.29382e-07,50000,458.71559633,0.618726229522,1,3.09783e-09,100,5.09684e-05,0.00040705,9.12079,-368.775087058,-368.775087058,0.1,-435.226,-55208.6
0.691737,nan,7794.22941233,2481.99,7794.22941233,nan,-376.549489148,0.00257554,107,1.08326,1.23447e-07,50000,467.289719626,0.63577815035,1,1.58914e-09,100,5.19211e-05,0.000314042,6.55205,-376.549489148,-376.549489148,0.1,-460.049,-60276.0
0.289688,9.79351,5611.72453538,2248.81,5611.72453538,0.00558124648856,-384.363485079,0.163927,105,1.01155,8.57439e-06,50000,476.19047619,0.669398419111,1,7.92569e-10,100,5.29101e-05,0.000268875,5.1404,-384.363485079,-384.363485079,0.1,-480.877,-64460.6
2.20177,nan,10493.4616963,2689.04,10493.4616963,nan,-371.372948124,0.00507959,109,1.1807,2.19276e-07,50000,458.71559633,0.57818462918,1,4.10294e-09,100,5.09684e-05,0.000479673,11.1118,-371.372948124,-371.372948124,0.1,-434.253,-53890.4
1.0163,nan,9113.53445352,2731.79,9113.53445352,nan,-373.025744207,0.0132871,108,1.08838,6.27994e-07,50000,462.962962963,0.594140298226,1,2.27025e-09,100,5.14403e-05,0.000371738,7.86525,-373.025744207,-373.025744207,0.1,-447.394,-57556.2
1.77444,12.558,10678.3409121,2449.53,10678.3409121,0.000351674785226,-364.523066399,0.0049288,110,1.15287,2.15922e-07,50000,454.545454545,0.651780590428,1,3.40543e-09,100,5.05051e-05,0.000447875,10.2235,-364.523066399,-364.523066399,0.1,-425.716,-53487.5
