VanillaAvgRet,Bound,MaxNormIw,AvgRet,AvgNormIw,SamplesThisIter,VarJ,IterType,ESSClassic,VarVanillaIw,AvgVanillaIw,AvgDiscRet,MaxVanillaIw,AvgEpLen,renyi2,VarDiscRet,J,MinVanillaIw,ESSRenyi,BatchSize,MinNormIw,VarNormIw,EpsThisIter,VarRet,delta
129.497622376,285.971,0.0389196,129.497622376,1.57649e-06,50000,16903.7,1,7.18377906054,20635.5,1.94806,129.497622376,48092.8,14.1884222474,nan,4809.671595,47068.0,,nan,100,,1.35143e-08,3524,4809.671595,0.4
128.932012533,297.604,0.00986057,128.932012533,1.56937e-06,50000,18499.0,1,10.0843608488,1810.89,1.76113,128.932012533,11065.5,14.1242937853,nan,5104.81245473,52527.9,1.26223e-36,nan,100,1.12524e-42,1.43799e-09,3540,5104.81245473,0.4
130.538358219,285.199,0.0542136,130.538358219,1.58866e-06,50000,22120.0,1,2.66658636898,31127.7,2.14833,130.538358219,73312.3,14.2979696883,nan,5414.49380509,51767.4,,nan,100,,1.7022e-08,3497,5414.49380509,0.4
134.142484037,216.176,0.0012751,134.142484037,1.63159e-06,50000,12611.8,1,8.05406210967,43.9091,1.13861,134.142484037,889.834,14.684287812,nan,5558.43467077,36430.5,1.14059e-18,nan,100,1.63442e-24,9.01626e-11,3405,5558.43467077,0.4
134.067397286,230.006,0.00103468,134.067397286,1.63063e-06,50000,9421.9,1,8.54224870644,43.45,1.16544,134.067397286,739.51,14.6756677429,nan,5116.80570826,37369.0,6.88961e-32,nan,100,9.63958e-38,8.50585e-11,3407,5116.80570826,0.4
140.552937761,235.348,0.000442136,140.552937761,1.70783e-06,50000,7914.61,1,7.33799103206,34.5777,1.17246,140.552937761,303.536,15.3704272979,nan,5639.87370051,39180.6,3.44387e-35,nan,100,5.01637e-41,7.33648e-11,3253,5639.87370051,0.4
145.410838769,310.24,0.0146728,145.410838769,1.76591e-06,50000,16416.0,1,8.63892469019,3061.7,1.79728,145.410838769,14933.4,15.8931977114,nan,5934.14812332,56687.7,,nan,100,,2.95577e-09,3146,5934.14812332,0.4
157.858895034,273.087,0.0008252,157.858895034,1.91439e-06,50000,10752.3,1,6.54775855991,58.873,1.20062,157.858895034,517.531,17.2294968987,nan,7056.38503566,47492.6,,nan,100,,1.49679e-10,2902,7056.38503566,0.4
179.340490223,303.352,0.00113244,179.340490223,2.17014e-06,50000,21934.3,1,1.96120289197,83.4848,1.26584,179.340490223,660.55,19.53125,nan,7999.5254321,53481.0,5.37871e-18,nan,100,9.22118e-24,2.45372e-10,2560,7999.5254321,0.4
201.380069775,311.042,0.00142122,201.380069775,2.43238e-06,50000,12266.3,1,2.99269202907,107.295,1.3117,201.380069775,766.415,21.8914185639,nan,7513.44628841,56351.4,1.2916e-33,nan,100,2.39512e-39,3.68958e-10,2284,7513.44628841,0.4
