eRenyi2,VarRet,VanillaAvgRet,EpsThisIter,AvgRet,AvgEpLen,ESSRenyi,MinVanillaIw,MaxVanillaIw,AvgVanillaIw,BatchSize,Bound,IterType,AvgDiscRet,AvgNormIw,J,Delta,VarDiscRet,VarJ,VarVanillaIw,MaxNormIw,MinNormIw,VarNormIw,ESSClassic
1.6476,85.479104066,-5.14520982434,100,-5.14520982434,500.0,60.6944334909,0.0167351,40.0911,8.99705,100,5.76051,1,-5.14520982434,0.01,7.98377,0.6,85.479104066,0.701711,275.463,0.0445603,1.86007e-05,0.0003403,22.8886945625
2.01441,85.479104066,-5.14520982434,100,-5.14520982434,500.0,99.2848881552,0.0249432,59.7545,9.81134,200,-3.30619,,-0.84830404142,0.01,-1.23587,0.6,68.6230447698,14.6688,346.751,0.0609035,2.54228e-05,0.000360215,21.9004030614
1.93928,148.453307245,-6.82180592305,100,-6.82180592305,500.0,103.131063528,0.0277523,1022.4,51.6122,200,15.6261,1,-6.82180592305,0.005,17.7049,0.6,148.453307245,0.927783,49850.8,0.0990463,2.68854e-06,0.00046785,10.1934471533
1.0,417.252441002,-1.52248731333,100,-1.52248731333,500.0,200.0,1.0,1.0,1.0,200,-6.17058,2,-1.52248731333,0.01,-1.52249,0.6,417.252441002,20.3244,,0.01,0.01,3.50449e-18,100.0
1.84457,148.453307245,-6.82180592305,100,-6.82180592305,500.0,162.639401445,0.000978091,36.0331,4.68545,300,-17.4547,,-6.74489681336,0.005,-12.9909,0.6,197.565967994,13.5291,70.8737,0.0384522,1.04375e-06,8.07093e-05,47.4807839227
2.27456,363.60068486,1.09962608198,100,1.09962608198,500.0,131.893863638,0.00857176,1022.47,34.6959,300,14.9665,1,1.09962608198,0.00333333,17.7293,0.6,363.60068486,1.0014,33758.0,0.0982319,8.23514e-07,0.000311587,10.3629317111
1.0,160.816944482,1.71227676012,100,1.71227676012,500.0,300.0,1.0,1.0,1.0,300,-0.149337,2,1.71227676012,0.01,1.71228,0.6,160.816944482,12.6178,,0.01,0.01,3.50449e-18,100.0
1.0,388.882013531,0.211547524769,100,0.211547524769,500.0,300.0,1.0,1.0,1.0,300,-1.90721,2,0.211547524769,0.005,0.961912,0.6,388.882013531,16.5125,,0.005,0.005,2.1793e-19,200.000000102
2.47849,363.60068486,1.09962608198,100,1.09962608198,500.0,161.388300523,0.000978021,116.662,8.16251,400,-9.16337,,-3.84140915995,0.00333333,-5.47531,0.6,89.2066551869,19.1224,507.219,0.0476414,3.99395e-07,8.45874e-05,34.9345122694
2.30216,51.7204381988,-2.56319410037,100,-2.56319410037,500.0,173.749903816,0.00554897,1156.54,29.5133,400,15.2117,1,-2.56319410037,0.0025,17.6188,0.6,51.7204381988,1.83734,32650.7,0.0979674,4.7004e-07,0.000234281,10.419061924
1.0,201.087847697,1.44618823449,100,1.44618823449,500.0,400.0,1.0,1.0,1.0,400,-1.45654,2,1.44618823449,0.01,1.44619,0.6,201.087847697,14.1095,,0.01,0.01,3.50449e-18,100.0
1.0,100.619156875,2.03258118831,100,2.03258118831,500.0,400.0,1.0,1.0,1.0,400,-0.313157,2,2.03258118831,0.005,1.73938,0.6,100.619156875,12.2242,,0.005,0.005,2.1793e-19,200.000000102
1.0,216.301119267,2.12110506913,100,2.12110506913,500.0,400.0,1.0,1.0,1.0,400,0.114312,2,2.12110506913,0.00333333,1.86662,0.6,216.301119267,13.0779,,0.00333333,0.00333333,5.43914e-20,299.999969474
3.02642,51.7204381988,-2.56319410037,100,-2.56319410037,500.0,165.211943209,0.00086465,180.214,9.14859,500,-3.29778,,-5.2681134291,0.0025,-0.657759,0.6,74.4316393131,12.8569,937.671,0.0492462,2.36279e-07,7.002e-05,32.8536634729
3.10928,41.2602706965,-4.54870537809,100,-4.54870537809,500.0,160.809026246,0.00178361,2094.05,42.6296,500,15.1556,1,-4.54870537809,0.002,17.6577,0.6,41.2602706965,1.77748,86057.1,0.098244,8.36795e-08,0.000189419,10.3605393571
1.0,71.5001323311,-1.69187590491,100,-1.69187590491,500.0,500.0,1.0,1.0,1.0,500,-2.86792,2,-1.69187590491,0.01,-1.69188,0.6,71.5001323311,8.41339,,0.01,0.01,3.50449e-18,100.0
1.0,133.899435217,-3.18537816786,100,-3.18537816786,500.0,500.0,1.0,1.0,1.0,500,-3.74295,2,-3.18537816786,0.005,-2.43863,0.6,133.899435217,10.1109,,0.005,0.005,2.1793e-19,200.000000102
1.0,36.9085649181,-0.482488086054,100,-0.482488086054,500.0,500.0,1.0,1.0,1.0,500,-2.85155,2,-0.482488086054,0.00333333,-1.78658,0.6,36.9085649181,9.0102,,0.00333333,0.00333333,5.43914e-20,299.999969474
1.0,68.8634024432,1.5533585206,100,1.5533585206,500.0,500.0,1.0,1.0,1.0,500,-1.87389,2,1.5533585206,0.0025,-0.951596,0.6,68.8634024432,8.94556,,0.0025,0.0025,5.4346e-20,400.0
4.54403,95.1170241099,-1.37851584851,100,-1.37851584851,500.0,110.034491765,0.0643707,2019.45,49.3131,500,13.248,1,-1.37851584851,0.002,15.0064,0.6,95.1170241099,1.15131,95637.8,0.0819033,2.61069e-06,0.000157313,12.4224834361
1.0,25.4176251982,-1.32873240397,100,-1.32873240397,500.0,500.0,1.0,1.0,1.0,500,-2.37096,2,-1.32873240397,0.01,-1.32873,0.6,25.4176251982,5.01632,,0.01,0.01,3.50449e-18,100.0
1.0,274.549446792,5.00301908854,100,5.00301908854,500.0,500.0,1.0,1.0,1.0,500,-0.313493,2,5.00301908854,0.005,1.83714,0.6,274.549446792,12.5899,,0.005,0.005,2.1793e-19,200.000000102
1.0,71.3795638372,-0.974080413703,100,-0.974080413703,500.0,500.0,1.0,1.0,1.0,500,-0.855919,2,-0.974080413703,0.00333333,0.900069,0.6,71.3795638372,11.4448,,0.00333333,0.00333333,5.43914e-20,299.999969474
1.0,34.1840591644,-0.950143476151,100,-0.950143476151,500.0,500.0,1.0,1.0,1.0,500,-1.08321,2,-0.950143476151,0.0025,0.437516,0.6,34.1840591644,10.3605,,0.0025,0.0025,5.4346e-20,400.0
8.27744,32.2939876555,-5.37137669349,100,-5.37137669349,500.0,60.4051628183,0.00167957,958.971,19.4255,500,32.8866,1,-5.37137669349,0.002,36.7999,0.6,32.2939876555,3.22382,18051.4,0.0987334,1.72925e-07,0.00019135,10.2581450297
