AvgNormIw,renyi2,VanillaAvgRet,MaxNormIw,VarJ,AvgDiscRet,IterType,AvgEpLen,BatchSize,J,ESSClassic,EpsThisIter,ESSRenyi,VarNormIw,MaxVanillaIw,AvgVanillaIw,delta,Bound,VarRet,MinVanillaIw,SamplesThisIter,MinNormIw,AvgRet,VarVanillaIw,VarDiscRet
6.6469926e-07,nan,49.792065109816946,0.495177,28943.055,49.792065109816946,1,5.982292414453219,100,29039.467,1.9999748842584224,8358,nan,3.259734e-07,725623700.0,974.03845,0.4,232.63748,3707.9092547294586,,50000,,49.792065109816946,699977560000.0,3707.9092547294586
6.6837805e-07,nan,50.12270027142887,0.25206,23946.385,50.12270027142887,1,6.015399422521655,100,19447.15,2.7074616153018503,8312,nan,8.8902276e-08,1502030.1,3.982875,0.4,183.31267,3441.246386484439,2.8604438e-13,50000,4.8001927e-20,50.12270027142887,3156910.8,3441.246386484439
6.590214e-07,nan,49.28193056986821,0.45606154,14014.404,49.28193056986821,1,5.931198102016608,100,17409.746,1.9874436884601143,8430,nan,2.7587424e-07,4311909400.0,6230.833,0.4,146.0039,3901.7739416207955,,50000,,49.28193056986821,24660590000000.0,3901.7739416207955
6.523666e-07,nan,48.683134874735096,0.0006880964,20269.07,48.683134874735096,1,5.871301080319399,100,10785.134,38.42927566859821,8516,nan,1.2363692e-12,1063.4773,1.008256,0.4,107.049545,3634.5697901878175,0.00032647385,50000,2.1123674e-10,48.683134874735096,2.9532893,3634.5697901878175
6.6966686e-07,nan,50.237294771471106,0.47409758,27416.324,50.237294771471106,1,6.0270009643201545,100,39745.926,1.9962095388556533,8296,nan,3.0161118e-07,219005670000000.0,309347330.0,0.4,269.21735,3701.4051617001837,,50000,,50.237294771471106,6.4360983e+22,3701.4051617001837
6.5777357e-07,nan,49.16928542753602,0.49962083,42974.96,49.16928542753602,1,5.919962112242482,100,34968.46,1.999998785674713,8446,nan,3.283879e-07,2555509300000000.0,3364444400.0,0.4,249.81897,3863.6886444749557,,50000,,49.16928542753602,8.5913405e+24,3863.6886444749557
6.1976294e-07,nan,45.74951048940723,0.45305234,29589.947,45.74951048940723,1,5.577867023650156,100,18940.959,1.9943027200357935,8964,nan,2.552205e-07,26283644.0,35.95529,0.4,142.10092,3092.77725454157,1.6163137e-23,50000,2.7860472e-31,45.74951048940723,858993600.0,3092.77725454157
6.488619e-07,nan,48.36747749088997,0.49990496,21980.533,48.36747749088997,1,5.83975706610605,100,16895.727,1.999999931670102,8562,nan,3.2430705e-07,230777210000.0,299542.0,0.4,147.64828,3708.7191359942794,,50000,,48.36747749088997,6.911421e+16,3708.7191359942794
6.5344096e-07,nan,48.7800742586888,0.2729875,42410.02,48.7800742586888,1,5.8809691837214775,100,95640.234,1.6146199382209445,8502,nan,1.2063653e-07,1573803000000000.0,3767159300.0,0.4,395.932,5609.934115185215,,50000,,48.7800742586888,4.0095347e+24,5609.934115185215
6.308827e-07,nan,46.75099484653619,0.14231573,39604.16,46.75099484653619,1,5.677946854417443,100,22306.459,2.0601757200805415,8806,nan,5.014434e-08,909836.1,4.0332866,0.4,347.47192,4808.931947817213,,50000,,46.75099484653619,2049473.5,4808.931947817213
6.3725116e-07,nan,47.32110503598494,0.37123445,31054.295,47.32110503598494,1,5.735260380821289,100,26933.062,1.8859348739464126,8718,nan,1.8626844e-07,7739164000000.0,13284843.0,0.4,307.82928,4402.653495863993,,50000,,47.32110503598494,8.095262e+19,4402.653495863993
6.36959e-07,nan,47.29744283777854,0.4996348,50441.65,47.29744283777854,1,5.732630130703967,100,60764.594,1.9999994940032562,8722,nan,3.1801392e-07,1.7867241e+16,22778034000.0,0.4,596.41003,5331.452190274196,,50000,,47.29744283777854,4.066828e+26,5331.452190274196
6.327512e-07,nan,46.918478821601376,0.23787479,34521.477,46.918478821601376,1,5.694760820045558,100,97017.68,1.5653451349977665,8780,nan,9.149064e-08,2.4963978e+16,66404630000.0,0.4,294.985,4996.645143295826,,50000,,46.918478821601376,1.0076446e+27,4996.645143295826
6.301673e-07,nan,46.68610211466994,0.2893493,21519.492,46.68610211466994,1,5.671506352087114,100,18501.12,2.0271260392524133,8816,nan,1.1705145e-07,2476788.0,5.394141,0.4,214.75708,4557.051401474736,6.577408e-29,50000,7.684018e-36,46.68610211466994,8576491.0,4557.051401474736
6.62954e-07,nan,49.63576938584103,0.2226187,43224.3,49.63576938584103,1,5.966587112171838,100,34968.79,3.9800538562846883,8380,nan,1.2299255e-07,142391890.0,424.04025,0.4,351.21735,5417.908963100466,,50000,,49.63576938584103,50318316000.0,5417.908963100466
7.0163617e-07,nan,53.11469453643095,0.30308473,32410.988,53.11469453643095,1,6.314725940894165,100,130700.875,1.523664321060205,7918,nan,1.6920374e-07,4.4003802e+18,10186809000000.0,0.4,283.98364,5887.573544007371,,50000,,53.11469453643095,3.5666556e+31,5887.573544007371
6.7999457e-07,nan,51.168490291364684,0.49999586,41322.023,51.168490291364684,1,6.119951040391677,100,88888.516,2.000000008756612,8170,nan,3.3999103e-07,2.948916e+18,4010527000000.0,0.4,322.73047,6196.5887579598375,,50000,,51.168490291364684,1.1826586e+31,6196.5887579598375
7.027012e-07,nan,53.211398758993965,0.19621983,40796.6,53.211398758993965,1,6.324310650139135,100,285459.16,1.0350785462876229,7906,nan,1.0455421e-07,9.0708357e+18,32484417000000.0,0.4,577.3262,10417.894626437299,,50000,,53.211398758993965,2.234342e+32,10417.894626437299
6.6773407e-07,nan,50.06495116267861,0.49991333,53119.105,50.06495116267861,1,6.009615384615385,100,31199.045,2.000000415823314,8320,nan,3.337513e-07,54631944000.0,72971.98,0.4,429.68182,4919.957023929087,,50000,,50.06495116267861,3985903300000000.0,4919.957023929087
7.050196e-07,nan,53.416892785797764,0.48598856,29345.285,53.416892785797764,1,6.345177664974619,100,23254.781,1.9991377691267196,7880,nan,3.3318e-07,186776900.0,270.95575,0.4,347.9118,5972.490760815928,,50000,,53.416892785797764,49212244000.0,5972.490760815928
7.907137e-07,nan,61.12385853654588,0.00020627098,21322.477,61.12385853654588,1,7.116424708226587,100,13901.287,40.20537393822221,7026,nan,5.329744e-13,261.80807,1.0036083,0.4,90.99072,8738.587368889775,0.0012438775,50000,9.80015e-10,61.12385853654588,0.8586106,8738.587368889775
8.7599426e-07,nan,68.7981476755799,0.4915059,38756.15,68.7981476755799,1,7.883948281299275,100,36019.94,1.999543276217948,6342,nan,4.2333755e-07,124221720000.0,221396.16,0.4,211.2716,8521.30745649368,,50000,,68.7981476755799,2.7041103e+16,8521.30745649368
9.4934194e-07,nan,75.39237407394711,0.24017265,74055.31,75.39237407394711,1,8.544087491455912,100,68359.29,1.623301415975618,5852,nan,1.7392287e-07,19377195000.0,76593.26,0.4,549.605,12836.255960545623,,50000,,75.39237407394711,1132118600000000.0,12836.255960545623
1.2351169e-06,nan,101.10748795319803,0.16429088,79359.49,101.10748795319803,1,11.116051578479324,100,250831.45,1.1919051935949483,4498,nan,1.1187874e-07,2.6586502e+17,1998737600000.0,0.4,669.76416,29247.704362136003,,50000,,101.10748795319803,2.9298351e+29,29247.704362136003
1.2183239e-06,nan,99.59028460616092,0.49401718,74663.63,99.59028460616092,1,10.964912280701755,100,49349.684,2.0002098117199703,4560,nan,5.946701e-07,39333268.0,97.00199,0.4,444.2976,17042.250504224256,1.07251874e-10,50000,1.3470599e-18,99.59028460616092,3769748200.0,17042.250504224256
1.3902795e-06,nan,115.0595361750694,0.4527903,80619.48,115.0595361750694,1,12.512512512512513,100,113336.58,2.0000377019795716,3996,nan,5.730833e-07,95566770.0,293.43494,0.4,813.4219,25774.825766154758,,50000,,115.0595361750694,25529184000.0,25774.825766154758
1.6311083e-06,nan,136.7232425862253,0.49999967,143908.34,136.7232425862253,1,14.67997651203758,100,269308.62,2.0000000983651707,3406,nan,8.155515e-07,7.659677e+17,2498754500000.0,0.4,1300.6333,41991.946567620194,,50000,,136.7232425862253,1.9139608e+30,41991.946567620194
1.9236688e-06,nan,163.0442545614322,0.47867647,131637.23,163.0442545614322,1,17.31301939058172,100,259736.19,1.9970181775997622,2888,nan,8.8285896e-07,2.6697687e+17,1072906500000.0,0.4,918.3093,46873.492613525326,,50000,,163.0442545614322,2.746342e+29,46873.492613525326
2.1803592e-06,nan,186.13381473527224,0.4487315,97047.58,186.13381473527224,1,19.623233908948194,100,175430.77,1.9905500341887892,2548,nan,8.822502e-07,237843780.0,1155.6685,0.4,981.8924,56540.593097562174,,50000,,186.13381473527224,247857600000.0,56540.593097562174
2.7286615e-06,nan,235.45934194107068,0.47100177,94970.016,235.45934194107068,1,24.557956777996072,100,278037.53,1.9953671215465583,2036,nan,1.2134739e-06,5274745000.0,30558.26,0.4,1040.6876,87596.48198449897,,50000,,235.45934194107068,152190770000000.0,87596.48198449897
