Bound,InitialReturnMean,TimeElapsed,MinD2w0t,Weights,TimestepsSoFar,MeanIW,Iteration,InitialReturnStd,MeanEntropy,ReturnStepMax,StdIW,J_sample_variance,EpRewMean,EpLenMean,InitialReturnMin,ReturnStepMaxmin,InitialBound,MinIW,EpisodesSoFar,StdD2w0t,MeanD2w0t,MaxD2w0t,ReturnMeanIW,InitialReturnMax,EmpiricalD2,EntropyCoefficient,MaxIW,EpThisIter
646.0619,-1.2207031e-06,7.518282890319824,,[-0.563 -1.093 -0.809 -1.04   0.   ],3540,3.7065175,1,12.600159,1.3388374,100.0,23.835686,11021842.0,-107.5568281044892,35.4,-16.716774,92.924065,236.8068,2.7184382e-07,100,281.6615,20.79613,20114.11,632.6735,33.927227,2324.4812,10.0,328.03253,100
5810.5947,-5.340576e-07,21.53041434288025,,[-0.632 -1.06  -0.845 -0.897 -0.08 ],7204,36.591347,2,14.127822,1.2227855,100.0,370.1295,3226386000.0,-107.14052357077749,36.64,-17.282448,93.151726,225.61298,3.2908475e-11,200,204467780.0,11015456.0,8540992500.0,5798.3667,72.11878,252037330.0,10.0,3903.8486,100
233.07178,-1.8692017e-06,37.21351647377014,,[-0.794 -1.06  -0.774 -0.994 -0.196],11292,1.2694494,3,16.376072,1.1103859,100.0,2.5523365,148190.1,-105.27225588959567,40.88,-21.311188,93.8497,193.90828,0.0042857802,300,2.0924582,0.44989648,39.01778,221.96793,59.134422,10.060734,10.0,31.390785,100
272.61633,-3.8146973e-07,50.19432735443115,,[-0.836 -1.073 -0.827 -0.958 -0.308],15444,1.4763887,4,15.560244,1.3023444,100.0,7.1896086,1108434.6,-105.74050272588603,41.52,-22.447464,93.906525,190.0604,0.0008831969,400,46740.316,1678.9193,4638277.0,259.5929,42.24158,221234.69,10.0,168.26141,100
407.29816,-6.5994263e-06,63.044530630111694,,[-0.923 -1.106 -0.847 -0.967 -0.117],19600,2.62829,5,13.097368,1.3076187,100.0,18.329887,4954645.0,-108.70800387418397,41.56,-20.196007,93.76863,197.04224,7.9484154e-05,500,910.92224,110.65554,22305.457,394.222,43.75579,2471.6409,10.0,296.38095,100
832.78015,8.163453e-06,76.9563319683075,,[-0.914 -1.189 -0.802 -1.081 -0.111],24061,7.47386,6,14.506864,1.5035009,100.0,60.55625,34823190.0,-105.7624217383981,44.61,-21.109772,94.258354,176.70428,4.317038e-05,600,373592330000.0,4389329000.0,53861310000000.0,817.7451,37.09517,540045080000.0,10.0,770.4469,100
938.79083,-7.6293946e-07,90.50632190704346,,[-0.841 -1.064 -0.655 -1.07   0.085],28338,6.9445624,7,14.367095,1.2656251,100.0,59.003235,49897250.0,-106.08106608384874,42.77,-21.07325,94.03947,188.10986,4.8244503e-10,700,2997.1406,205.1336,183636.8,926.1346,47.717922,13223.89,10.0,710.5478,100
228.19783,3.2043456e-06,104.83636045455933,,[-0.943 -1.122 -0.794 -1.    -0.153],32469,1.2173514,8,12.971834,1.1601218,100.0,3.8231246,345224.44,-106.66708496464881,41.31,-20.170677,93.83577,194.71797,4.177606e-05,800,15.6431055,2.360832,370.9903,216.59662,29.391563,59.593056,10.0,41.935097,100
310.36966,-3.6621093e-06,117.72733545303345,,[-0.974 -1.152 -0.781 -1.077 -0.259],36763,2.3308985,9,14.07638,1.232039,100.0,15.071397,1777852.1,-105.02871799696835,42.94,-22.468765,94.10812,182.34286,0.00095272623,900,330.3292,12.337315,34036.03,298.04926,34.159843,2024.9714,10.0,159.64359,100
20455.307,-3.8146972e-08,132.40505528450012,,[-1.023 -1.2   -0.759 -1.064 -0.187],41382,209.4251,10,13.592036,1.1719012,100.0,2175.232,41414970000.0,-105.39084458813119,46.19,-21.1372,94.43664,168.67265,1.8282984e-08,1000,7401852.5,174271.88,683844200.0,20443.588,29.083282,14199372.0,10.0,33398.156,100
279.36935,-1.5258789e-07,148.51458168029785,,[-1.115 -1.45  -0.913 -1.137 -0.247],46261,2.2577877,11,13.559783,1.2568061,100.0,12.19764,1176892.0,-104.40503871947806,48.79,-22.288086,94.72023,156.45407,2.6197049e-05,1100,80346.164,1600.0612,12743462.0,266.8013,31.002945,430662.62,10.0,180.13911,100
903.4595,1.8310546e-06,161.86994862556458,,[-0.989 -1.479 -0.887 -1.241 -0.162],50724,8.67199,12,15.353423,1.3208344,100.0,87.65908,68144450.0,-103.6318976159445,44.63,-22.00325,94.35596,173.04605,2.6202505e-08,1200,133864950.0,2033573.5,17992660000.0,890.2511,34.052193,696015740.0,10.0,1374.3513,100
981.8792,3.0517577e-07,177.34019136428833,,[-1.044 -1.561 -0.858 -1.202 -0.098],55902,11.093542,13,14.997066,1.3633089,100.0,114.18164,84191940.0,-104.65223826200152,51.78,-23.727753,94.95781,147.503,2.7651406e-08,1300,9602978000.0,227112500.0,1137555700000.0,968.2461,40.836777,42909233000.0,10.0,3641.415,100
180.05942,-4.3869018e-06,194.29910564422607,,[-0.964 -1.559 -0.796 -1.07  -0.056],61508,1.4524622,14,12.24451,1.3458202,100.0,3.2904863,85943.9,-106.98894583304376,56.06,-21.204872,95.18306,137.66089,0.0024371864,1400,4.6725616,0.84216315,205.03665,166.60121,31.409409,29.307964,10.0,44.14402,100
189.8677,-3.852844e-06,209.4869179725647,,[-0.941 -1.512 -0.724 -1.008 -0.073],67352,1.7176794,15,11.353491,1.4078356,100.0,3.5236945,88901.516,-107.48924329134422,58.44,-26.053833,95.32138,131.74664,0.0073036877,1500,19.104736,1.8519714,1653.2804,175.78935,32.864643,62.818413,10.0,28.184954,100
