EpLenMean,EpisodesSoFar,Weights,InitialReturnMax,TimestepsSoFar,ESSClassic,MaxIWNorm,InitialBound,StdIWNorm,EntropyCoefficient,EpRewMean,Iteration,MinIW,ReturnStepMax,ESSRenyi,InitialReturnMin,ReturnMeanIW,MeanIW,MinIWNorm,InitialReturnMean,ReturnStepMaxmin,EpThisIter,MeanIWNorm,TimeElapsed,MaxIW,EmpiricalD2,MeanEntropy,Bound,InitialReturnStd,J_sample_variance,StdIW
46.09,100,[ 0.579 -0.554  0.227  0.402  0.   ],6.4169464,4609,100.0,0.01,14.189452,9.313226e-10,10.0,-141.8229098366061,1,1.0,100.0,100.0,-2.4639435,-3.6880374e-07,1.0,0.01,-3.8146973e-07,93.845825,100,0.009999999,9.983226537704468,1.0,1.0,1.4189452,14.189452,2.1648557,4.7339396,
41.64,200,[ 0.579 -0.554  0.227  0.402  0.   ],6.886917,8773,nan,,14.189447,,10.0,-137.96452119475606,2,,100.0,nan,-2.003067,,,,-4.5013426e-06,93.37346,100,,20.861427545547485,,nan,11.609541,116.09541,1.6571448,,
57.22,300,[ 0.753  0.52   3.358 -2.564 10.191],29.57029,14495,100.0,0.01,116.095406,9.313226e-10,10.0,-140.30648431385947,3,1.0,100.0,100.0,-9.603806,-8.717179e-06,1.0,0.01,-8.621216e-06,94.429214,100,0.009999999,34.97634720802307,1.0,1.0,11.609541,116.095406,8.5475025,73.79778,
54.26,400,[ 0.753  0.52   3.358 -2.564 10.191],16.542961,19921,100.0,0.01,116.09542,9.313226e-10,10.0,-141.392385905506,4,1.0,100.0,100.0,-7.2651596,5.9865415e-06,1.0,0.01,5.9509275e-06,94.00084,100,0.009999999,46.73750114440918,1.0,1.0,11.609541,116.09542,6.2065372,38.910206,
52.14,500,[ 0.753  0.52   3.358 -2.564 10.191],36.25193,25135,59.655,0.04998889,116.09542,0.007864886,10.0,-138.34994720825705,5,0.12340776,100.0,43.988712,-8.243988,-0.3559353,0.9563591,0.0012340776,5.8746336e-06,93.99997,100,0.009563591,59.47522974014282,4.998889,2.2733104,11.684693,116.491,6.8941016,61.39157,0.78648865
53.08,600,[ 0.753  0.52   3.358 -2.564 10.266],22.979652,30443,100.0,0.01,116.84693,9.313226e-10,10.0,-140.00661351905947,6,1.0,100.0,100.0,-7.339714,-2.272427e-06,1.0,0.01,-2.2888185e-06,94.17566,100,0.009999999,72.07817673683167,1.0,1.0,11.684693,116.84693,6.5518746,43.36067,
57.39,700,[ 0.753  0.52   3.358 -2.564 10.266],48.411434,36182,19.099142,0.1718256,116.84693,0.02865793,10.0,-142.01581944021464,7,0.0048068548,100.0,0.015078962,-8.453636,4.469142,1.3924359,4.8068545e-05,-2.4032593e-06,94.067726,100,0.013924357,85.39450454711914,17.18256,6631.7563,11.835775,122.8269,7.8923664,3411.4988,2.8657932
59.02,800,[ 0.753  0.52   3.358 -2.564 10.416],30.83995,42084,91.27759,0.018264933,118.35775,0.003094866,10.0,-141.7544651556428,8,0.41221333,100.0,88.75047,-10.494354,0.49675083,1.0011649,0.0041221334,-6.3323973e-06,94.357864,100,0.010011649,99.47799968719482,1.8264934,1.1267545,11.803871,118.53546,8.979096,105.11247,0.30948657
59.47,900,[ 0.753  0.52   3.358 -2.564 10.384],34.493553,48031,57.903835,0.07997204,118.038704,0.009006976,10.0,-142.6740335979726,9,0.18971011,100.0,57.56876,-9.065315,0.07828565,1.0563589,0.001897101,-6.4468386e-06,94.40345,100,0.01056359,111.35932207107544,7.9972043,1.7370533,11.862655,118.704834,8.775227,75.95031,0.9006977
55.2,1000,[ 0.753  0.52   3.358 -2.564 10.444],24.046577,53551,59.01902,0.04737369,118.62655,0.0067977286,10.0,-139.98300638864114,10,0.06648353,100.0,19.03247,-9.292114,-0.603722,0.81577194,0.0006648353,-2.670288e-06,94.215,100,0.008157719,123.25751113891602,4.737369,5.2541785,11.953124,118.92752,7.99623,71.36238,0.6797729
56.89,1100,[ 0.753  0.52   3.358 -2.564 10.534],31.848904,59240,55.111023,0.049649894,119.531235,0.008360465,10.0,-141.31116061464482,11,0.071441524,100.0,20.359152,-8.685524,0.9333878,0.92635995,0.0007144152,-8.163453e-06,94.2685,100,0.009263598,136.63401079177856,4.9649897,4.911796,12.042261,121.355995,8.616165,258.28958,0.8360466
56.02,1200,[ 0.753  0.52   3.358 -2.564 10.623],28.844791,64842,6.8381267,0.37349388,120.422615,0.040020887,10.0,-140.78837720803386,12,0.00010023181,100.0,2.441927e-07,-8.544357,6.5698977,1.084267,1.0023181e-06,1.0528564e-05,94.29444,100,0.01084267,150.9557807445526,37.34939,409512640.0,12.22652,128.8351,7.6878433,8294.284,4.002089
48.96,1300,[ 0.753  0.52   3.358 -2.564 10.807],32.278187,69738,73.94899,0.05640603,122.265205,0.005781348,10.0,-135.00141998618156,13,0.3712548,100.0,86.14763,-8.261337,-0.082445525,0.9740536,0.003712548,9.269715e-06,93.48563,100,0.009740536,161.790132522583,5.640603,1.1607981,12.26307,122.548256,6.359032,48.92115,0.57813483
53.26,1400,[ 0.753  0.52   3.358 -2.564 10.844],25.114174,75064,100.0,0.01,122.6307,9.313226e-10,10.0,-139.83946295003773,14,1.0,100.0,100.0,-8.161339,-1.296401e-06,1.0,0.01,-1.2969971e-06,94.11636,100,0.009999999,174.47880673408508,1.0,1.0,12.26307,122.6307,6.7053466,45.415833,
58.06,1500,[ 0.753  0.52   3.358 -2.564 10.844],38.932884,80870,58.349937,0.06949026,122.6307,0.008598775,10.0,-141.49188525753098,15,0.089474626,100.0,36.267025,-9.804848,-0.0011676177,1.0177684,0.0008947462,2.5558472e-06,94.436455,100,0.010177684,187.56103324890137,6.949026,2.7573256,12.340442,123.40325,8.576829,96.875465,0.8598775
54.31,1600,[ 0.753  0.52   3.358 -2.564 10.921],28.38974,86301,62.582798,0.04974592,123.40443,0.00798227,10.0,-138.2799348428741,16,0.10663523,100.0,36.79933,-8.8811035,-0.18362966,1.0323292,0.0010663522,6.1798096e-06,94.23711,100,0.010323292,199.01941061019897,4.974592,2.7174406,12.418579,124.00216,7.7518125,104.897415,0.798227
