EpRewMean,InitialReturnStd,MinD2w0t,InitialBound,EpThisIter,MeanEntropy,ReturnStepMax,MeanD2w0t,ReturnStepMaxmin,InitialReturnMin,MeanIW,Iteration,Bound,InitialReturnMean,J_sample_variance,TimeElapsed,InitialReturnMax,ReturnMeanIW,MaxIW,TimestepsSoFar,EpisodesSoFar,StdIW,EpLenMean,EmpiricalD2,Weights,StdD2w0t,MinIW,MaxD2w0t
-108.67197648780628,3.275067,,525.65454,100,1.3413253,100.0,0.11653773,86.90667,-4.7708664,1.3515253,1,692.88257,3.7384034e-06,1434271.0,4.202063798904419,9.20005,692.88257,22.516647,1745,100,2.506186,17.45,5.3659267,[-0.689  0.919 -0.673  0.288  0.   ],0.9082279,0.0032747702,39.868904
-108.79139522546413,2.8114803,,534.6533,100,1.2696332,100.0,263.88007,86.75459,-4.171852,3.0381432,2,1496.1517,-8.621216e-06,69634430.0,12.111515998840332,10.943459,1496.1517,166.99706,3466,200,18.012444,17.21,89607.94,[-0.622  0.988 -0.57   0.189 -0.078],38729.156,8.247619e-07,8163831.0
-108.65508890022991,2.7635803,,540.82434,100,1.0582548,100.0,6.4523664,86.60904,-4.1198425,4.238955,3,2113.4214,-2.9754638e-06,149845230.0,21.69165563583374,7.577011,2113.4214,236.43616,5168,300,25.250475,17.02,1170.1115,[-0.676  0.826 -0.555  0.113 -0.149],154.64656,8.673446e-09,14295.654
-108.0617689822402,3.1235845,,544.4931,100,1.0688472,100.0,0.03971394,86.530876,-4.689453,1.0583692,4,575.6549,2.5177003e-06,61956.465,31.662273406982422,10.690422,575.6549,4.3458495,6852,400,0.48747808,16.84,1.3289733,[-0.79   0.742 -0.606  0.228 -0.361],0.21660073,0.23316364,2.889649
-107.66377016589135,2.857246,,564.65845,100,1.0357989,100.0,0.17070045,86.12678,-4.2978287,1.1927794,5,661.65717,4.5776366e-07,2648662.5,38.602811336517334,10.163002,661.65717,26.442377,8478,500,3.2192433,16.26,21.52073,[-0.8    0.729 -0.614  0.195 -0.35 ],1.5155833,0.0028165947,44.26159
-108.47642110789302,2.9973235,,568.9111,100,1.0118392,100.0,31.096,86.008766,-3.6764145,3.5298069,6,1782.6627,5.264282e-06,204424160.0,46.82414221763611,13.74263,1782.6627,303.78726,10104,600,29.722382,16.26,10086.829,[-0.743  0.738 -0.662  0.178 -0.383],869.16156,3.2730372e-06,94403.7
-108.36937995857835,2.896399,,555.4438,100,0.97851306,100.0,0.08364755,86.283745,-3.785675,1.2382002,7,673.7701,1.4495849e-06,448785.4,56.3122398853302,8.171577,673.7701,7.2136564,11763,700,1.3101553,16.59,4.804465,[-0.711  0.802 -0.728  0.181 -0.407],0.6646941,0.002929524,33.16626
-107.82166229241753,3.0443468,,556.8821,100,0.9814531,100.0,0.03519082,86.28081,-4.611145,1.0612724,8,587.5506,1.04522705e-05,35793.355,64.09312987327576,8.470879,587.5506,3.1238375,13411,800,0.370698,16.48,1.1825149,[-0.75   0.729 -0.777  0.113 -0.44 ],0.19115272,0.4116532,1.5950775
-108.07198608984092,2.9446204,,562.8241,100,0.64771974,100.0,1704525.0,86.15545,-4.6524734,11.368385,9,5750.7344,-6.942749e-06,3099413500.0,72.26182532310486,9.593658,5750.7344,1147.2998,15047,900,112.55337,16.36,641226500.0,[-0.69   0.722 -0.775  0.123 -0.437],173252050.0,4.0554433e-20,35313220000.0
-108.16175839994322,2.5533514,,556.2958,100,0.5952655,100.0,1.4634814,86.29337,-3.8315125,1.6402565,10,835.96277,-1.6021728e-06,15533911.0,82.77314400672913,8.908173,835.96277,77.800575,16701,1000,8.639509,16.54,339.73294,[-0.621  0.902 -0.696  0.026 -0.771],46.734436,0.0002582569,5955.4463
