MinD2w0t,InitialBound,EmpiricalD2,MeanD2w0t,StdD2w0t,TimestepsSoFar,Iteration,InitialReturnStd,StdIW,InitialReturnMin,ReturnStepMax,ReturnStepMaxmin,EpRewMean,MaxIW,MaxD2w0t,Bound,InitialReturnMax,EpThisIter,InitialReturnMean,EpLenMean,MeanIW,Weights,EpisodesSoFar,ReturnMeanIW,MinIW,EntropyCoefficient,MeanEntropy,TimeElapsed,J_sample_variance
inf,222.73016,nan,nan,nan,4609,1,2.1648557,144.15561,-2.4639435,100.0,93.845825,-141.8229098366061,1473.895,-inf,2620.3696,6.4169464,100,-3.8146973e-07,46.09,14.359978,[ 0.579 -0.554  0.227  0.402  0.   ],100,2602.1672,7.2301483e-16,10.0,1.82023,9.877620935440063,652163260.0
,283.55783,2.1235978e+26,5.2409347e+23,inf,8238,2,1.4451481,14.726613,-1.8874207,100.0,92.69278,-132.58962286875058,409.9046,2.1236142e+28,545.39874,4.8998337,100,-9.002685e-06,36.29,2.025796,[ 0.617 -0.307  0.119  0.477  0.401],200,525.5255,1.3752082e-08,10.0,1.9873247,24.676759004592896,12064946.0
,270.52075,422.1041,13.04711,242.1472,12061,3,1.7950983,12.340815,-2.3103027,100.0,93.000305,-133.7991348978632,127.930565,22620.467,451.0727,6.308815,100,-8.392334e-07,38.23,2.0226488,[ 0.496 -0.462  0.285  0.327  0.568],300,431.27475,2.1484877e-05,10.0,1.9797955,37.66250777244568,4534938.0
,282.49408,42107.66,182.4797,9696.001,15650,4,3.9065032,43.032356,-3.8799515,100.0,92.35698,-129.36260560229343,565.87744,1758353.8,1021.92596,23.414124,100,5.9509275e-06,35.89,5.587768,[ 0.497 -0.388  0.259  0.027  0.561],400,1003.72546,6.0782956e-10,10.0,1.8200475,49.54326105117798,42124364.0
,174.62979,631778700.0,11671755.0,663669600.0,21722,5,3.603498,104.82863,-3.516693,100.0,94.91588,-154.35402725904217,5412.5605,63163585000.0,740.1421,13.980125,100,1.3046265e-05,60.72,5.5322576,[ 0.396 -0.64   0.193  0.143  0.401],500,722.59686,1.1537313e-06,10.0,1.7545227,65.72494554519653,31450448.0
,132.31476,1.9781383e+34,9.113736e+31,inf,29844,6,4.873658,153.6624,-6.2337112,100.0,95.81233,-170.06145117835786,1604.9087,1.9781206e+36,1252.9067,16.671211,100,2.5939942e-06,81.22,15.016199,[ 0.343 -0.711  0.091  0.013  0.336],600,1239.6411,,10.0,1.3265564,85.49461674690247,147514990.0
,180.91884,1.5494412e+27,8.353806e+24,inf,35585,7,2.2743027,238.21971,-2.5906525,100.0,94.66794,-153.05664471990423,2486.9075,1.5358915e+29,2975.837,8.621407,100,-6.4849855e-06,57.41,23.550203,[ 0.36  -0.765  0.186  0.288 -0.092],700,2961.1636,2.5871588e-10,10.0,1.4673426,104.17493605613708,816098800.0
,228.72716,4222139500000.0,21498542000.0,2237006600000.0,40058,8,2.4206762,14.493815,-2.867653,100.0,93.74147,-139.97208639261652,148.41295,421911000000000.0,500.25293,11.5879135,100,4.7302246e-06,44.73,2.6598463,[ 0.415 -0.772  0.287  0.081  0.048],800,484.77545,3.5682282e-09,10.0,1.5477486,119.69404172897339,5039832.5
,248.44376,6.357176,0.30137396,1.6232584,44185,9,2.189656,1.7324289,-2.2248535,100.0,93.350464,-137.21304002270443,12.003921,60.755363,278.4242,7.36541,100,-3.0517579e-06,41.27,1.1694366,[ 0.484 -0.886  0.386  0.312  0.129],900,264.03055,0.003250707,10.0,1.4393642,133.72322177886963,108630.59
,269.6288,9.6769874e+17,2184351900000000.0,inf,47962,10,1.7264425,24.832703,-2.0806503,100.0,92.89511,-134.17568560450545,392.19638,6.2309627e+19,628.1093,6.253723,100,8.850097e-06,37.77,2.7750273,[ 0.466 -0.836  0.391  0.415  0.02 ],1000,611.1109,8.15098e-05,10.0,1.6998409,146.11441564559937,23265234.0
