MeanIW,MaxD2w0t,MinIW,InitialReturnMax,MeanD2w0t,ReturnStepMaxmin,InitialBound,StdD2w0t,Bound,Iteration,EpisodesSoFar,MaxIW,MinD2w0t,StdIW,InitialReturnStd,EpThisIter,EpRewMean,Weights,TimestepsSoFar,EpLenMean,ReturnMeanIW,InitialReturnMean,EmpiricalD2,J_sample_variance,InitialReturnMin,ReturnStepMax,MeanEntropy,TimeElapsed
16.619808,232293.69,3.621393e-09,25.629276,123.75474,93.704056,181.81766,2600.9497,2336.5051,1,100,4810.1807,,169.2144,8.854463,100,-121.62483749719935,[-0.365 -0.68  -0.484 -0.253  0.   ],4573,45.73,2336.5051,1.2969971e-06,6995.5786,502682340.0,-16.882248,100.0,1.1605089,9.406612157821655
0.8242193,223330.53,1.8636055e-07,30.190628,106.35516,94.3653,155.96506,2246.8782,248.67825,2,200,1147.4684,,8.934508,10.0898485,100,-118.89629399313898,[-0.347 -0.701 -0.42  -0.341 -0.259],9635,50.62,248.67825,-2.4414062e-06,14265.626,2180460.5,-17.576828,100.0,1.075686,26.79385805130005
3.1117246,5913.5317,0.000101440004,22.15384,2.7495186,93.53482,199.1509,50.89503,492.6931,3,300,166.4116,,14.903683,8.0279665,100,-114.37052914666438,[-0.301 -0.557 -0.412 -0.339 -0.343],13699,40.64,492.6931,4.7683716e-06,479.76837,3762023.0,-14.613716,100.0,1.0271977,39.7185697555542
1.9482303,50743.773,2.196484e-05,21.288116,40.773853,93.77654,182.88799,700.9337,297.9326,4,400,141.96854,,12.392979,8.595331,100,-115.89286484965817,[-0.396 -0.617 -0.438 -0.299 -0.392],18087,43.88,297.9326,1.411438e-06,1733.093,2676516.2,-16.007072,100.0,0.9935221,52.708269119262695
52.506367,498794070000.0,1.9667766e-14,23.777336,402703970.0,93.87631,180.80367,9195495000.0,7154.621,5,500,7025.4336,,535.10443,7.6197705,100,-118.76677149386822,[-0.386 -0.643 -0.474 -0.234 -0.425],22602,45.15,7154.621,-4.8065185e-06,15237349000.0,5046229500.0,-16.079453,100.0,0.88333493,65.48527383804321
7.953985,5001139000.0,7.040435e-07,17.045967,194546.73,92.89885,231.76514,23642408.0,1604.1681,6,600,782.739,,67.92891,6.5430837,100,-118.69641292996086,[-0.278 -0.639 -0.524 -0.153 -0.536],26313,37.11,1604.1681,-7.5531007e-06,65310336.0,174911140.0,-12.38636,100.0,0.94615173,79.5133626461029
4.54181,1.5123177e+16,3.081803e-08,15.207184,1533405200000.0,91.703064,289.07324,100226795000000.0,1190.097,7,700,420.4135,,41.149323,5.3807826,100,-114.30951668533486,[-0.252 -0.587 -0.528 -0.227 -0.473],29327,30.14,1190.097,-4.5013426e-06,225323360000000.0,106452210.0,-9.610924,100.0,1.0082984,90.14353036880493
23.596775,11343150000000.0,1.0859164e-15,15.419754,945939260.0,92.257904,262.60944,63091050000.0,4511.5073,8,800,2509.8723,,240.83113,6.8043995,100,-112.59017607821079,[-0.355 -0.622 -0.569 -0.348 -0.411],32546,32.19,4511.5073,9.155273e-07,243138500000.0,1961021800.0,-12.977142,100.0,0.9052755,103.11287808418274
70.9987,134950230000.0,7.123533e-11,27.22332,14283548.0,93.554886,194.14052,811260100.0,9991.398,9,900,11641.953,,727.46063,8.253339,100,-116.88725388308805,[-0.278 -0.727 -0.483 -0.3   -0.514],36765,42.19,9991.398,-3.7002565e-06,2028848100.0,9845214000.0,-11.688438,100.0,0.79410833,119.02651190757751
37.064903,1.5301242e+20,1.2722605e-11,22.643318,5910518700000000.0,94.156525,170.00906,inf,3893.7617,10,1000,4084.7266,,383.9168,8.122061,100,-124.4688325338823,[-0.16  -0.639 -0.326 -0.226 -0.625],41665,49.0,3893.7617,7.3242186e-06,1.9801351e+18,1469455100.0,-13.257843,100.0,0.9003901,136.44525909423828
2.4921305,65179.973,3.5103493e-09,20.103539,41.96655,95.4982,117.697914,631.26807,214.94249,11,1100,155.39532,,16.709677,7.859792,100,-140.84827499878057,[-0.09  -0.707 -0.239 -0.208 -0.519],48707,70.42,214.94249,7.6293946e-07,3389.7798,994514.2,-17.378975,100.0,0.8032108,156.07926201820374
