MaxD2w0t,EpisodesSoFar,MeanEntropy,ReturnStepMax,TimeElapsed,EpLenMean,InitialReturnMin,ReturnStepMaxmin,Bound,InitialReturnMean,InitialReturnStd,EpThisIter,MinIW,MinD2w0t,J_sample_variance,TimestepsSoFar,EpRewMean,EmpiricalD2,ReturnMeanIW,InitialReturnMax,InitialBound,MaxIW,MeanD2w0t,StdIW,Iteration,StdD2w0t,Weights,MeanIW
-inf,100,1.815413,100.0,9.601172685623169,46.09,-2.4639435,93.845825,2759.238,-3.8146973e-07,2.1648557,100,3.5890798e-17,inf,734165800.0,4609,-141.8229098366061,nan,2759.238,6.4169464,208.54071,1563.8577,nan,152.95297,1,nan,[ 0.579 -0.554  0.227  0.402  0.   ],15.234447
8.039796e+22,200,1.9492394,100.0,24.579203605651855,37.42,-2.1305695,92.85437,490.67865,2.4414062e-06,1.3947877,100,5.1200644e-08,,10708360.0,8351,-133.6946630013371,1.4729642e+21,490.67865,3.390068,257.3396,230.86409,5.8898974e+18,14.886414,2,inf,[ 0.608 -0.271  0.084  0.472  0.396],1.9708606
36380936.0,300,1.7480642,100.0,36.074846029281616,30.13,-2.8014755,91.708115,725.7256,8.392334e-07,2.1038299,100,8.034775e-10,,16658080.0,11364,-124.91716379406658,371012.12,725.7256,7.814949,315.55405,321.755,3543.5974,16.184937,3,266485.97,[ 0.555 -0.211  0.317  0.22   0.53 ],2.5754604
4968.512,400,1.6907148,100.0,46.99539828300476,29.01,-2.6063232,91.426,450.47534,8.392334e-06,1.8378927,100,9.998068e-06,,1848902.8,14265,-124.23078738034187,155.20688,450.47534,5.5790634,328.72766,57.88594,1.2361641,5.8771763,4,33.796722,[ 0.565 -0.03   0.121  0.138  0.329],1.5097551
5.0115892e+33,500,1.1694255,100.0,56.86173939704895,27.36,-3.6298447,90.94809,3672.1714,8.850097e-06,1.9767567,100,,,1326726000.0,17001,-121.66783841339293,5.0115367e+31,3672.1714,8.144325,345.9134,1664.416,2.096742e+29,121.101555,5,inf,[0.618 0.079 0.222 0.223 0.272],12.030587
1740.2048,600,1.1435809,100.0,68.12787318229675,22.43,-2.4155045,89.492004,697.13367,-3.8146973e-06,1.1464888,100,0.0009795749,,6598797.0,19244,-117.84723521238162,174.65695,697.13367,3.2932205,425.20068,68.42877,0.91985345,6.9314637,6,19.324438,[ 0.59   0.134 -0.162  0.562 -0.25 ],1.7351111
113.93723,700,1.1348983,100.0,76.96137070655823,21.45,-2.5738678,89.13257,504.5849,-3.890991e-06,1.2801198,100,0.0015383938,,796163.7,21389,-116.55309869177721,8.786115,504.5849,4.5130386,443.32507,25.765167,0.13558859,2.5482173,7,1.373272,[ 0.609  0.202 -0.202  0.506 -0.275],1.1894314
1076.9978,800,0.9764375,100.0,86.11052250862122,22.38,-2.9495697,89.52869,607.0469,1.3046265e-05,1.173873,100,3.6185952e-06,,8986179.0,23627,-117.17405160973911,94.94499,607.0469,2.5944366,423.8953,87.6293,0.6015041,8.038245,8,9.897257,[ 0.602  0.236 -0.243  0.479 -0.284],1.4826647
425.7507,900,0.9848552,100.0,96.34278774261475,20.21,-2.6152267,88.620834,590.7571,-8.69751e-06,1.0807412,100,0.0010311094,,1501060.6,25648,-114.98646650541741,53.262238,590.7571,2.76931,469.02112,53.3372,0.3302209,2.867063,9,5.8912635,[ 0.641  0.327 -0.24   0.57  -0.443],1.280539
1738.425,1000,0.83025885,100.0,104.37746667861938,21.11,-2.9219284,89.03456,710.37274,-8.010864e-06,1.2077866,100,6.690378e-07,,12446110.0,27759,-115.74021705646679,161.61668,710.37274,2.61232,448.5899,100.41093,1.1864656,9.823251,10,19.252615,[ 0.636  0.25  -0.273  0.53  -0.434],1.7090914
56283.79,1100,0.86966413,100.0,116.26085233688354,22.86,-2.704094,89.67493,589.38086,1.0757446e-05,1.0399905,100,0.0011237802,,3067995.2,30045,-118.01561544535703,1185.463,589.38086,3.6655273,416.25827,62.789516,4.791007,4.7255287,11,318.45575,[ 0.578  0.236 -0.229  0.6   -0.589],1.4918188
624222850.0,1200,0.7802636,100.0,127.48056197166443,22.07,-3.0101776,89.39114,1402.4874,8.31604e-06,0.9890843,100,1.7355173e-08,,131624490.0,32252,-117.06873158225831,14073638.0,1402.4874,2.8843384,430.5554,1127.2264,102903.42,29.678095,12,5473891.0,[ 0.54   0.194 -0.267  0.681 -0.549],3.48015
1088938.5,1300,0.8031729,100.0,137.16571378707886,22.69,-3.4322739,89.688126,1189.1965,4.7302246e-06,1.1670284,100,3.565096e-07,,93612890.0,34521,-116.98829146763435,56168.105,1189.1965,3.1194916,416.35242,326.40482,175.39314,31.347898,13,7084.621,[ 0.473  0.227 -0.351  0.631 -0.639],3.4915519
