InitialReturnMin,EpThisIter,ESSRenyi,ESSClassic,InitialReturnMean,InitialReturnStd,Bound,ReturnStepMax,EpRewMean,ReturnMeanIW,MaxIWNorm,MeanIWNorm,TimeElapsed,MeanEntropy,InitialBound,EmpiricalD2,Weights,J_sample_variance,StdIWNorm,Iteration,MaxIW,StdIW,InitialReturnMax,MinIWNorm,EpLenMean,MinIW,EntropyCoefficient,ReturnStepMaxmin,MeanIW,EpisodesSoFar,TimestepsSoFar
-16.371025,100,0.020245267,3.473717,-4.119873e-06,10.794412,20.60133,100.0,-108.1894935537418,5.123786,1.066415,0.02027926,7.944981336593628,1.5477544,14.189448,4939.4263,[-0.822 -0.493 -0.474 -0.749  0.   ],2445.9854,0.10689998,1,106.641495,10.689999,33.495453,5.7022877e-05,35.09,0.005702288,10.0,92.833694,2.027926,100,3509
-15.850616,100,1.5891836,8.634657,1.335144e-06,12.671456,18.854046,100.0,-107.05949810057469,3.80117,0.26230565,0.009198818,19.58618664741516,1.5052875,15.477545,62.925392,[-0.886 -0.504 -0.439 -0.814  0.129],1914.1132,0.029922664,2,26.230564,2.9922662,44.34013,4.2827505e-06,38.07,0.00042827506,10.0,93.375656,0.91988176,200,7316
-22.55217,100,5.438537e-15,1.0217252,-8.392334e-07,14.660587,58.828377,100.0,-104.29476750062685,43.95555,12.226671,0.12359186,30.890156984329224,1.4872828,15.052875,1.8387298e+16,[-0.866 -0.523 -0.357 -0.792  0.086],207200.39,1.2164459,3,1222.6671,121.64459,38.073326,8.0452104e-14,44.93,8.04521e-12,10.0,94.35745,12.359187,300,11809
-25.626564,100,0.0001039298,1.6567011,4.7302246e-06,12.530499,37.767555,100.0,-102.73117172627806,22.344322,1.5615884,0.020327723,43.206804037094116,1.5423232,14.872832,962187.94,[-0.982 -0.538 -0.188 -0.869  0.068],46418.16,0.15661706,4,156.15884,15.661705,36.11702,7.0340195e-07,47.76,7.03402e-05,10.0,94.69803,2.0327723,400,16585
-26.314941,100,0.13777994,3.2845464,3.4332277e-07,10.4798765,20.902111,100.0,-100.72164679340425,4.506407,0.56644434,0.010513872,56.954630613327026,1.6395705,15.423232,725.7951,[-1.03  -0.471 -0.079 -0.805  0.123],3108.3198,0.05705228,5,56.644432,5.705227,25.258698,7.42926e-06,54.38,0.00074292603,10.0,95.29564,1.0513872,500,22023
-27.77671,100,0.45986342,4.0632133,-1.3732911e-06,9.685614,26.285963,100.0,-101.31572612540315,8.864042,0.48775715,0.010006896,72.10804605484009,1.7421921,16.395702,217.45587,[-1.001 -0.452 -0.091 -0.718  0.221],4539.282,0.048624724,6,48.775715,4.862472,40.44347,3.1334603e-05,61.23,0.0031334602,10.0,95.69064,1.0006896,600,28146
-30.525944,100,5.0040544e-13,1.0017905,-5.1879883e-06,11.590927,2671.261,100.0,-100.93908845383896,2652.7878,314.47934,3.1476078,87.11535501480103,1.8473139,17.421915,199837950000000.0,[-0.899 -0.401 -0.019 -0.697  0.323],704285950.0,31.290016,7,31447.936,3129.002,40.88775,4.193214e-10,62.01,4.1932143e-08,10.0,95.74443,314.7608,700,34347
-35.80046,100,5.5473924,24.579998,-6.027222e-06,15.436068,27.604233,100.0,-100.82984440219867,8.388137,0.09222945,0.009499934,108.3796796798706,1.9216094,18.473133,18.026487,[-0.583 -0.556  0.093 -0.696  0.428],2392.3018,0.01664075,8,9.222945,1.6640751,45.128838,0.00015891291,74.51,0.015891291,10.0,96.29352,0.9499934,800,41798
-28.387238,100,3.6890826e-06,1.645956,-1.0299683e-06,16.797049,472.02002,100.0,-100.14981871853097,452.91827,14.950438,0.19730225,131.8539900779724,1.9101759,19.216093,27107010.0,[-0.68  -0.557  0.073 -0.659  0.503],16205543.0,1.5251726,9,1495.0438,152.51729,44.71943,5.94828e-13,103.19,5.94828e-11,10.0,97.05893,19.730227,900,52117
-24.031605,100,1.229013e-06,1.0983465,-3.7002565e-06,15.358172,106.29547,100.0,-102.67149370194234,87.65289,4.2190223,0.04422433,154.63373613357544,1.8642575,19.101755,81366104.0,[-0.787 -0.745 -0.006 -0.762  0.491],768617.6,0.4196559,10,421.90222,41.965588,50.0333,1.423202e-09,92.22,1.423202e-07,10.0,96.77333,4.422433,1000,61339
