MaxIW,Weights,EpThisIter,EpisodesSoFar,J_sample_variance,InitialReturnMax,ReturnStepMax,InitialReturnMean,MinIW,EmpiricalD2,Bound,MeanIW,InitialReturnStd,MinD2w0t,MaxD2w0t,StdIW,ReturnStepMaxmin,TimestepsSoFar,MeanD2w0t,InitialReturnMin,Iteration,ReturnMeanIW,EntropyCoefficient,EpRewMean,MeanEntropy,StdD2w0t,EpLenMean,TimeElapsed,InitialBound
2874.1628,[-1.011 -0.815 -0.477 -0.513 -0.672],100,1800,300083.47,26.676903,100.0,1.9073486e-06,3.2080056e-15,9.9002357e+17,67.16531,2.3997056,15.805888,,4.2163377e+19,47.893948,98.384796,184565,2.4216559e+16,-45.982796,18,59.44239,10.0,-91.6465282252073,0.77229273,inf,297.94,433.3137319087982,15.102386
116.857956,[-1.001 -0.866 -0.453 -0.514 -0.647],100,1900,1825.8921,20.573912,100.0,1.2779236e-06,1.0152927e-11,85880340000000.0,13.326309,0.39722595,10.409852,,554809550000000.0,3.3064167,98.59589,226635,2763320500000.0,-48.797653,19,5.2760735,10.0,-85.00554332399192,0.8050236,18490895000000.0,420.7,513.5957429409027,6.1608257
1395.7692,[-0.994 -0.852 -0.465 -0.538 -0.614],100,2000,46977.81,47.569214,100.0,1.6784668e-06,4.67935e-12,468049430000000.0,34.848454,1.9433767,20.007412,,1.1497078e+16,30.075188,98.51602,258538,13613502000000.0,-54.32251,20,26.684782,10.0,-77.20185389825762,0.8163672,170918730000000.0,319.03,574.7076930999756,9.876346
6324.413,[-0.998 -0.882 -0.454 -0.52  -0.603],100,2100,271.34192,27.628912,100.0,7.6293944e-08,1.6336983e-08,950848.94,7.732517,2.2441106,11.9573555,,4187917.0,64.537636,98.61961,301790,65283.348,-32.206886,21,-0.3612181,10.0,-82.26232631159108,0.80937344,247547.3,432.52,656.4617898464203,4.9978013
570.8519,[-0.987 -0.894 -0.47  -0.545 -0.61 ],100,2200,6126.459,24.50538,100.0,4.5776366e-07,2.8184862e-18,1.0240068e+20,16.966524,0.5229146,13.159548,,2.5502486e+21,8.705898,98.58548,341189,2.1018927e+18,-47.532063,22,8.874198,10.0,-81.65714878577094,0.80923265,inf,393.99,731.2281520366669,8.037162
42.22548,[-1.001 -0.844 -0.445 -0.478 -0.61 ],100,2300,476.97937,20.046822,100.0,-5.722046e-07,3.7543075e-09,132964584.0,8.068426,0.43141484,9.639322,,1023734660.0,1.7000333,98.62474,386756,7155127.0,-42.289906,23,-0.22075178,10.0,-85.49841127363474,0.8289178,38347116.0,455.67,816.7698347568512,3.6330867
52.33927,[-0.983 -0.831 -0.46  -0.488 -0.59 ],100,2400,329.7239,23.345066,100.0,7.6293944e-08,0.0005574401,178.0229,8.877378,0.69346935,10.902898,,683.7091,1.7168814,98.636505,428378,33.42076,-40.07096,24,0.7215117,10.0,-75.64632994214028,0.8155866,58.49418,416.22,895.6340992450714,5.6362104
830.2805,[-1.003 -0.768 -0.46  -0.452 -0.603],100,2500,171643.4,21.269434,100.0,-4.386902e-07,3.1502858e-19,1.9502053e+34,46.11844,1.1830683,14.545424,,1.8945043e+36,19.18503,98.62775,467610,6.843382e+32,-51.011787,25,37.243176,10.0,-73.02050903614972,0.8875263,inf,392.32,969.4231097698212,5.5832653
242.86716,[-0.977 -0.824 -0.505 -0.479 -0.531],100,2600,2790.5432,28.612118,100.0,-1.5640259e-06,1.0884853e-08,670726850.0,25.14352,0.87081736,17.80041,,29227373000.0,4.608771,98.255585,494294,32865820.0,-49.308357,26,16.440626,10.0,-99.31991120376135,0.8702895,635644160.0,266.84,1020.9412431716919,17.602066
1363.5708,[-1.006 -0.838 -0.487 -0.494 -0.549],100,2700,56176.676,22.470411,100.0,-3.0517577e-07,4.155543e-21,6.225832e+26,40.00866,1.0670083,14.282866,,5.0579973e+28,19.436146,98.5556,532584,7.685579e+24,-57.173393,27,31.491276,10.0,-85.08081329585059,0.8517386,inf,382.9,1093.4410681724548,8.570229
