MinIWNorm,InitialReturnMean,ReturnStepMaxmin,InitialReturnMin,MinIW,InitialReturnMax,Iteration,TimeElapsed,MaxIWNorm,Weights,EpRewMean,EntropyCoefficient,MeanEntropy,InitialReturnStd,J_sample_variance,MeanIWNorm,TimestepsSoFar,ReturnStepMax,InitialBound,EpThisIter,ReturnMeanIW,EpLenMean,ESSRenyi,ESSClassic,StdIWNorm,MaxIW,EpisodesSoFar,EmpiricalD2,MeanIW,Bound,StdIW
0.00017962838,3.7384034e-06,86.90667,-4.7708664,0.017962838,9.20005,1,4.044313192367554,0.08558908,[-0.689  0.919 -0.673  0.288  0.   ],-108.67197648780628,10.0,1.7151282,3.275067,12.102584,0.006685664,1745,100.0,14.189456,100,-0.03190355,17.45,6.7368674e-06,19.124348,0.01374865,8.558908,100,14843694.0,0.66856635,17.119377,1.374865
0.01,-5.340576e-06,86.778305,-4.2502213,1.0,8.682556,2,10.522056818008423,0.01,[-0.653  0.937 -0.669  0.235  0.296],-108.46735801923974,10.0,1.7151282,3.0198948,9.211884,0.009999999,3469,100.0,17.151276,100,-5.3197145e-06,17.24,100.0,100.0,9.313226e-10,1.0,200,1.0,1.0,17.151276,
0.01,-1.0757446e-05,87.31356,-4.7370834,1.0,13.082771,3,16.00546622276306,0.01,[-0.653  0.937 -0.669  0.235  0.296],-109.29925763084474,10.0,1.7151282,3.0807621,9.586966,0.009999999,5278,100.0,17.15127,100,-1.0751188e-05,18.09,100.0,100.0,9.313226e-10,1.0,300,1.0,1.0,17.15127,
0.01,-1.9073486e-06,86.96103,-4.169403,1.0,9.232407,4,21.815902709960938,0.01,[-0.653  0.937 -0.669  0.235  0.296],-108.7187759185717,10.0,1.7151282,2.9326644,8.687395,0.009999999,7026,100.0,17.15128,100,-1.8924475e-06,17.48,100.0,100.0,9.313226e-10,1.0,400,1.0,1.0,17.15128,
0.01,6.866455e-06,87.29934,-4.616501,1.0,11.272995,5,27.167659759521484,0.01,[-0.653  0.937 -0.669  0.235  0.296],-109.13667637687786,10.0,1.7151282,3.1920054,10.291817,0.009999999,8830,100.0,17.151289,100,6.8619847e-06,18.04,100.0,100.0,9.313226e-10,1.0,500,1.0,1.0,17.151289,
0.01,-6.1035155e-07,86.55786,-4.220131,1.0,11.554611,6,32.633790731430054,0.01,[-0.653  0.937 -0.669  0.235  0.296],-108.83417972499088,10.0,1.7151282,2.9150496,8.583347,0.009999999,10529,100.0,17.151281,100,-6.1281025e-07,16.99,100.0,100.0,9.313226e-10,1.0,600,1.0,1.0,17.151281,
1.4166988e-06,-8.7738035e-06,87.147316,-4.344307,0.00014166988,9.325966,7,38.11588144302368,0.058687925,[-0.653  0.937 -0.669  0.235  0.296],-109.18757793709872,10.0,1.8721504,3.126936,5.233513,0.0032201896,12317,100.0,17.151272,100,0.09336574,17.88,3.3368877e-05,15.076299,0.0076427315,5.8687925,700,2996804.5,0.322019,18.81487,0.7642731
0.01,-4.7302246e-06,87.78099,-5.814987,1.0,8.158997,8,43.92341136932373,0.01,[-0.694  0.821 -0.569  0.27   0.453],-109.51335547337445,10.0,1.8721504,2.8157341,8.008443,0.009999999,14208,100.0,18.7215,100,-4.7385693e-06,18.91,100.0,100.0,9.313226e-10,1.0,800,1.0,1.0,18.7215,
4.1116507e-16,-3.0517579e-06,87.3485,-3.7914886,4.1116507e-14,8.881622,9,49.02966809272766,0.00026065667,[-0.694  0.821 -0.569  0.27   0.453],-110.07035505770135,10.0,2.6132324,2.9079533,8.4340914e-05,3.236986e-06,16038,100.0,18.7215,100,-0.0010790097,18.3,nan,1.4977981,2.6250471e-05,0.026065668,900,nan,0.00032369856,26.131245,0.0026250472
0.01,3.6621093e-06,87.56472,-4.697815,1.0,10.901863,10,57.23887538909912,0.01,[-0.559  1.14  -1.027 -0.169  1.194],-110.11409355683475,10.0,2.6132324,3.329522,11.197694,0.009999999,17898,100.0,26.132328,100,3.6656857e-06,18.6,100.0,100.0,9.313226e-10,1.0,1000,1.0,1.0,26.132328,
0.01,7.476807e-06,87.239746,-4.137169,1.0,10.887817,11,62.92105197906494,0.01,[-0.559  1.14  -1.027 -0.169  1.194],-109.99226388566699,10.0,2.6132324,3.0120215,9.163912,0.009999999,19711,100.0,26.132332,100,7.4673444e-06,18.13,100.0,100.0,9.313226e-10,1.0,1100,1.0,1.0,26.132332,
0.01,-1.1444092e-06,87.400055,-4.4119873,1.0,9.8563385,12,68.76395773887634,0.01,[-0.559  1.14  -1.027 -0.169  1.194],-109.26208608810592,10.0,2.6132324,3.3418725,11.280921,0.009999999,21538,100.0,26.132322,100,-1.15484e-06,18.27,100.0,100.0,9.313226e-10,1.0,1200,1.0,1.0,26.132322,
0.01,3.5858154e-06,87.55487,-5.0699463,1.0,11.558212,13,74.47447299957275,0.01,[-0.559  1.14  -1.027 -0.169  1.194],-108.84530189519293,10.0,2.6132324,3.5846274,12.979348,0.009999999,23383,100.0,26.132328,100,3.606081e-06,18.45,100.0,100.0,9.313226e-10,1.0,1300,1.0,1.0,26.132328,
0.01,-5.722046e-06,87.26397,-5.3946915,1.0,11.081596,14,80.15102100372314,0.01,[-0.559  1.14  -1.027 -0.169  1.194],-109.39877274360721,10.0,2.6132324,3.1630042,10.105653,0.009999999,25190,100.0,26.132318,100,-5.7071447e-06,18.07,100.0,100.0,9.313226e-10,1.0,1400,1.0,1.0,26.132318,
