InitialReturnMean,ReturnStepMaxmin,InitialReturnMin,StdD2w0t,TimeElapsed,TimestepsSoFar,EpLenMean,MaxD2w0t,MeanIW,InitialReturnStd,EpisodesSoFar,EmpiricalD2,ReturnMeanIW,Iteration,EpRewMean,ReturnStepMax,InitialBound,MeanD2w0t,MaxIW,InitialReturnMax,MeanEntropy,EpThisIter,MinIW,J_sample_variance,StdIW,Weights,MinD2w0t,Bound
-1.2207031e-06,92.924065,-16.716774,287.77707,7.730694055557251,3540,35.4,21050.438,3.7066855,12.600159,100,2359.0063,633.06604,1,-107.5568281044892,100.0,222.61734,21.05332,332.80783,33.927227,1.3372786,100,2.595642e-07,11196311.0,24.026999,[-0.563 -1.093 -0.809 -1.04   0.   ],,633.06604
7.6293944e-08,93.221596,-16.729736,7967.098,21.947355031967163,7263,37.23,1426810.1,9.24,13.899027,200,39213.098,1289.844,2,-107.56501596128832,100.0,209.00163,173.8391,962.8566,54.914,1.3110583,100,3.951709e-06,125788620.0,91.04739,[-0.63  -1.06  -0.844 -0.897 -0.082],,1289.844
-2.5177003e-06,92.93288,-15.941742,2.8360503,35.53750777244568,10847,35.84,105.6925,1.1159571,11.777127,300,16.810139,240.72058,3,-108.72382784487198,100.0,221.70845,0.48863766,18.18379,37.800926,1.3339787,100,0.0055746697,164611.53,2.277977,[-0.668 -0.966 -0.756 -0.75  -0.108],,240.72058
-1.2588501e-06,92.7788,-15.170502,233248.62,45.58626079559326,14347,35.0,46491824.0,2.6260169,11.678579,400,695864.25,502.25623,4,-108.8763226877525,100.0,228.7258,2163.5261,137.11713,43.096977,1.2752712,100,3.4107764e-08,8395086.0,16.703608,[-0.633 -0.967 -0.815 -0.75  -0.085],,502.25623
-1.5258789e-07,93.74394,-17.384903,12230202.0,59.48292565345764,18472,41.25,1793851000.0,2.8020182,15.272611,500,53308044.0,385.60764,5,-108.40630020219663,100.0,184.79474,196000.97,356.14386,52.7091,1.3370056,100,2.0528469e-06,9048461.0,25.27119,[-0.717 -1.089 -0.84  -0.695 -0.144],,385.60764
-2.0217894e-06,94.05711,-17.374435,25135.348,72.34700798988342,22920,44.48,1480021.5,6.4101114,12.252526,600,73100.67,714.3489,6,-109.92978811174639,100.0,170.78217,1951.1879,558.2784,39.796143,1.4315516,100,2.708323e-05,22384788.0,48.865807,[-0.746 -1.134 -0.802 -0.628 -0.082],,714.3489
-5.302429e-06,94.335724,-20.615875,297.12506,87.04723310470581,27598,46.78,10083.441,4.53701,13.07482,700,2162.327,508.59592,7,-109.09774249834565,100.0,158.89275,36.663486,445.22186,41.115612,1.3418938,100,1.9140186e-06,16582219.0,42.04851,[-0.698 -1.143 -0.705 -0.72   0.013],,508.59592
-1.0681152e-06,94.082825,-17.304611,inf,102.0142457485199,32136,45.38,4.3204964e+28,52.628204,11.2437,800,4.425176e+26,6567.496,8,-111.57723402753143,100.0,168.80716,2.4608184e+24,5440.49,40.00888,1.2270815,100,6.046033e-26,4216525600.0,530.641,[-0.8   -1.123 -0.782 -0.591 -0.077],,6567.496
-1.1825561e-05,92.726204,-14.00074,151.81065,116.85853338241577,35715,35.79,19826.873,1.7920839,8.384034,900,917.6602,392.81433,9,-112.9643515408087,100.0,230.95738,8.38538,115.32339,29.872654,1.183099,100,4.1801864e-06,2018070.8,8.312507,[-0.693 -1.086 -0.992 -0.458 -0.192],,392.81433
1.9073487e-07,93.23623,-15.571266,0.35087472,130.27825045585632,39653,39.38,1.9826155,1.0454972,7.848105,1000,1.4739897,214.58688,10,-113.97906475361313,100.0,206.79945,0.101489045,5.2434015,35.05473,1.2324281,100,0.17187437,16458.574,0.7383646,[-0.673 -1.145 -0.947 -0.419 -0.236],,214.58688
-4.997253e-06,93.50209,-14.931343,1.0990356,141.4708070755005,43756,41.03,21.726904,1.503479,8.402222,1100,7.9042726,272.7201,11,-114.41339068739276,100.0,196.95766,0.24558307,69.74714,27.31108,1.1446644,100,0.00079888414,755223.94,6.615218,[-0.689 -1.141 -0.966 -0.411 -0.186],,272.7201
-7.133484e-06,92.80984,-11.5538025,37364756000.0,151.43750953674316,47410,36.54,2221223000000.0,9.876019,6.5108523,1200,33591153000.0,1710.4425,12,-113.09540589677296,100.0,225.54639,1073256960.0,1012.49,19.692616,1.1790719,100,2.119677e-09,257318830.0,97.43146,[-0.684 -1.216 -1.013 -0.465 -0.274],,1710.4425
