EpThisIter,TimeElapsed,MaxD2w0t,Weights,EpLenMean,InitialReturnMean,MaxIW,InitialReturnMax,ReturnStepMaxmin,MeanIW,InitialReturnMin,J_sample_variance,StdIW,EpisodesSoFar,StdD2w0t,Bound,EpRewMean,MinD2w0t,ReturnStepMax,Iteration,TimestepsSoFar,EmpiricalD2,MinIW,ReturnMeanIW,EntropyCoefficient,InitialReturnStd,MeanEntropy,InitialBound,MeanD2w0t
100,9.21251368522644,701992.2,[-0.365 -0.68  -0.484 -0.253  0.   ],45.73,1.2969971e-06,6260.503,25.629276,93.704056,20.012299,-16.882248,740884000.0,205.91219,100,7152.374,2812.3215,-121.62483749719935,,100.0,1,4573,17088.807,5.4848764e-10,2800.9397,10.0,8.854463,1.1381923,196.00711,270.9184
100,26.49032235145569,1.4180116e+17,[-0.336 -0.702 -0.417 -0.344 -0.281],50.4,-3.2043456e-06,38114.547,42.82025,94.33646,56.80005,-17.535713,9890796000.0,640.13477,200,1464979000000000.0,10003.069,-117.52143312078682,,100.0,2,9613,3054821300000000.0,3.156257e-31,9994.2705,10.0,10.323429,0.87988055,166.51387,34456033000000.0
100,43.206313371658325,638093.75,[-0.329 -1.034 -0.45  -0.537 -0.539],56.3,3.2424928e-06,270.1829,29.621754,94.825455,2.717639,-21.986885,2346576.2,18.454473,300,15185.793,293.815,-117.69231784900323,,100.0,3,15243,32947.047,0.00019138088,284.01358,10.0,8.270804,0.9801432,143.69601,1138.1555
100,59.54255986213684,13955.363,[-0.35  -1.057 -0.42  -0.575 -0.439],60.41,-2.4032593e-06,1428.104,25.031502,95.1124,12.24223,-21.181015,33600932.0,128.38286,400,147.14899,686.4597,-117.48024245149708,,100.0,4,21284,797.93384,6.098029e-05,677.3729,10.0,9.950923,0.9086804,132.47556,7.6667204
100,80.38764524459839,4.264723e+35,[-0.418 -1.026 -0.391 -0.539 -0.51 ],78.33,1.1825562e-06,26080.156,26.833214,95.993454,2.863175,-21.531319,144003620.0,154.3146,500,inf,1227.039,-122.42799607727856,,100.0,5,29117,4.2647554e+33,3.4991914e-17,1217.4197,10.0,8.306046,0.96192205,100.10559,2.0990705e+31
100,102.97270607948303,170.47186,[-0.47  -1.172 -0.467 -0.489 -0.457],84.04,5.722046e-07,20.028593,24.007248,96.00773,1.0845964,-17.136703,17224.45,2.2549858,600,6.2436395,109.47209,-134.13099618639714,,100.0,6,37521,32.513626,0.0014232653,100.116295,10.0,7.5459642,0.9355795,99.028915,1.4663619
100,122.07831001281738,6452.1895,[-0.47  -1.172 -0.468 -0.453 -0.483],83.42,1.5258789e-07,385.72046,17.2197,96.00036,3.3835459,-11.937614,547846.25,31.553932,700,75.4702,164.41031,-134.68188135530306,,100.0,7,45863,381.57294,0.001050199,154.66066,10.0,6.1121216,0.9749643,100.128845,5.677889
100,145.9588279724121,223.67282,[-0.553 -1.155 -0.467 -0.44  -0.444],104.85,-3.3569336e-06,35.531574,24.826126,96.518845,0.90505,-24.72512,13531.957,2.0501254,800,7.7831545,93.35403,-143.6808626253171,,100.0,8,56348,33.620064,0.0030224104,83.80196,10.0,8.964532,0.95520633,79.644104,2.0899787
100,176.49702668190002,1.1236668e+17,[-0.558 -1.176 -0.44  -0.444 -0.464],148.85,-2.3651123e-06,41458.934,21.364716,97.22986,25.028074,-26.838951,506349600.0,746.4658,900,856195360000000.0,2290.1204,-157.61596393610603,,100.0,9,71233,1208391000000000.0,7.618377e-15,2281.9597,10.0,9.517387,0.81606513,56.7178,11258738000000.0
100,258.92840552330017,1825906000.0,[-0.627 -1.177 -0.448 -0.387 -0.603],417.0,2.1362305e-06,23711.383,18.710136,98.28282,40.69897,-16.47316,325579.8,657.3041,1000,80258500.0,67.04281,-207.83341349476757,,100.0,10,112933,363410050.0,3.097076e-12,59.38653,10.0,7.3337483,0.7656277,8.783227,16703117.0
