BatchSize,AvgVanillaIw,VarNormIw,AvgEpLen,MinNormIw,Delta,AvgRet,eRenyi2,VarDiscRet,VarRet,VanillaAvgRet,MinVanillaIw,J,Bound,IterType,AvgNormIw,MaxNormIw,ESSClassic,VarVanillaIw,MaxVanillaIw,AvgDiscRet,VarJ,ESSRenyi,EpsThisIter
100,1.1283941,8.144824e-05,200.0,2.5954358e-07,0.2,-1743.3246030328082,2.0459747,4510235.975432037,4510235.975432037,-1743.3246030328082,2.9286746e-05,-199.43417,-1846.944,1,0.01,0.025211353,55.360641502971724,1.0370587,2.8448343,-1743.3246030328082,441.6684,48.87645896259835,100
100,0.8775239,3.8662496e-05,200.0,6.818972e-05,0.2,-510.9839406165655,1.2580299,1254503.433146099,1254503.433146099,-510.9839406165655,0.005983811,-46.078255,-871.944,1,0.01,0.018213863,72.31919102133094,0.2977198,1.5983099,-510.9839406165655,112.0195,79.4893642827903,100
100,1.017236,2.016471e-06,200.0,0.0031547428,0.2,-38.64203261695039,1.022965,83811.02055358012,83811.02055358012,-38.64203261695039,0.32091177,-18.635082,-605.96216,1,0.010000002,0.011069035,98.04276258731224,0.020865813,1.125982,-38.64203261695039,91.84562,97.7550595181216,100
100,1.0136411,6.2785407e-06,200.0,0.001271357,0.2,-10.106881369025064,1.0720872,100.87685829416003,100.87685829416003,-10.106881369025064,0.12886997,-9.234012,-22.105856,1,0.01,0.0123471515,94.1479927910804,0.06451002,1.2515581,-10.106881369025064,8.384278,93.27599743765344,100
100,1.0012462,4.4553494e-09,200.0,0.009679276,0.2,-9.543250226566368,1.0000585,70.94221885068661,70.94221885068661,-9.543250226566368,0.96913385,-9.542878,-15.177719,1,0.01,0.010042081,99.99558060556426,4.4664594e-05,1.0054595,-9.543250226566368,8.37297,99.99414716645971,100
100,1.0261016,4.3763785e-06,200.0,0.0037215685,0.2,-7.83864196688973,1.0607218,59.86666139670526,59.86666139670526,-7.83864196688973,0.38187072,-7.4831824,-13.704188,1,0.01,0.011941015,95.8473031102371,0.0460782,1.2252693,-7.83864196688973,7.2414327,94.27543040953456,100
100,0.9973224,1.2622294e-07,200.0,0.009650279,0.2,-7.4679876820617075,1.0019416,47.040689377170764,47.040689377170764,-7.4679876820617075,0.9624439,-7.458925,-12.442844,1,0.010000002,0.011017246,99.87517916698935,0.001255479,1.0987747,-7.4679876820617075,6.7841253,99.80622006580688,100
100,0.9974862,9.204385e-06,200.0,0.0012934644,0.2,-9.384590512217109,1.0932826,71.80375801735028,71.80375801735028,-9.384590512217109,0.12902129,-8.84412,-14.783424,1,0.010000002,0.013268536,91.64864297527868,0.09158167,1.3235182,-9.384590512217109,8.11566,91.46766059845042,100
100,0.9785385,4.4960407e-06,200.0,0.0035609882,0.2,-9.684090422728094,1.0433158,64.0181957074628,64.0181957074628,-9.684090422728094,0.3484564,-9.384844,-15.209544,1,0.01,0.0123151895,95.73860520599173,0.04305128,1.2050887,-9.684090422728094,7.550384,95.84825902565674,100
100,0.9942242,2.5833106e-06,200.0,0.0074539967,0.2,-7.5854483435606355,1.0285577,58.85099094806756,58.85099094806756,-7.5854483435606355,0.74109435,-7.433995,-13.125908,1,0.01,0.01515572,97.50630573476109,0.025535554,1.5068183,-7.5854483435606355,7.4940434,97.22352383768187,100
