VarJ,eRenyi2,AvgEpLen,AvgRet,ESSRenyi,Delta,VarRet,BatchSize,AvgVanillaIw,AvgNormIw,EpsThisIter,VanillaAvgRet,AvgDiscRet,VarNormIw,IterType,VarVanillaIw,MaxNormIw,Bound,J,ESSClassic,MaxVanillaIw,MinVanillaIw,VarDiscRet,MinNormIw
788.22,1.1957874,15.83,148.23435896617477,83.62690350067072,0.05,83958.67826312238,100,1.0107014,0.010000002,100,148.23435896617477,148.23435896617477,2.8416876e-05,1,0.29028335,0.037197504,-584.6139,263.6716,78.04405419191036,3.759557,0.38629937,83958.67826312238,0.0038220922
636.08405,1.0159253,20.72,197.22688890249995,98.43243510272407,0.05,272416.3139079458,100,0.9980929,0.01,100,197.22688890249995,197.22688890249995,2.3216958e-06,1,0.023128485,0.014997232,-1966.2721,230.33362,97.75315984926455,1.496863,0.7323705,272416.3139079458,0.0073376987
136.92061,1.0876058,11.62,106.13888861085496,91.94507502001152,0.05,11092.635582934015,100,0.9513784,0.01,100,106.13888861085496,106.13888861085496,9.634917e-06,1,0.08720765,0.025053417,-125.31249,124.682106,91.29204657371143,2.383528,0.5516725,11092.635582934015,0.0057986653
267.36136,1.0865204,19.89,188.80477446818043,92.03692532931976,0.05,44956.80886231389,100,1.0728816,0.010000002,100,188.80477446818043,188.80477446818043,1.2084604e-05,1,0.13910285,0.025059551,-283.86713,229.49492,89.31460924476072,2.688593,0.37510288,44956.80886231389,0.003496219
291.691,1.0411463,24.78,237.67351127323982,96.04798295535214,0.05,64907.04826810757,100,1.0327815,0.010000002,100,237.67351127323982,237.67351127323982,4.2192846e-06,1,0.045004472,0.013300527,-537.1908,267.66867,95.99038296958909,1.3736539,0.44949225,64907.04826810757,0.004352249
788.3463,1.02691,31.38,303.6634528281283,97.37952218073458,0.05,381272.9204593705,100,0.9737061,0.01,100,303.6634528281283,303.6634528281283,3.3322142e-06,1,0.031592846,0.014348003,-1820.8654,355.53943,96.80647026380262,1.3970739,0.4996593,381272.9204593705,0.0051315203
1046.5079,1.0451834,41.93,409.35809940948303,95.67698651654483,0.05,562306.6019177295,100,0.98130745,0.01,100,409.35809940948303,409.35809940948303,4.4311523e-06,1,0.042670414,0.01717359,-1731.3765,496.7644,95.79752593075524,1.6852572,0.49857312,562306.6019177295,0.0050807027
737.9507,1.0228243,38.09,370.85169579507124,97.76850357432897,0.05,331069.3237731584,100,0.9991325,0.01,100,370.85169579507124,370.85169579507124,2.4356536e-06,1,0.024314296,0.015997624,-1787.4519,416.6631,97.64548395374246,1.5983746,0.6141605,331069.3237731584,0.006146937
1428.3632,1.0902889,50.38,493.8139567047164,91.71881146808782,0.05,693379.2654982909,100,1.0177349,0.01,100,493.8139567047164,493.8139567047164,9.823541e-06,1,0.101750694,0.024440477,-1618.6129,656.9237,91.1366758598502,2.4873924,0.36058906,693379.2654982909,0.0035430552
1276.5665,1.0687884,59.39,583.7836842360065,93.56388891956152,0.05,874684.8699601797,100,1.0044204,0.010000002,100,583.7836842360065,583.7836842360065,5.6142894e-06,1,0.056640346,0.01704698,-1536.9883,716.16016,94.73450675111609,1.7122335,0.38930917,874684.8699601797,0.0038759585
2260.619,1.3245229,83.44,824.7155610543748,75.49888609413654,0.05,1402106.6620331015,100,1.0600463,0.010000002,100,824.7155610543748,824.7155610543748,4.3765434e-05,1,0.4917914,0.041634962,-1139.5343,1368.7484,69.77014228404175,4.413499,0.14336582,1402106.6620331015,0.0013524486
2395.78,1.4124769,121.8,1208.7941542227193,70.79761813833821,0.05,2278674.783453369,100,1.0584275,0.01,100,1208.7941542227193,1208.7941542227193,3.9367835e-05,1,0.44102553,0.02547705,-748.1406,1842.0845,71.95582477782706,2.6965609,0.08998972,2278674.783453369,0.00085022097
2603.4412,1.6399544,157.42,1565.7116633905025,60.97730344731585,0.05,3201418.9612867907,100,1.0615115,0.01,100,1565.7116633905025,1565.7116633905025,7.358842e-05,1,0.82919914,0.03345563,-170.83838,2620.18,57.85277916023517,3.5513532,0.011052303,3201418.9612867907,0.000104118546
1806.64,1.8161952,257.75,2570.364294365368,55.060159431847644,0.05,3570541.8892781064,100,0.9928493,0.010000002,100,2570.364294365368,2570.364294365368,0.00010215932,1,1.0070351,0.038428735,1018.08716,3955.2502,49.717175942800175,3.8153942,1.1347493e-05,3570541.8892781064,1.142922e-07
1109.9739,1.2319691,386.38,3860.2727835991186,81.17086583529004,0.05,3162815.7819787,100,0.9834985,0.01,100,3860.2727835991186,3860.2727835991186,2.4202554e-05,1,0.23410389,0.021291574,2010.1189,4429.179,80.67083716970382,2.0940232,0.011827101,3162815.7819787,0.0001202554
692.9297,1.1029943,448.57,4483.763686601922,90.6622980145985,0.05,1643312.7344541799,100,1.0345644,0.010000002,100,4483.763686601922,4483.763686601922,1.0050473e-05,1,0.10757256,0.015106457,2456.0127,4744.9478,90.95043687172529,1.5628603,0.18249623,1643312.7344541799,0.0017639911
683.1675,1.0921711,447.85,4476.526644604975,91.56074764825016,0.05,1638662.786375511,100,0.97895044,0.010000002,100,4476.526644604975,4476.526644604975,1.21578505e-05,1,0.11651402,0.015774246,2472.9346,4750.612,89.256796932386,1.5442206,0.08082961,1638662.786375511,0.00082567625
704.18036,1.0547392,466.08,4659.58748209297,94.81016397985758,0.05,1179219.976166565,100,1.0248005,0.01,100,4659.58748209297,4659.58748209297,6.23368e-06,1,0.06546712,0.014144859,2574.6208,4812.9263,94.18738657475508,1.4495659,0.18761033,1179219.976166565,0.001830701
465.45193,1.0425128,476.61,4764.988462508618,95.92208599178227,0.05,797987.731800012,100,1.0263214,0.01,100,4764.988462508618,4764.988462508618,5.1160123e-06,1,0.053888775,0.0133122625,2651.9185,4877.213,95.17931699588962,1.366266,0.31301916,797987.731800012,0.0030499136
