SampleRenyi2,Step_size,DiscEpRewMean,EpThisIter,J_hat,meankl,optimgain,TimeElapsed,surrgain,EpLenMean,ev_tdlam_before,entropy,entloss,EpisodesSoFar,EpRewMean,Var_J,TimestepsSoFar
inf,1.0,-111.510699037,100,-101.06400299072266,0.00804211,0.0104001,79.94998264312744,0.0104001,500.0,0.00173163414001,8.38941,,100,-310.57415792,30.92342758178711,50000
inf,1.0,-105.967373159,100,-72.93942260742188,0.00790173,0.00995211,142.0002179145813,0.00995211,500.0,0.306247115135,8.28492,,200,-293.8038832,78.40911102294922,100000
inf,1.0,-94.2454930654,100,-105.69367218017578,0.00792385,0.0103363,219.389235496521,0.0103363,500.0,0.376609921455,8.17288,,300,-264.197458414,12.28883171081543,150000
inf,1.0,-83.2944995365,100,-61.07732009887695,0.00806328,0.0101625,298.8056356906891,0.0101625,500.0,0.397957742214,8.04394,,400,-245.014937314,59.35282897949219,200000
inf,1.0,-80.1924943248,100,-63.953495025634766,0.00781488,0.00968805,365.94348669052124,0.00968805,500.0,0.446254909039,7.91398,,500,-231.490901653,9.592580795288086,250000
inf,1.0,-69.8691449869,100,-60.05796432495117,0.00780707,0.0104557,441.92160177230835,0.0104557,500.0,0.491252243519,7.79289,,600,-210.912765915,18.995189666748047,300000
inf,1.0,-67.0692386987,100,-50.211238861083984,0.00723011,0.0101385,518.1127874851227,0.0101385,500.0,0.489053487778,7.66116,,700,-199.457371814,65.08187103271484,350000
inf,1.0,-59.5847766759,100,-70.45592498779297,0.00755335,0.0103551,589.4631245136261,0.0103551,500.0,0.522894382477,7.55866,,800,-175.245608454,0.8982429504394531,400000
inf,1.0,-54.9721034918,100,-39.878700256347656,0.00746937,0.0108741,661.1889731884003,0.0108741,500.0,0.524792671204,7.45053,,900,-163.358803123,2.16998291015625,450000
inf,1.0,-44.3021195043,100,-25.585067749023438,0.00737221,0.0103511,733.0042009353638,0.0103511,500.0,0.519995987415,7.33587,,1000,-133.020812634,25.908843994140625,500000
inf,1.0,-37.587812233,100,-19.51288414001465,0.00731319,0.0113668,803.8769898414612,0.0113668,500.0,0.5613258183,7.23018,,1100,-113.576492216,100.69528198242188,550000
inf,1.0,-32.9038496616,100,-18.532058715820312,0.00718226,0.0119395,875.6907131671906,0.0119395,500.0,0.505829840899,7.13171,,1200,-100.626382756,11.603711128234863,600000
inf,1.0,-27.6855085078,100,-11.765420913696289,0.00664723,0.0111068,946.9205684661865,0.0111068,500.0,0.54083237052,7.04803,,1300,-85.609711015,9.702226638793945,650000
inf,1.0,-23.4884295237,100,-5.78171443939209,0.0067217,0.0113619,1024.738367319107,0.0113619,500.0,0.560116142035,6.96905,,1400,-67.6251572121,24.607574462890625,700000
inf,1.0,-17.9679437543,100,6.261980056762695,0.00651895,0.0123264,1097.1728506088257,0.0123264,500.0,0.588554143906,6.89314,,1500,-54.7467017195,248.16651916503906,750000
inf,1.0,-6.72394820753,100,5.072042465209961,0.00708869,0.0126453,1169.0406212806702,0.0126453,500.0,0.54937940836,6.80193,,1600,-22.3045138704,25.766719818115234,800000
inf,1.0,-1.84519755455,100,33.902339935302734,0.00667483,0.0130678,1246.5864729881287,0.0130678,500.0,0.48653459549,6.73819,,1700,1.71451649346,18.7784481048584,850000
inf,1.0,9.34948690665,100,30.943918228149414,0.00617253,0.0122196,1319.3738431930542,0.0122196,500.0,0.57076343894,6.66653,,1800,17.5630351953,22.83126449584961,900000
inf,1.0,6.45759407181,100,23.399255752563477,0.00611286,0.0131565,1391.6167302131653,0.0131565,500.0,0.713263422251,6.6051,,1900,14.7169258713,93.7486343383789,950000
inf,1.0,20.8259380346,100,37.004425048828125,0.00679994,0.0133836,1463.9042809009552,0.0133836,500.0,0.602647960186,6.5325,,2000,59.2978038108,16.20030403137207,1000000
