IterType,AvgEpLen,eRenyi2,MaxNormIw,VarNormIw,MinVanillaIw,AvgVanillaIw,VarDiscRet,VarVanillaIw,ESSClassic,J,AvgNormIw,Bound,VarRet,MinNormIw,AvgDiscRet,ESSRenyi,VanillaAvgRet,EpsThisIter,MaxVanillaIw,AvgRet,VarJ,BatchSize
1,12.88,31.50647,0.76844424,0.0059320726,,1.2278869,34471.146814192376,89.43822,1.6742702250163373,1347.2561,0.01,549.0149,34471.146814192376,,118.74057484569013,3.173951282637417,118.74057484569013,100,94.35626,118.74057484569013,2786.0676,100
1,49.76,9.17241,0.46195823,0.0022722546,1.3013619e-06,1.3551515,223364.129927894,41.728485,4.256166603160025,1283.3936,0.010000002,727.7418,223364.129927894,9.603073e-09,487.43208512102973,10.90226013413019,487.43208512102973,100,62.60234,487.43208512102973,2446.2048,100
1,79.85,11.541212,0.36827365,0.0018829679,1.7537687e-16,1.0167968,817513.403318141,19.467548,5.0912917990508255,3078.6924,0.010000003,1649.1063,817513.403318141,1.7247975e-18,788.3321595530464,8.664601195289508,788.3321595530464,100,37.44595,788.3321595530464,4565.911,100
1,157.71,10.87823,0.29205143,0.0017387281,,0.71394515,1414729.9674098366,8.862604,5.4904608197062155,4276.7773,0.01,2888.9011,1414729.9674098366,,1566.9383295379498,9.192671889409082,1566.9383295379498,100,20.85087,1566.9383295379498,1874.9982,100
1,223.67,5.8279214,0.5273112,0.0027873581,3.1691247e-08,1.5254161,1690584.5028167882,64.85888,3.4971337384704655,3584.4922,0.009999998,2568.6108,1690584.5028167882,2.0775477e-10,2226.4320205313315,17.158776397093217,2226.4320205313315,100,80.436905,2226.4320205313315,3440.6575,100
1,279.63,8.39574,0.23363422,0.0011962911,1.7606843e-11,0.61296904,1644760.0619916432,4.494837,7.786172548182311,4309.5137,0.009999998,3090.1995,1644760.0619916432,2.8723868e-13,2786.8478897195123,11.91080301391333,2786.8478897195123,100,14.321054,2786.8478897195123,2158.4802,100
,274.11,1.0,0.01,3.5044917e-18,1.0,1.0,2311858.0187472766,,100.0,2732.147,0.009999998,2311.339,2311858.0187472766,0.01,2732.1470594077978,200.0,2732.1470594077978,100,1.0,2732.1470594077978,1512.858,200
1,268.805,4.520277,0.31336787,0.00053823285,0.008019745,1.6394057,2245487.750145872,57.86327,8.919941925978657,3806.9092,0.005,3174.2751,2245487.750145872,2.4459307e-05,2678.7956283135886,44.24507590318183,2678.7956283135886,100,102.74741,2678.7956283135886,5674.3447,200
2,269.32,1.0,0.01,3.5044917e-18,1.0,1.0,2605349.288799498,,100.0,2684.2522,0.009999998,2263.4417,2605349.288799498,0.01,2684.252243098659,200.0,2684.252243098659,100,1.0,2684.252243098659,1606.0186,200
1,287.22,5.0952187,0.15542993,0.00022365018,9.621861e-12,1.2677687,2444857.719058533,14.378357,20.19941846304459,3662.3374,0.005,2990.6719,2444857.719058533,3.794801e-14,2863.100882807113,39.25248618494985,2863.100882807113,100,39.40984,2863.100882807113,3029.5215,200
