InitialReturnMin,MinIW,J_sample_variance,Iteration,EpRewMean,EpThisIter,EpisodesSoFar,InitialReturnMean,MaxIW,InitialBound,TimestepsSoFar,TimeElapsed,Weights,InitialReturnMax,StdIW,ReturnMeanIW,EmpiricalD2,MeanIW,EpLenMean,InitialReturnStd,Bound
-22.61143,,126927.305,1,-107.5568281044892,100,100,-4.386902e-07,2982.7324,16.814732,3540,8.828274965286255,[-0.563 -1.093 -0.809 -1.04   0.   ],10.384639,19.667398,49.24235,inf,0.2220791,35.4,8.24457,49.24235
-5.9184184,,97459.54,2,-112.20997108393736,100,200,8.869171e-07,920.5828,12.140845,9488,27.186288595199585,[-0.564 -1.252 -0.576 -0.734  0.091],4.2742777,9.248117,40.62816,5.7762027e+28,0.19955848,59.48,1.8783072,40.62816
-2.8989105,,,3,-156.6102044148385,100,300,5.5789945e-07,,-3.1505747,52783,126.30473399162292,[-0.584 -1.417 -0.333 -0.766 -0.219],4.4896183,,,inf,,432.95,1.555003,
-11.464354,1.1592572,2402.5247,4,-109.9462549961678,100,400,-2.5939942e-06,97.62791,36.287395,54634,132.78677201271057,[  1.078 -11.773 -41.029  29.449 -27.627],14.270438,19.897266,65.45138,1.8970271,20.058632,18.51,6.6716776,65.45138
-19.943102,1.1638699,2773.9934,5,-110.08747641100456,100,500,-7.05719e-07,174.08073,36.4011,56468,138.91366362571716,[  1.078 -11.773 -41.029  29.449 -27.775],16.699347,24.067421,67.19129,1.947662,21.71219,18.34,7.443399,67.19129
-18.678625,1.1753252,3462.6555,6,-109.68073706890792,100,600,-3.4427642e-06,175.81522,37.420876,58243,145.50301337242126,[  1.078 -11.773 -41.029  29.449 -27.927],15.537284,26.975082,71.78421,2.0585675,24.143263,17.75,7.0904636,71.78421
-15.001013,1.162807,2413.1248,7,-109.88150816088547,100,700,-1.7738342e-06,107.333984,36.642784,60072,151.79274773597717,[  1.078 -11.773 -41.029  29.449 -28.088],14.389489,18.809902,66.85759,1.9269873,20.232016,18.29,6.7808437,66.85759
-13.416485,1.158066,3209.5547,8,-109.87830100207799,100,800,-5.531311e-07,126.823494,35.16232,61959,157.78118586540222,[  1.078 -11.773 -41.029  29.449 -28.239],15.453493,25.476192,64.3816,1.9163299,23.125465,18.87,8.003416,64.3816
-19.426903,1.1673248,3323.7566,9,-109.93568912645138,100,900,1.9073486e-08,141.29738,36.310127,63785,164.28823900222778,[  1.078 -11.773 -41.029  29.449 -28.386],15.363685,26.817177,68.36089,1.9920626,23.674326,18.26,7.7159038,68.36089
-16.335056,1.1633794,2816.0806,10,-110.0042325918129,100,1000,-1.0871887e-06,199.64014,36.555367,65619,170.14335775375366,[  1.078 -11.773 -41.029  29.449 -28.541],16.844446,27.729149,66.92832,1.9404069,21.8732,18.34,6.7803645,66.92832
-16.747562,1.1593081,2364.6099,11,-110.07985719167678,100,1100,-1.3732911e-06,97.760765,36.058178,67474,176.88440442085266,[  1.078 -11.773 -41.029  29.449 -28.692],13.907574,18.10965,65.5016,1.9010744,20.030653,18.55,7.239114,65.5016
-13.389986,1.1758767,2428.9092,12,-109.52603175247239,100,1200,-2.374649e-06,93.35339,38.02456,69226,183.27658224105835,[  1.078 -11.773 -41.029  29.449 -28.84 ],13.332602,17.464117,72.288506,2.0370095,21.065073,17.52,6.402186,72.288506
-14.194078,1.1520383,2220.39,13,-110.36126556794775,100,1300,1.5258789e-06,92.67073,35.40827,71131,190.07332015037537,[  1.078 -11.773 -41.029  29.449 -29.002],13.849952,17.201422,62.555645,1.8414494,19.211472,19.05,7.136091,62.555645
-16.261648,1.1592064,2972.3865,14,-110.09317899803955,100,1400,-2.2125244e-06,151.86778,35.696083,73003,196.8844141960144,[  1.078 -11.773 -41.029  29.449 -29.144],15.947131,24.646563,65.05196,1.9172139,22.256178,18.72,7.4989243,65.05196
-12.324789,1.1748141,3199.804,15,-110.00493534203703,100,1500,2.2888185e-06,203.69576,37.69979,74776,203.02868700027466,[  1.078 -11.773 -41.029  29.449 -29.291],17.132942,28.445822,71.687004,2.0447571,23.287766,17.73,6.3562026,71.687004
-18.969973,1.1687728,2252.5908,16,-110.07941325864131,100,1600,-2.6130676e-06,147.01572,37.581223,76564,209.49101901054382,[  1.078 -11.773 -41.029  29.449 -29.452],15.577433,20.18441,69.56311,1.9703336,20.201582,17.88,6.2804604,69.56311
