MaxIW,ReturnMeanIW,MeanIW,TimestepsSoFar,J_sample_variance,TimeElapsed,EpLenMean,MinIW,EmpiricalD2,InitialReturnMax,InitialReturnStd,InitialReturnMin,StdIW,Iteration,EpThisIter,InitialBound,EpRewMean,Bound,InitialReturnMean,EpisodesSoFar,Weights
562.2306,29.296068,0.42547324,4573,13397.033,10.170645236968994,45.73,3.0071225e-13,841597500.0,5.1901965,2.0974436,-7.2581263,4.3352356,1,100,18.177803,-121.62483749719935,29.296068,-4.959106e-07,100,[-0.365 -0.68  -0.484 -0.253  0.   ]
3829.0898,85.564186,9.072601,8789,355265.25,24.504196166992188,42.16,8.2159363e-14,18512612.0,5.3110476,2.3154354,-6.6252346,92.49526,2,100,20.406235,-125.73443666965393,85.564186,-1.7166138e-07,200,[-0.313 -0.487 -0.408 -0.075 -0.153]
1140.4697,41.281254,0.53213596,13340,21701.037,39.76120662689209,45.51,1.4192279e-11,1.6342857e+16,3.3104377,1.6463729,-4.8583174,13.133815,3,100,20.215084,-131.92647308578614,41.281254,-5.7220458e-08,300,[-0.145 -0.631 -0.358 -0.013 -0.388]
217.50818,15.952019,0.29648283,21471,612.9252,62.33320927619934,81.31,4.1040826e-10,67324.164,4.380735,1.5047812,-1.9284935,3.6649804,4,100,11.789023,-161.44408194510788,15.952019,1.1920929e-07,400,[-0.211 -0.843 -0.322  0.006 -0.347]
13055.627,22.031593,4.1824827,27216,4146.553,79.92686319351196,57.45,3.4931402e-15,79343336.0,4.234846,1.3984671,-2.378767,165.99661,5,100,16.445232,-141.2754244617062,22.031593,1.5258789e-07,500,[-0.243 -0.818 -0.398  0.007 -0.516]
246.19151,15.704434,1.7040372,35269,755.4158,102.23257875442505,80.53,3.6110464e-28,9.770968e+22,3.6356878,1.2697812,-1.894517,16.844057,6,100,11.83342,-160.5327879204432,15.704434,-3.862381e-07,600,[-0.324 -0.853 -0.387  0.071 -0.686]
4727.1543,14.268543,0.22952104,46889,5230.0146,131.1014220714569,116.2,,inf,3.8915005,1.3737452,-1.5335407,24.34154,7,100,8.289671,-192.49184620593797,14.268543,-2.5749208e-07,700,[-0.408 -0.914 -0.404  0.187 -0.799]
1454.2917,32.521126,0.84870744,53707,14709.276,151.59391951560974,68.18,8.935265e-16,50414444000000.0,3.4374247,1.3182092,-6.1117735,15.079046,8,100,14.448366,-156.60053069784274,32.521126,6.4849854e-07,800,[-0.349 -0.757 -0.398  0.323 -0.829]
656.3179,18.766949,2.8983653,59205,129.25792,168.2155990600586,54.98,1.1005454e-06,381.1536,4.0351734,3.3180528,-12.507049,21.69472,9,100,16.400349,-142.11461251470513,18.766949,3.2424927e-07,900,[-0.354 -0.761 -0.48   0.322 -0.821]
70.39779,17.505857,0.27330872,65194,685.67017,186.2708933353424,59.89,6.1714815e-07,17689.623,3.5966134,2.4015765,-13.423612,1.3216113,10,100,15.584164,-146.05953693847357,17.505857,3.671646e-07,1000,[-0.447 -0.808 -0.52   0.363 -0.921]
539.1754,23.081919,0.6877311,71865,3081.115,207.1019549369812,66.71,8.525295e-19,1.069496e+34,3.2119336,1.540992,-7.8422127,7.943965,11,100,14.339752,-152.93915211798557,23.081919,5.2452087e-08,1100,[-0.455 -0.828 -0.483  0.357 -0.958]
9.636016,14.672265,1.004145,78564,69.3439,227.05758690834045,66.99,0.01728946,4.545081,3.6132174,2.3672688,-11.262194,1.371454,12,100,14.2409115,-156.09423721972627,14.672265,-4.4345856e-07,1200,[-0.376 -0.66  -0.393  0.391 -0.969]
