TimestepsSoFar,EpisodesSoFar,InitialReturnMin,StdIW,Weights,MaxIW,Iteration,InitialReturnMax,EpThisIter,EpRewMean,MeanIW,J_sample_variance,EmpiricalD2,TimeElapsed,MinIW,EpLenMean,InitialBound,InitialReturnMean,Bound,InitialReturnStd,ReturnMeanIW
4609,100,-2.4639435,152.95297,[ 0.579 -0.554  0.227  0.402  0.   ],1563.8577,1,6.4169464,100,-141.8229098366061,15.234447,734165800.0,nan,10.347397327423096,3.5890798e-17,46.09,208.54071,-3.8146973e-07,2759.238,2.1648557,2759.238
8351,200,-2.1305695,14.886414,[ 0.608 -0.271  0.084  0.472  0.396],230.86409,2,3.390068,100,-133.6946630013371,1.9708606,10708360.0,1.4729642e+21,24.739034175872803,5.1200644e-08,37.42,257.3396,2.4414062e-06,490.67865,1.3947877,490.67865
11364,300,-2.8014755,16.184937,[ 0.555 -0.211  0.317  0.22   0.53 ],321.755,3,7.814949,100,-124.91716379406658,2.5754604,16658080.0,371012.12,36.47889518737793,8.034775e-10,30.13,315.55405,8.392334e-07,725.7256,2.1038299,725.7256
14265,400,-2.6063232,5.8771763,[ 0.565 -0.03   0.121  0.138  0.329],57.88594,4,5.5790634,100,-124.23078738034187,1.5097551,1848902.8,155.20688,47.45693325996399,9.998068e-06,29.01,328.72766,8.392334e-06,450.47534,1.8378927,450.47534
17001,500,-3.6298447,121.101555,[0.618 0.079 0.222 0.223 0.272],1664.416,5,8.144325,100,-121.66783841339293,12.030587,1326726000.0,5.0115367e+31,57.03465127944946,,27.36,345.9134,8.850097e-06,3672.1714,1.9767567,3672.1714
19244,600,-2.4155045,6.9314637,[ 0.59   0.134 -0.162  0.562 -0.25 ],68.42877,6,3.2932205,100,-117.84723521238162,1.7351111,6598797.0,174.65695,69.20657205581665,0.0009795749,22.43,425.20068,-3.8146973e-06,697.13367,1.1464888,697.13367
21389,700,-2.5738678,2.5482173,[ 0.609  0.202 -0.202  0.506 -0.275],25.765167,7,4.5130386,100,-116.55309869177721,1.1894314,796163.7,8.786115,78.95433688163757,0.0015383938,21.45,443.32507,-3.890991e-06,504.5849,1.2801198,504.5849
23627,800,-2.9495697,8.038245,[ 0.602  0.236 -0.243  0.479 -0.284],87.6293,8,2.5944366,100,-117.17405160973911,1.4826647,8986179.0,94.94499,88.52313876152039,3.6185952e-06,22.38,423.8953,1.3046265e-05,607.0469,1.173873,607.0469
25648,900,-2.6152267,2.867063,[ 0.641  0.327 -0.24   0.57  -0.443],53.3372,9,2.76931,100,-114.98646650541741,1.280539,1501060.6,53.262238,98.17516016960144,0.0010311094,20.21,469.02112,-8.69751e-06,590.7571,1.0807412,590.7571
27759,1000,-2.9219284,9.823251,[ 0.636  0.25  -0.273  0.53  -0.434],100.41093,10,2.61232,100,-115.74021705646679,1.7090914,12446110.0,161.61668,108.70222759246826,6.690378e-07,21.11,448.5899,-8.010864e-06,710.37274,1.2077866,710.37274
