InitialReturnMin,EpLenMean,MinIW,InitialReturnMax,InitialReturnMean,StdIW,EpisodesSoFar,MeanIW,TimestepsSoFar,Weights,EmpiricalD2,EpRewMean,ReturnMeanIW,InitialReturnStd,Bound,Iteration,EpThisIter,J_sample_variance,MaxIW,TimeElapsed,InitialBound
-4.7708664,17.45,0.0032747702,9.20005,3.7384034e-06,2.506186,100,1.3515253,1745,[-0.689  0.919 -0.673  0.288  0.   ],5.3659267,-108.67197648780628,692.88257,3.275067,692.88257,1,100,1434271.0,22.516647,4.233006238937378,525.65454
-4.171852,17.21,8.247619e-07,10.943459,-8.621216e-06,18.012444,200,3.0381432,3466,[-0.622  0.988 -0.57   0.189 -0.078],89607.94,-108.79139522546413,1496.1517,2.8114803,1496.1517,2,100,69634430.0,166.99706,14.505099058151245,534.6533
-4.1198425,17.02,8.673446e-09,7.577011,-2.9754638e-06,25.250475,300,4.238955,5168,[-0.676  0.826 -0.555  0.113 -0.149],1170.1115,-108.65508890022991,2113.4214,2.7635803,2113.4214,3,100,149845230.0,236.43616,25.739349842071533,540.82434
-4.689453,16.84,0.23316364,10.690422,2.5177003e-06,0.48747808,400,1.0583692,6852,[-0.79   0.742 -0.606  0.228 -0.361],1.3289733,-108.0617689822402,575.6549,3.1235845,575.6549,4,100,61956.465,4.3458495,36.308085203170776,544.4931
-4.2978287,16.26,0.0028165947,10.163002,4.5776366e-07,3.2192433,500,1.1927794,8478,[-0.8    0.729 -0.614  0.195 -0.35 ],21.52073,-107.66377016589135,661.65717,2.857246,661.65717,5,100,2648662.5,26.442377,44.11603665351868,564.65845
-3.6764145,16.26,3.2730372e-06,13.74263,5.264282e-06,29.722382,600,3.5298069,10104,[-0.743  0.738 -0.662  0.178 -0.383],10086.829,-108.47642110789302,1782.6627,2.9973235,1782.6627,6,100,204424160.0,303.78726,53.16927433013916,568.9111
-3.785675,16.59,0.002929524,8.171577,1.4495849e-06,1.3101553,700,1.2382002,11763,[-0.711  0.802 -0.728  0.181 -0.407],4.804465,-108.36937995857835,673.7701,2.896399,673.7701,7,100,448785.4,7.2136564,62.6316442489624,555.4438
-4.611145,16.48,0.4116532,8.470879,1.04522705e-05,0.370698,800,1.0612724,13411,[-0.75   0.729 -0.777  0.113 -0.44 ],1.1825149,-107.82166229241753,587.5506,3.0443468,587.5506,8,100,35793.355,3.1238375,70.77920818328857,556.8821
-4.6524734,16.36,4.0554433e-20,9.593658,-6.942749e-06,112.55337,900,11.368385,15047,[-0.69   0.722 -0.775  0.123 -0.437],641226500.0,-108.07198608984092,5750.7344,2.9446204,5750.7344,9,100,3099413500.0,1147.2998,79.78233361244202,562.8241
-3.8315125,16.54,0.0002582569,8.908173,-1.6021728e-06,8.639509,1000,1.6402565,16701,[-0.621  0.902 -0.696  0.026 -0.771],339.73294,-108.16175839994322,835.96277,2.5533514,835.96277,10,100,15533911.0,77.800575,91.1924033164978,556.2958
-3.8918762,16.41,0.0022358706,9.358711,-3.1280517e-06,5.060187,1100,1.3259803,18342,[-0.666  0.892 -0.643 -0.004 -0.824],86.42229,-108.22623282538687,730.7998,2.7312074,730.7998,11,100,6799074.5,63.957657,99.7710189819336,561.682
-3.758583,16.69,0.00031738495,7.632126,1.0681152e-06,3.6531289,1200,1.2492089,20011,[-0.673  0.847 -0.661  0.031 -0.805],5693.215,-108.81617377662369,691.84546,2.396497,691.84546,12,100,3789580.2,37.21482,109.49700355529785,553.9207
-4.0090027,16.0,7.380494e-05,10.63044,2.2888185e-06,7.653264,1300,1.5045885,21611,[-0.588  0.916 -0.56  -0.008 -0.862],42895.95,-107.67042470249439,844.86316,2.6695912,844.86316,13,100,15906548.0,73.32397,117.69557976722717,575.1599
-5.0709534,17.16,3.2932979e-10,10.908585,-4.8065185e-06,232.77254,1400,23.091513,23327,[-0.63   0.867 -0.546 -0.042 -0.838],69182603000000.0,-108.16032613473728,10784.276,2.988719,10784.276,14,100,11463675000.0,2377.146,126.25346231460571,533.3149
-4.599701,16.34,0.004759288,12.399033,2.5939942e-06,1.7384641,1500,1.2562593,24961,[-0.6    0.912 -0.63   0.006 -0.809],6.2118034,-107.72321334333455,696.021,3.015056,696.021,15,100,799677.5,14.403296,137.76793575286865,561.82434
-4.2155914,16.0,1.2582487e-08,7.6681213,9.002685e-06,38.61736,1600,4.355595,26561,[-0.614  0.915 -0.635 -0.036 -0.833],4305525000.0,-107.56226439134889,2305.6387,2.597115,2305.6387,16,100,396397060.0,393.32925,146.23910570144653,574.5809
-4.4912033,16.96,0.00023535559,9.770454,1.8310546e-06,4.1336637,1700,1.4322664,28257,[-0.524  0.96  -0.584  0.075 -0.8  ],2001.3727,-108.32301344866165,765.77435,3.0367615,765.77435,17,100,4475860.5,57.90786,156.96345329284668,541.36774
-3.9678268,16.56,0.034564834,9.292084,-4.577637e-06,1.1856567,1800,1.0789429,29913,[-0.509  0.953 -0.626  0.168 -0.809],2.4241354,-108.15934252227518,599.4892,2.8136759,599.4892,18,100,378572.56,11.155008,166.77106475830078,555.52325
-4.11467,16.68,1.6543042e-10,8.848572,-4.9591063e-06,15.1275,1900,2.0473487,31581,[-0.526  0.947 -0.641  0.14  -0.85 ],99495.58,-108.2466595558555,1043.4185,2.9821732,1043.4185,19,100,50840770.0,152.98819,175.5050663948059,551.4004
-4.0434647,16.26,8.662386e-05,8.472176,3.967285e-06,8.010942,2000,1.7603353,33207,[-0.46   0.986 -0.685  0.175 -1.016],209.33755,-108.24188800096933,965.55255,2.6732466,965.55255,20,100,16953678.0,79.35265,185.2552855014801,567.6836
-4.271179,16.16,5.148896e-06,11.37587,-2.0599366e-06,18.111708,2100,2.7175138,34823,[-0.461  0.982 -0.636  0.151 -1.042],38334.977,-107.86833788613079,1470.983,2.8290427,1470.983,21,100,87648610.0,247.04561,195.51968479156494,569.74396
-4.5213547,16.98,8.761223e-06,7.34568,-7.171631e-06,9.811013,2200,1.9936497,36521,[-0.485  1.023 -0.68   0.164 -1.055],9907571.0,-108.1561097859528,1005.1808,2.9696567,1005.1808,22,100,20987960.0,128.00922,204.0102298259735,539.81476
-4.267494,16.32,0.00019611433,8.651245,2.9754638e-06,9.280775,2300,1.6838045,38153,[-0.549  0.959 -0.697  0.14  -1.052],3609.9216,-107.93277487274636,930.95795,2.6457686,930.95795,23,100,24750546.0,150.69211,214.57825016975403,563.6855
-4.2910004,16.63,4.0212943e-18,13.030815,7.476807e-06,55.09006,2400,5.6620717,39816,[-0.516  0.966 -0.704  0.204 -0.981],2.3870806e+35,-108.43244140477437,2826.2688,2.7828207,2826.2688,24,100,712060500.0,562.3861,225.47842717170715,554.23975
