Iteration,ReturnMeanIW,TimestepsSoFar,EpRewMean,MeanIW,MaxIW,StdIW,EpisodesSoFar,TimeElapsed,InitialReturnStd,MinIW,Bound,InitialBound,EmpiricalD2,EpThisIter,InitialReturnMean,InitialReturnMin,InitialReturnMax,J_sample_variance,Weights,EpLenMean
1,144.61475,3509,-108.1894935537418,1.1206825,25371.85,126.23428,100,8.219613790512085,7.9532566,,144.61475,17.597498,inf,100,1.3446808e-06,-20.043964,10.9685335,1230831.0,[-0.822 -0.493 -0.474 -0.749  0.   ],35.09
2,159.44319,9145,-102.09551438032416,1.6156119,17680.998,111.27799,200,25.578662633895874,2.9652076,,159.44319,11.349269,inf,100,-4.386902e-07,-14.684105,4.523437,2322119.0,[-0.893 -0.649 -0.208 -0.741 -0.293],56.36
3,-2.9415065e-07,56541,-35.97339273027898,3.606701e-09,9.349272e-05,5.2531607e-07,300,119.49987602233887,1.5782268,,-2.9415065e-07,-5.765196,inf,100,-4.029274e-07,-3.1170597,4.8221602,6.683078e-12,[-0.92  -0.706 -0.085 -0.556 -0.463],473.96
4,43.827747,58182,-107.98458755394529,0.35942578,88.49022,1.1705247,400,125.06584572792053,5.1730366,0.00017309637,43.827747,40.311657,1.5637785e+17,100,1.1062622e-06,-13.904436,18.059319,2592.048,[-0.798 -0.76  -2.169 -0.907 -0.246],16.41
5,51.081837,59866,-108.18340578678259,1.727994,72.075195,6.6993732,500,133.08968687057495,5.549849,0.00020411088,51.081837,39.231163,125941.97,100,-3.0517577e-07,-17.99731,18.85421,4157.318,[-0.976 -0.876 -2.189 -0.92  -0.018],16.84
6,48.283833,61614,-108.7362819168567,0.20037079,34.856495,0.80362207,600,140.87042665481567,5.093794,5.9824295e-21,48.283833,38.318626,1136515500000000.0,100,-2.9563903e-06,-15.74358,17.146637,2676.929,[-0.813 -0.842 -2.08  -1.112 -0.134],17.48
7,43.425125,63527,-108.34899043881258,0.37294593,83.07561,1.4832442,700,149.53439235687256,7.520094,2.0497782e-11,43.425125,33.897858,1203590900.0,100,-2.0980835e-06,-16.971186,19.679565,4050.8157,[-0.875 -0.938 -1.963 -1.307 -0.327],19.13
8,40.73961,65315,-108.61033418848224,1.1421415,53.235413,1.915548,800,157.24496865272522,6.956132,0.0011683103,40.73961,36.355442,62.745747,100,4.7683716e-07,-15.3660965,20.388233,1806.0614,[-0.828 -0.793 -1.893 -1.4   -0.484],17.88
9,38.070675,67154,-108.1358636044473,0.4883421,59.18931,1.7867407,900,165.5195119380951,6.745184,1.8787496e-06,38.070675,35.529106,6585.5386,100,3.6239624e-07,-15.676338,18.528719,3366.1494,[-0.954 -0.844 -1.968 -1.464 -0.528],18.39
10,238.6562,69061,-108.1420292588274,0.26814148,1147.5559,13.270647,1000,173.49163794517517,6.78778,2.3227879e-33,238.6562,34.315994,3.0371922e+26,100,6.1035155e-07,-13.882471,17.968588,4963368.0,[-0.904 -0.888 -1.898 -1.455 -0.524],19.07
11,267.62735,70921,-108.22807880135385,1.8412062,4281.226,29.35903,1100,183.53538990020752,6.2435455,7.6168563e-25,267.62735,35.377758,9.2999666e+26,100,-2.269745e-06,-10.332626,16.22989,4035798.5,[-0.896 -1.005 -2.138 -1.649 -0.716],18.6
12,37.758667,72982,-107.29259100547603,0.4323886,47.71551,1.2296478,1200,194.5201497077942,8.069199,1.2091716e-06,37.758667,30.98523,1833.2383,100,-1.7166138e-07,-12.418898,17.45824,1447.3412,[-0.927 -1.262 -2.294 -1.859 -0.857],20.61
13,72.27952,74876,-108.47531278096255,0.88682705,580.26306,6.5556135,1300,202.1212193965912,7.766127,1.325707e-08,72.27952,33.852417,1618434.5,100,-9.536743e-09,-14.528971,19.446974,115301.51,[-0.904 -1.25  -2.347 -1.848 -0.879],18.94
14,47.61681,76803,-108.17590326840246,0.6731792,94.8334,2.815575,1400,210.6434247493744,7.757756,7.1512823e-06,47.61681,33.567,2797.1687,100,3.2234193e-06,-17.13131,17.792067,7161.786,[-0.916 -1.249 -2.448 -1.847 -0.953],19.27
15,337.04733,78884,-107.72463587362589,4.5265455,79403.08,372.3668,1500,219.45413064956665,7.9972663,2.7126232e-17,337.04733,30.620605,9.9619915e+26,100,1.6212464e-06,-14.966906,18.102467,10053430.0,[-0.918 -1.247 -2.377 -1.852 -1.022],20.81
16,36.01339,80751,-107.86263600355286,0.5348399,24.918589,0.95697397,1600,227.99225163459778,7.280191,0.0007264799,36.01339,34.27722,43.768883,100,-2.1743774e-06,-15.546419,20.779972,441.41727,[-0.874 -1.33  -2.478 -1.983 -0.956],18.67
17,35.8971,82713,-106.76662747128036,0.35219297,34.50872,0.8292017,1700,236.73639297485352,8.845608,0.00035168856,35.8971,31.564327,1403.5991,100,1.66893e-06,-16.925365,20.057598,1211.6542,[-0.854 -1.368 -2.458 -1.991 -0.956],19.62
18,51.79951,84647,-107.24263759569067,0.86443,375.85236,3.4289317,1800,244.2530448436737,8.029724,1.5249434e-07,51.79951,32.838352,77100.67,100,8.201599e-07,-19.343615,19.38572,15748.708,[-0.825 -1.317 -2.455 -1.998 -0.89 ],19.34
19,66.8702,86652,-106.90588641157632,1.2615247,446.91412,11.868346,1900,252.272620677948,8.126555,1.6431791e-07,66.8702,31.20242,206570.16,100,-1.077652e-06,-16.99782,19.884361,129553.45,[-0.849 -1.371 -2.497 -2.084 -0.922],20.05
20,97.59002,88476,-107.85585685481064,0.111673675,1842.4066,8.594512,2000,260.86307096481323,6.27954,3.056043e-11,97.59002,35.865223,4.549591e+20,100,-2.0980835e-07,-12.455721,19.357086,443221.28,[-0.857 -1.372 -2.584 -2.085 -0.97 ],18.24
21,44.722412,90280,-107.79460370428446,0.38813657,75.50794,1.5347936,2100,269.6887192726135,6.8514433,1.751213e-07,44.722412,35.796383,41598.65,100,1.6593933e-06,-13.190485,19.601974,1684.3624,[-0.795 -1.254 -2.524 -2.155 -0.906],18.04
22,64.51,92149,-107.11757161999763,0.087800875,773.1681,3.617669,2200,277.47811937332153,7.3851495,,64.51,33.593185,inf,100,8.392334e-07,-19.517004,21.434036,45218.523,[-0.82  -1.3   -2.508 -2.131 -0.923],18.69
23,52.32582,94012,-106.93423700332069,0.03091066,140.3523,0.99547577,2300,285.86397099494934,7.7718544,6.339623e-33,52.32582,34.31439,inf,100,-7.2479247e-07,-16.947086,18.850334,21519.842,[-0.777 -1.389 -2.591 -1.949 -1.103],18.63
24,48.23223,95848,-108.29009360703954,0.63243663,50.40869,3.235901,2400,293.5076117515564,7.0675416,6.905851e-08,48.23223,35.32557,447995070.0,100,-4.386902e-07,-12.294525,20.075636,5294.569,[-0.729 -1.308 -2.676 -1.875 -1.147],18.36
25,90.56839,97672,-107.67819970824812,0.03855981,1031.9349,5.1938095,2500,300.4756588935852,7.1196747,,90.56839,35.450577,inf,100,-5.912781e-07,-12.448572,18.193417,339584.4,[-0.756 -1.421 -2.736 -1.886 -1.113],18.24
26,665.14874,99476,-108.1946583089003,4.3483267,4905.5674,52.22513,2600,308.132287979126,6.182724,5.2734775e-21,665.14874,36.59746,inf,100,-6.8664554e-07,-12.891424,19.28042,38253000.0,[-0.806 -1.359 -2.936 -1.941 -1.226],18.04
27,324.99637,101220,-107.94941564285428,0.6912034,4718.3037,24.558264,2700,318.9689631462097,6.108261,2.726038e-38,324.99637,37.759323,inf,100,1.9073486e-08,-18.047318,17.8051,7749070.0,[-0.869 -1.605 -3.139 -1.952 -1.152],17.44
