Weights,EpThisIter,TimeElapsed,InitialReturnMax,InitialReturnStd,InitialReturnMin,ReturnMeanIW,InitialReturnMean,EpisodesSoFar,MinIW,TimestepsSoFar,EmpiricalD2,J_sample_variance,EpRewMean,Bound,EpLenMean,MaxIW,InitialBound,MeanIW,Iteration,StdIW
[-0.563 -1.093 -0.809 -1.04   0.   ],100,7.586486101150513,10.384639,8.24457,-22.61143,693.845,-4.386902e-07,100,2.224184e-07,3540,3748.7913,19143292.0,-107.5568281044892,693.845,35.4,340.92212,178.07773,3.6980705,1,23.835163
[-0.637 -1.068 -0.848 -0.896 -0.075],100,22.216339111328125,11.86297,7.692053,-14.447081,344.56732,-2.861023e-07,200,0.009513571,6968,21.623537,1637051.5,-107.98077596673373,344.56732,34.28,70.92882,184.82478,1.8095034,2,6.851552
[-0.752 -1.117 -0.854 -0.894 -0.084],100,35.812283515930176,10.793522,7.383197,-21.07808,864.353,-1.2493133e-06,300,1.2267033e-06,10801,889135040.0,69677710.0,-106.18848755371205,864.353,38.33,1122.7494,148.23933,5.476014,3,53.793972
[-0.885 -1.22  -1.038 -1.031 -0.054],100,48.939453125,10.732697,7.8026342,-19.696003,1096.2145,-3.2424927e-07,400,5.6093154e-14,14486,614174500.0,112410320.0,-108.55198880416134,1096.2145,36.85,668.8258,160.41092,6.4131446,4,63.772827
[-0.751 -1.347 -0.977 -0.978 -0.202],100,64.85852289199829,8.184943,6.143489,-15.618294,129.10727,1.335144e-07,500,0.02964643,18796,2.9156814,54306.76,-106.62266222316494,129.10727,43.1,27.142427,107.984535,1.1786435,5,2.0140674
[-0.755 -1.274 -0.973 -0.933 -0.206],100,76.55333852767944,12.099731,7.478423,-19.312931,3426.1106,-1.5544891e-06,600,7.6034307e-06,22145,174633920.0,1096545400.0,-107.50648232277966,3426.1106,33.49,2012.3597,190.17377,16.877403,6,170.19414
[-0.884 -1.222 -0.872 -0.913 -0.129],100,92.85978364944458,7.929452,6.6040945,-23.086176,249.75693,3.8146972e-08,700,5.975114e-06,26745,5171.937,3234030.8,-105.54413986820455,249.75693,46.0,258.6442,97.71343,2.4170563,7,17.616419
[-0.881 -1.137 -0.822 -0.778 -0.148],100,107.8846127986908,7.2695007,5.436031,-13.316838,599.55646,-6.198883e-07,800,3.0384742e-10,31018,914761.06,17731588.0,-106.58601732905963,599.55646,42.73,449.97794,113.12406,5.5103464,8,39.554462
[-0.835 -1.069 -0.903 -0.764 -0.226],100,122.82988476753235,7.559492,6.412524,-17.655659,2957.2805,4.7683716e-07,900,1.0015388e-05,35284,10471.25,821029100.0,-108.13375208129055,2957.2805,42.66,4490.531,108.093956,25.0724,9,248.04395
[-0.973 -1.16  -1.016 -0.856 -0.19 ],100,138.01640820503235,9.8820505,7.5498295,-18.928167,161.01501,-8.010864e-07,1000,0.021495074,39239,8.234258,69104.336,-107.71113099905291,161.01501,39.55,15.510268,140.20468,1.1423361,10,1.8022062
[-0.994 -1.122 -1.038 -0.798 -0.144],100,149.84914708137512,9.533924,7.964537,-20.90666,529.599,4.386902e-07,1100,8.492264e-09,42972,76545.914,15177292.0,-107.81249959762188,529.599,37.33,260.06354,152.61833,3.30579,11,24.768856
[-1.139 -1.321 -1.236 -0.802 -0.321],100,162.90965461730957,10.259514,7.5316668,-14.956674,3529.2278,2.002716e-07,1200,2.0896584e-09,46678,90201896.0,1176452600.0,-107.16357421213208,3529.2278,37.06,5270.631,154.37155,21.34152,12,214.42857
