Iteration,TimeElapsed,InitialBound,InitialReturnMax,EpRewMean,Bound,TimestepsSoFar,MeanIW,EmpiricalD2,InitialReturnMean,StdIW,EpThisIter,InitialReturnMin,EpLenMean,EpisodesSoFar,InitialReturnStd,MinIW,MaxIW,ReturnMeanIW,J_sample_variance,Weights
1,10.462600946426392,83.627144,5.1901965,-121.62483749719935,2015.7444,4573,22.05126,19192.54,-4.959106e-07,226.83913,100,-7.2581263,45.73,100,2.0974436,4.7324455e-10,6480.7485,2015.7444,399614270.0,[-0.365 -0.68  -0.484 -0.253  0.   ]
2,29.341637134552002,72.94027,3.839601,-117.46444625948372,254.80399,9454,3.274622,1219421.0,3.671646e-07,30.847807,100,-4.5411105,48.81,200,1.7386389,7.7714645e-08,325.27496,254.80399,5609229.5,[-0.33  -0.702 -0.42  -0.344 -0.29 ]
3,45.58770799636841,101.78868,5.971099,-112.5377735402064,1245.3053,13706,11.344792,1836848800.0,4.959106e-07,83.83235,100,-15.624575,42.52,300,4.5905023,2.9896435e-05,1551.4226,1245.3053,80702110.0,[-0.303 -0.725 -0.476 -0.432 -0.33 ]
4,64.70507097244263,79.8644,5.008957,-115.64343335059571,701.25256,18333,8.070435,92327.37,5.626678e-07,70.92789,100,-12.599577,46.27,400,3.0261025,2.5099841e-06,766.6247,701.25256,36102964.0,[-0.152 -0.82  -0.41  -0.443 -0.185]
5,83.6091251373291,59.907986,3.9446197,-111.64267168193925,1039.8928,23622,15.648473,27122.318,-2.3841858e-08,160.5385,100,-7.6071362,52.89,500,2.0006683,5.9526306e-10,1719.9497,1039.8928,104193224.0,[-0.173 -0.895 -0.381 -0.565 -0.249]
6,104.01410818099976,49.805893,3.9693205,-109.39674457466454,265.8505,29492,4.842667,71264.0,3.0517577e-07,32.59534,100,-4.2670064,58.7,600,1.680044,1.0559923e-05,403.57,265.8505,3039914.2,[-0.323 -0.889 -0.369 -0.583 -0.408]
7,122.7776608467102,59.398327,4.5857544,-111.05192259204362,235.74855,34857,3.705107,343337.0,3.5762787e-07,24.052519,100,-12.403759,53.65,700,2.7583385,3.958289e-07,512.7992,235.74855,2398532.8,[-0.211 -0.957 -0.402 -0.598 -0.354]
8,138.8865795135498,77.1484,4.3812504,-112.60813513489914,170.42242,39535,2.1314526,1189.2876,4.386902e-07,11.675318,100,-11.244786,46.78,800,2.838914,9.102632e-06,127.87086,170.42242,908991.5,[-0.18  -0.942 -0.465 -0.54  -0.354]
9,156.44773888587952,85.18227,4.9822555,-110.12497295234225,104.5428,44198,1.1996833,425.7012,1.2874604e-07,5.0509114,100,-18.911438,46.63,900,3.9396439,0.00029954925,121.31915,104.5428,205494.39,[-0.172 -0.912 -0.417 -0.603 -0.39 ]
10,172.61162996292114,63.69399,3.7384725,-111.70894721656111,138.5902,49307,2.0600796,39999.97,4.6253206e-07,14.666697,100,-6.383773,51.09,1000,2.0247447,7.70057e-07,237.65225,138.5902,1008426.25,[-0.188 -0.952 -0.416 -0.565 -0.402]
11,189.26742339134216,71.08227,4.0635486,-118.35252248167518,4493.6626,54163,57.62885,5593731000.0,-5.0544736e-07,587.4938,100,-4.593923,48.56,1100,1.7113485,6.963801e-11,7784.437,4493.6626,2014639000.0,[-0.154 -0.961 -0.438 -0.492 -0.411]
12,205.99340152740479,96.15928,6.500748,-114.85877970715732,1523.3495,58280,14.685,824686400.0,4.4822693e-07,149.7976,100,-9.319524,41.17,1200,3.0969698,7.4630257e-06,1579.7384,1523.3495,225620400.0,[-0.159 -1.029 -0.593 -0.477 -0.45 ]
13,222.0386505126953,132.40083,6.0515747,-114.92263610419148,2661.4954,61903,18.9265,108747060.0,8.869171e-07,193.52812,100,-12.11732,36.23,1300,3.8300562,5.7073905e-08,2024.6691,2661.4954,696514900.0,[-0.174 -1.156 -0.745 -0.483 -0.305]
14,241.00568222999573,82.805,4.6178446,-119.19273712469581,173.79599,66243,2.0317593,207.12451,-8.106232e-08,9.39272,100,-8.099078,43.4,1400,2.1117475,1.1006079e-05,124.54754,173.79599,666010.56,[-0.187 -1.277 -0.69  -0.489 -0.282]
15,257.0932066440582,76.052956,3.475834,-122.41935908500045,96.39654,70934,1.245503,2.8273814,2.7656554e-07,1.9436086,100,-2.9329267,46.91,1500,1.5444382,0.0712624,14.107696,96.39654,24559.195,[-0.168 -1.334 -0.634 -0.488 -0.318]
16,272.9200105667114,76.60353,4.847904,-122.65759352019607,1078.4906,75613,12.90631,15627017.0,4.386902e-07,124.2055,100,-3.865038,46.79,1600,1.6217978,3.9321733e-11,3810.4788,1078.4906,98608550.0,[-0.167 -1.294 -0.616 -0.484 -0.23 ]
17,290.9311294555664,77.70012,3.3769674,-125.03345889744377,179.61314,80274,2.1958096,53821.78,2.002716e-07,16.688446,100,-2.6535568,46.61,1700,1.4588052,1.9972445e-06,231.66028,179.61314,1881192.8,[-0.159 -1.322 -0.623 -0.367 -0.36 ]
18,309.1388301849365,68.03801,4.060129,-126.43695288883491,81.49759,85431,1.1809518,3.8173742,-2.9087067e-07,1.461169,100,-4.1717777,51.57,1800,1.6522774,0.020389121,9.586816,81.49759,11214.108,[-0.158 -1.351 -0.563 -0.443 -0.393]
19,324.87633180618286,68.68548,3.22886,-125.56365681505429,117.002335,90418,1.6338938,24.368553,-9.965896e-07,5.501612,100,-3.9965768,49.87,1900,1.8864678,0.00010120829,60.284145,117.002335,162811.3,[-0.186 -1.348 -0.581 -0.41  -0.423]
20,342.50135564804077,65.88535,4.231971,-130.12962462742712,92.63356,95767,1.3727559,16.823801,2.9563904e-07,4.4940157,100,-3.0539718,53.49,2000,1.6088938,0.0010328316,53.09661,92.63356,100836.15,[-0.196 -1.391 -0.584 -0.383 -0.518]
21,362.3007664680481,58.132607,3.6853514,-135.88038358526506,131.38583,101824,2.1179922,42424.46,-3.4809113e-07,17.132685,100,-2.1754894,60.57,2100,1.4208419,5.0744384e-06,302.86288,131.38583,1188943.4,[-0.204 -1.395 -0.552 -0.371 -0.582]
22,379.4493124485016,69.89541,3.0481954,-130.49910023101083,152.11998,107058,2.073213,379.2383,6.3419344e-07,7.1902943,100,-2.6883364,52.34,2200,1.4146621,0.00061690726,115.66798,152.11998,287676.3,[-0.177 -1.368 -0.593 -0.343 -0.562]
23,396.5520267486572,66.63116,3.5666046,-131.05724580471372,476.60004,112466,6.5399413,5259237.0,-7.4863436e-07,63.34421,100,-2.973343,54.08,2300,1.4799905,4.2643868e-11,670.3207,476.60004,20649324.0,[-0.168 -1.344 -0.552 -0.385 -0.55 ]
24,413.4826440811157,80.77897,3.2349644,-126.93546360747438,113.80887,117124,1.3869268,21.717749,3.9100647e-07,3.0362735,100,-4.102214,46.58,2400,1.6949565,0.0002234224,24.948956,113.80887,65700.44,[-0.102 -1.314 -0.584 -0.333 -0.615]
25,428.72902250289917,87.45209,3.5303302,-127.38352942835307,322.9299,121619,3.5417857,2825586.5,-5.0544736e-07,31.348375,100,-2.9356737,44.95,2500,1.4359131,4.9334264e-10,326.0912,322.9299,8127516.0,[-0.06  -1.331 -0.609 -0.348 -0.69 ]
26,444.66517782211304,96.36799,3.4435372,-123.6461163929437,199.33018,125746,2.0011015,1179.9899,6.4849854e-07,8.377764,100,-3.2989702,41.27,2600,1.6276418,2.062965e-05,150.18051,199.33018,713204.44,[-0.031 -1.333 -0.681 -0.337 -0.732]
27,459.77987575531006,92.53665,5.180275,-122.55785441586639,145.37254,129932,1.5272185,39.562416,4.7683717e-08,6.0080905,100,-3.6263847,41.86,2700,1.8106946,0.0027325288,60.62326,145.37254,342251.47,[-0.048 -1.3   -0.655 -0.384 -0.733]
28,475.00435757637024,84.92015,3.7134142,-120.51602801245264,121.84938,134241,1.396655,113.15321,-2.0980835e-07,7.322203,100,-3.1634254,43.09,2800,1.6776394,0.0031884878,74.30983,121.84938,420352.7,[-0.138 -1.292 -0.712 -0.382 -0.738]
29,490.3139111995697,86.00385,4.609143,-123.24847518045915,127.71106,138604,1.4508125,9.4172945,1.4781952e-07,3.177356,100,-3.0422983,43.63,2900,1.6583239,0.0010797393,36.72893,127.71106,83049.24,[-0.147 -1.323 -0.688 -0.382 -0.689]
30,505.4423568248749,90.20931,3.779954,-122.68370324088046,439.5152,142856,4.5784044,766071.94,-6.198883e-08,43.34541,100,-3.2480469,42.52,3000,1.7050045,6.6945677e-06,455.99738,439.5152,16578142.0,[-0.12  -1.354 -0.67  -0.415 -0.762]
31,521.3684139251709,84.240875,4.0451365,-121.68992182707157,107.41979,147212,1.2641331,4.6043806,-8.106232e-08,1.7020804,100,-3.034665,43.56,3100,1.751458,0.006539673,10.774448,107.41979,22260.44,[-0.057 -1.337 -0.622 -0.48  -0.727]
32,536.3085339069366,86.937,4.5506763,-121.32289822700037,3988.547,151502,42.23274,14872.327,4.053116e-07,430.62585,100,-3.5928745,42.9,3200,1.856581,1.8311157e-07,14211.146,3988.547,1544884000.0,[-0.051 -1.355 -0.654 -0.481 -0.765]
33,554.5616292953491,85.223175,5.295411,-116.74584577125427,145.08524,155711,1.6538227,257.12497,3.0994414e-07,7.536592,100,-9.212715,42.09,3300,2.3900368,0.00057760946,85.06025,145.08524,452140.72,[-0.108 -1.196 -0.641 -0.462 -0.892]
34,570.2496340274811,92.55758,3.9483528,-118.71741398295715,152.88644,159878,1.6083391,1768.9108,1.9550323e-07,9.008739,100,-7.63815,41.67,3400,2.070144,3.783075e-05,90.808624,152.88644,746831.94,[-0.144 -1.193 -0.694 -0.447 -0.848]
35,586.5538558959961,79.95948,4.709006,-117.49075286685195,632.1394,164206,7.383735,1284806.6,1.9073486e-08,60.711666,100,-4.327574,43.28,3500,1.8621278,3.2287684e-10,626.01715,632.1394,25917046.0,[-0.171 -1.2   -0.658 -0.465 -0.863]
36,603.7017133235931,81.72683,4.1452584,-119.90193495269978,128.06665,168570,1.5174469,36.585976,-1.5735627e-07,5.785075,100,-4.0937667,43.64,3600,1.7476354,0.0035292164,52.841663,128.06665,241956.28,[-0.15  -1.221 -0.655 -0.41  -0.897]
37,620.2546627521515,80.90876,3.6446238,-121.27203550866452,236.06042,172981,2.8245127,1690588.5,6.008148e-07,19.416212,100,-3.2240372,44.11,3700,1.8310302,1.1575032e-07,668.2272,236.06042,2672481.5,[-0.183 -1.233 -0.644 -0.404 -0.873]
38,635.4537799358368,81.810814,4.2850614,-118.63851236236697,91.322784,177322,1.1090922,5.2829804,5.912781e-07,1.6326514,100,-4.7436776,43.41,3800,2.051309,0.01669078,19.966774,91.322784,19819.805,[-0.183 -1.201 -0.677 -0.432 -0.86 ]
39,651.3048496246338,81.439926,4.7688403,-120.06603812623784,4878.421,181701,55.007496,25471.707,-6.1035155e-07,528.55524,100,-3.1613212,43.79,3900,1.7695631,5.6404515e-06,7411.072,4878.421,2016040100.0,[-0.195 -1.22  -0.668 -0.428 -0.855]
40,668.7578692436218,87.756004,3.8631258,-119.09537715916511,350.10754,185939,3.8341324,252901.14,1.4781952e-07,20.170738,100,-4.4820004,42.38,4000,1.8883153,1.1485661e-06,370.4891,350.10754,3398405.2,[-0.129 -1.135 -0.591 -0.457 -0.868]
41,685.4204649925232,76.85491,3.7081213,-118.02426161085864,218.52864,190385,2.72466,9858.303,-2.3841858e-08,15.383008,100,-4.069802,44.46,4100,1.7846721,1.3569525e-06,220.52118,218.52864,1502530.1,[-0.141 -1.129 -0.538 -0.491 -0.872]
42,701.879311800003,82.76743,4.3833265,-117.11565527936551,147.02678,194735,1.7375178,26.68254,-3.528595e-07,3.9702337,100,-8.250631,43.5,4200,2.4540458,9.2219154e-05,39.845226,147.02678,120404.125,[-0.078 -1.101 -0.527 -0.522 -0.877]
43,717.3273892402649,88.54545,4.4328074,-115.35603222392182,519.2558,198909,5.533595,513385.0,6.151199e-07,49.520493,100,-10.52083,41.74,4300,2.5387976,7.9051475e-08,905.29724,519.2558,21068692.0,[-0.115 -1.074 -0.561 -0.513 -0.894]
44,733.8253426551819,88.407394,4.0188828,-112.81709841606927,7086.987,203126,73.63124,4512.7563,-1.4305114e-08,768.4273,100,-9.819626,42.17,4400,2.6553092,3.427746e-06,8693.498,7086.987,4941274000.0,[-0.11  -1.102 -0.554 -0.583 -0.889]
45,751.097601890564,81.341866,3.9006934,-114.20347786405125,110.44811,207475,1.333909,9.767978,-6.008148e-07,3.0649161,100,-8.576682,43.49,4500,2.325672,0.003831628,29.35638,110.44811,69290.625,[-0.166 -0.983 -0.509 -0.506 -0.918]
46,765.158929347992,79.797585,3.6736279,-115.65757176351984,321.57108,211916,3.8085616,14242.553,3.33786e-08,19.769827,100,-8.320495,44.41,4600,2.0210805,7.374876e-06,153.71774,321.57108,2705643.8,[-0.157 -1.006 -0.493 -0.533 -0.969]
47,783.3343884944916,66.386856,4.2649918,-117.0119483384047,92.04564,216751,1.3524703,39.99841,-1.66893e-07,4.8453274,100,-3.7008772,48.35,4700,1.8012015,0.0038706227,76.80696,92.04564,118368.234,[-0.186 -1.043 -0.475 -0.534 -0.98 ]
48,798.8145613670349,62.79329,4.023989,-115.30820763557773,150.51892,221692,2.2556083,1427.9823,2.3841858e-08,20.152563,100,-5.5857673,49.41,4800,1.91774,0.00010153505,215.29214,150.51892,1774696.2,[-0.184 -1.046 -0.449 -0.555 -0.997]
49,815.8702359199524,59.88437,3.3799658,-118.05899471099114,69.69337,226743,1.14833,6.2427516,-2.4318695e-07,1.8208464,100,-3.4911647,50.51,4900,1.60883,0.0046675177,15.9440565,69.69337,13337.466,[-0.183 -1.063 -0.429 -0.536 -1.018]
50,831.459477186203,62.819935,4.0571675,-118.23513075121582,132.4099,231801,2.0157647,5272303.5,2.7656554e-07,17.471964,100,-3.281168,50.58,5000,1.8284184,2.2192395e-08,254.45197,132.4099,1397070.8,[-0.18  -1.077 -0.441 -0.558 -1.05 ]
51,851.2348737716675,50.704735,3.134277,-120.19733171741895,69.04947,237638,1.3275537,507.95856,2.2411346e-07,5.1900644,100,-3.109908,58.37,5100,1.4626884,7.5551684e-06,68.92641,69.04947,79629.06,[-0.209 -1.099 -0.415 -0.591 -1.049]
52,869.0452694892883,54.311737,3.6638534,-117.3968998346214,199.90459,243079,3.3858454,169.9223,-2.193451e-07,29.128864,100,-3.3282518,54.41,5200,1.574533,1.4317815e-05,316.50876,199.90459,2758859.0,[-0.217 -1.101 -0.443 -0.611 -1.049]
53,888.4596548080444,52.70078,3.2909505,-120.25415809237835,669.4535,248843,11.47412,27888476000.0,-4.2438506e-07,113.2243,100,-3.1686597,57.64,5300,1.5724216,6.6319745e-12,1279.3856,669.4535,42962990.0,[-0.259 -1.133 -0.453 -0.603 -1.1  ]
54,904.9186842441559,60.043186,4.192736,-116.05772746912267,302.9717,253902,4.6418185,69123.32,2.5272368e-07,45.161186,100,-2.8627143,50.59,5400,1.5162503,2.0245313e-06,1994.2426,302.9717,8258314.5,[-0.374 -1.118 -0.532 -0.584 -1.122]
55,921.5787436962128,68.90827,3.8056645,-115.23709093175768,302.5952,258720,4.5755367,22381580000.0,6.1035155e-07,44.48499,100,-5.454261,48.18,5500,1.6899815,1.4893446e-08,457.58002,302.5952,8596108.0,[-0.384 -1.1   -0.568 -0.587 -1.12 ]
56,937.8375959396362,76.863976,4.202227,-113.83757591596623,128.51181,263313,1.6077781,66.37493,-1.8596648e-07,6.3944964,100,-10.66007,45.93,5600,2.6962306,0.00050501165,94.74896,128.51181,263016.3,[-0.32  -1.072 -0.586 -0.563 -1.117]
57,953.2370223999023,72.53735,3.83318,-116.46932081486098,224.79352,268009,2.918325,257808.0,3.4332277e-07,22.724415,100,-6.153483,46.96,5700,1.7699839,8.2859583e-07,236.09412,224.79352,3094708.8,[-0.334 -1.083 -0.585 -0.543 -1.148]
58,969.1864223480225,74.819145,4.3167686,-114.87611467689288,84.20515,272509,1.1205575,3.9067883,-5.76973e-07,1.5668963,100,-8.92857,45.0,5800,2.245392,0.015196483,13.102094,84.20515,15290.363,[-0.317 -1.088 -0.62  -0.519 -1.154]
59,983.32200050354,82.79893,3.1730332,-116.49055868828874,89.65986,276919,1.0797421,1.2449851,-3.7670137e-07,0.48679337,100,-6.8828487,44.1,5900,1.9355085,0.27489576,2.673849,89.65986,1730.9961,[-0.311 -1.076 -0.601 -0.528 -1.163]
60,997.0903563499451,81.05592,4.304594,-114.99930506805465,406.14258,281299,4.671832,14702.415,-1.2397766e-07,40.4175,100,-9.599291,43.8,6000,2.5264397,6.72988e-05,593.93604,406.14258,12081950.0,[-0.319 -1.097 -0.612 -0.54  -1.162]
61,1012.0847113132477,86.967896,3.9402456,-116.00761997536004,141.01192,285533,1.5855359,31.055117,5.7220458e-08,3.8505833,100,-11.230017,42.34,6100,2.4221792,0.00036646755,39.015316,141.01192,123861.92,[-0.289 -1.107 -0.627 -0.515 -1.166]
62,1026.5384378433228,84.56459,3.5494552,-114.75312253986581,456.10715,289863,5.0244803,56858.566,-3.8146972e-08,45.596977,100,-12.425473,43.3,6200,2.5615265,7.417681e-07,487.9122,456.10715,16051720.0,[-0.283 -1.109 -0.65  -0.52  -1.175]
63,1042.5386536121368,106.43488,4.54881,-111.19775865442907,220.6409,293827,2.0077877,21.848516,-6.4849854e-07,8.632566,100,-11.200515,39.64,6300,3.7064965,0.0019393649,89.010284,220.6409,926282.0,[-0.258 -1.111 -0.659 -0.554 -1.132]
64,1057.5545401573181,103.4299,3.9712067,-113.50757604945497,392.79895,297860,3.5783935,138908.44,2.2411346e-07,34.66545,100,-12.973707,40.33,6400,3.604946,1.4472835e-05,365.79425,392.79895,14056357.0,[-0.311 -1.14  -0.704 -0.546 -1.164]
65,1073.3810920715332,87.92787,4.155466,-113.98351414094896,191.44098,302090,2.1201222,1620.2039,3.8146972e-08,10.683598,100,-15.155407,42.3,6500,3.014369,7.246085e-07,111.40199,191.44098,963484.75,[-0.328 -1.173 -0.683 -0.554 -1.151]
66,1089.6224188804626,95.643036,4.1911693,-114.9000090677509,114.295906,306219,1.1863863,9.600678,9.775162e-07,2.012594,100,-9.80825,41.29,6600,2.9317477,0.0047503095,17.987228,114.295906,39343.96,[-0.283 -1.23  -0.682 -0.609 -1.195]
67,1103.5241327285767,95.14998,3.9616761,-114.07668669970916,163.9844,310353,1.6686728,38.18564,-3.194809e-07,4.023044,100,-13.49033,41.34,6700,3.3906357,0.0068817465,59.775005,163.9844,162669.28,[-0.268 -1.212 -0.678 -0.618 -1.192]
68,1117.7087152004242,82.02931,3.34272,-113.00952072282955,578.7182,314706,6.5998683,95117.14,-1.4305114e-08,34.234955,100,-10.530516,43.53,6800,2.745769,4.2051524e-06,275.45438,578.7182,8911595.0,[-0.273 -1.222 -0.662 -0.639 -1.178]
69,1134.421139717102,77.10349,3.504375,-114.84053426199286,169.70467,319184,2.137667,199122.77,-5.531311e-07,15.10003,100,-10.290241,44.78,6900,2.3499086,4.2773458e-08,180.51419,169.70467,1473850.4,[-0.277 -1.243 -0.628 -0.654 -1.18 ]
70,1149.9524867534637,87.15061,3.7396612,-112.918274711872,261.84003,323361,2.878021,372051700000.0,-2.0980835e-07,27.623682,100,-9.242679,41.77,7000,2.7750764,1.932047e-09,287.1026,261.84003,6329953.0,[-0.266 -1.25  -0.669 -0.641 -1.174]
71,1166.2064137458801,77.98385,3.700625,-114.91695904506801,217.87119,327749,2.6399605,3755.2236,-3.9100647e-07,20.827951,100,-10.368596,43.88,7100,2.114572,1.4617652e-05,220.15082,217.87119,2878177.5,[-0.246 -1.251 -0.704 -0.596 -1.162]
72,1181.5941224098206,100.13917,4.2775216,-116.09350135252684,175.96346,331738,1.7039542,1498.3345,-1.335144e-07,9.651212,100,-11.9847145,39.89,7200,2.8994138,3.1602503e-05,102.96434,175.96346,1008236.5,[-0.265 -1.243 -0.722 -0.556 -1.159]
73,1197.1299574375153,81.404205,3.5757284,-116.6493788603378,82.48875,336055,1.01276,1.0895352,9.3460085e-07,0.28763217,100,-5.482364,43.17,7300,1.9767483,0.40865034,1.9682664,82.48875,585.5946,[-0.313 -1.283 -0.726 -0.569 -1.206]
74,1212.4600744247437,77.29678,3.5006318,-117.1951155973322,356.9918,340498,4.332426,93829970.0,4.3392183e-07,40.337906,100,-5.332166,44.43,7400,1.5070348,4.963878e-09,424.98563,356.9918,10608685.0,[-0.308 -1.281 -0.724 -0.572 -1.212]
75,1228.4527130126953,83.60581,3.9931974,-115.77248279939062,86.95489,344778,1.040612,1.1670388,-2.670288e-07,0.38719934,100,-12.263426,42.8,7500,2.2575593,0.22292815,2.2515368,86.95489,1097.083,[-0.279 -1.294 -0.766 -0.559 -1.211]
