TimeElapsed,J_sample_variance,MeanIW,EpisodesSoFar,MinIW,StdIW,MaxIW,InitialBound,Bound,InitialReturnStd,EmpiricalD2,InitialReturnMax,Iteration,ReturnMeanIW,EpLenMean,InitialReturnMin,TimestepsSoFar,InitialReturnMean,EpThisIter,Weights,EpRewMean
11.19360637664795,121954.766,0.18577355,100,,12.28302,2478.9204,18.040558,64.66355,4.7915983,6.841303e+29,7.375037,1,64.66355,46.09,-13.620404,4609,-8.5830686e-07,100,[ 0.579 -0.554  0.227  0.402  0.   ],-141.8229098366061
40.25281858444214,75.67527,0.6752945,200,1.6086249e-08,5.281624,382.62134,9.246967,9.810596,1.4056715,6575954600000.0,3.7465878,2,9.810596,116.09,-7.00825,16218,-6.055832e-07,100,[ 0.063 -0.545  0.081  0.311 -0.508],-211.13205524481998
84.79471731185913,78467.57,0.18055457,300,,17.658892,2652.4634,6.030468,30.535543,1.0479529,inf,2.900875,3,30.535543,186.15,-1.1042976,34833,1.4305115e-07,100,[ 0.096 -0.518  0.026  0.262 -0.593],-277.55070753105105
172.87769269943237,2070.0288,0.042644806,400,,4.9735856,1031.0083,1.211632,5.7886024,2.8608882,inf,3.4657254,4,5.7886024,386.85,-11.808392,73518,7.152558e-08,100,[-0.03  -0.764  0.043  0.899 -0.657],-432.7790922056548
202.5159342288971,1006.7545,0.07488826,500,1.3004549e-38,1.3986279,176.36176,7.3374777,12.885839,4.538181,inf,4.2896395,5,12.885839,108.98,-17.747913,84416,-6.294251e-07,100,[-0.101 -0.797 -0.174  1.289 -1.699],-202.62500576510791
224.24689650535583,9868.66,0.11797542,600,6.0234744e-33,4.4316173,664.40686,9.886293,19.525349,4.9529815,inf,6.1100864,6,19.525349,76.27,-14.12083,92043,-2.479553e-07,100,[ 0.007 -0.775 -0.156  1.29  -1.626],-171.70196421200225
257.27954936027527,398.67816,0.1266358,700,7.5984976e-22,0.93050975,79.7581,5.780549,9.668819,4.1646295,2.236263e+28,4.9640226,7,9.668819,131.29,-12.922624,105172,1.0871887e-06,100,[ 0.009 -0.78  -0.103  1.315 -1.615],-226.6966208873441
282.00219225883484,17218.898,0.060868926,800,,4.979842,775.81714,7.6792583,19.67105,5.2106514,inf,6.366464,8,19.67105,92.3,-12.58702,114402,6.151199e-07,100,[ 0.019 -0.834 -0.138  1.369 -1.619],-187.6381737832766
323.0415267944336,5413.012,0.08832004,900,,6.902821,1322.0228,4.8443484,12.780631,3.9180105,inf,4.026521,9,12.780631,169.27,-12.51767,131329,5.102158e-07,100,[-0.011 -0.934 -0.097  1.243 -1.615],-263.5571653977018
356.53126335144043,31152.945,0.13007894,1000,,11.373403,2446.776,5.1105075,23.672165,5.027869,inf,5.4401383,10,23.672165,133.69,-14.43977,144698,-1.0967254e-06,100,[-0.07  -0.785 -0.13   1.294 -1.725],-227.94957929624033
394.95232582092285,2109.949,0.3615122,1100,,7.7920866,772.5162,5.403905,10.895731,4.0585475,inf,4.3130713,11,10.895731,151.45,-12.947585,159843,2.8610229e-08,100,[-0.098 -0.878 -0.146  1.224 -1.775],-245.55764544264727
430.07659006118774,781.1073,0.16669078,1200,2.9660365e-23,3.962694,341.83615,5.762791,9.110713,3.8183887,inf,4.247452,12,9.110713,142.42,-12.765965,174085,1.8119812e-07,100,[-0.117 -0.817 -0.161  1.256 -1.785],-236.4573321600211
471.9454097747803,135.07599,0.18444179,1300,7.385522e-33,3.644604,362.39838,4.6162577,6.2540703,3.5193648,inf,3.778376,13,6.2540703,179.14,-14.275901,191999,7.6293944e-08,100,[-0.129 -0.868 -0.156  1.228 -1.796],-272.3959621131918
501.8071572780609,6616.694,0.11360384,1400,,3.4669573,317.5367,7.3642187,15.804232,3.7080429,inf,3.5329103,14,15.804232,119.27,-15.78819,203926,7.5340273e-07,100,[-0.109 -0.832 -0.174  1.185 -1.775],-213.5245388307652
524.5163655281067,2284.85,0.042459022,1500,,2.0391052,439.31158,9.545717,12.740384,4.840771,inf,5.774085,15,12.740384,81.48,-13.470952,212074,-1.3160706e-06,100,[-0.129 -0.702 -0.193  1.143 -1.798],-175.46594179212573
604.2494673728943,603.31476,0.014112305,1600,,2.5463698,567.76373,0.06768803,3.2058,4.4805427,inf,5.158268,16,3.2058,341.11,-15.324782,246185,-2.3841858e-07,100,[-0.197 -0.723 -0.172  1.08  -1.801],-375.54626968838556
698.9450058937073,9.439328,0.2793372,1700,,3.3683257,247.15872,-0.5671875,1.689061,4.0893393,inf,3.7152486,17,1.689061,418.35,-15.727267,288020,-1.3065338e-06,100,[-0.1   -0.733 -0.039  1.035 -1.807],-430.0993345367076
790.8044533729553,21.544518,0.08600234,1800,,0.91100466,98.965744,-0.42023143,1.8764621,3.834424,inf,4.0120544,18,1.8764621,418.52,-13.527782,329872,7.8201293e-07,100,[-0.146 -0.735 -0.033  1.115 -1.81 ],-430.04357451103135
883.8124537467957,4.7916765,0.6561771,1900,2.2133762e-12,6.925512,347.98407,-0.57546616,0.7767703,3.9647682,2.0257864e+17,4.0329356,19,0.7767703,413.85,-13.607307,371257,5.245209e-07,100,[-0.11  -0.671 -0.036  1.14  -1.812],-427.5108583133317
969.42760181427,11.631293,0.031034477,2000,,0.7554356,84.22327,-0.9547412,1.5696337,4.221364,inf,4.371854,20,1.5696337,385.11,-13.150809,409768,-3.1471254e-07,100,[-0.113 -0.65  -0.026  1.169 -1.814],-404.71313617429047
1051.6466374397278,5.6449885,0.28746495,2100,2.8763915e-17,2.8090088,179.57222,-1.267754,1.7125648,4.7056594,1.2214103e+22,4.513748,21,1.7125648,384.89,-13.248543,448257,-2.3841858e-07,100,[-0.177 -0.638 -0.075  1.2   -1.828],-403.5617746795982
1129.1026263237,35365.6,4.2240186,2200,2.78771e-27,170.37518,17254.164,-1.919868,22.761377,5.270348,1.0423463e+35,5.124453,22,22.761377,351.31,-14.060904,483388,-8.773804e-07,100,[-0.162 -0.642 -0.081  1.272 -1.814],-377.55427628721577
